accepted_species,genus,family,n_islands,n_records
Oberonia equitans,Oberonia,Orchidaceae,31,119
Thrincia saxatilis,Thrincia,Asteraceae,141,52538
Tarenna pentamera,Tarenna,Rubiaceae,30,144
Samanea saman,Samanea,Fabaceae,101,839
Paspalum vaginatum,Paspalum,Poaceae,169,935
Cyperus difformis,Cyperus,Cyperaceae,105,2684
Leptospermum glaucescens,Leptospermum,Myrtaceae,15,1305
Argythamnia candicans,Argythamnia,Euphorbiaceae,29,248
Geum calthifolium,Geum,Rosaceae,78,882
Vincetoxicum sieboldii,Vincetoxicum,Apocynaceae,19,250
Mentha rotundifolia,Mentha,Lamiaceae,52,215
Miconia holosericea,Miconia,Melastomataceae,7,14
Gossypium herbaceum,Gossypium,Malvaceae,28,76
Epacris obtusifolia,Epacris,Ericaceae,18,743
Actinorhytis calapparia,Actinorhytis,Arecaceae,9,37
Holographis virgata,Holographis,Acanthaceae,9,36
Machilus rimosus,Machilus,Lauraceae,8,141
Myrsine umbellata,Myrsine,Primulaceae,11,19
Gesneria viridiflora,Gesneria,Gesneriaceae,3,91
Phyllanthus acuminatus,Phyllanthus,Phyllanthaceae,10,30
Wolffia australiana,Wolffia,Araceae,9,139
Ranunculus trilobus,Ranunculus,Ranunculaceae,26,751
Fissistigma manubriatum,Fissistigma,Annonaceae,5,98
Rorippa islandica,Rorippa,Brassicaceae,53,2858
Nephelium cuspidatum,Nephelium,Sapindaceae,9,256
Acronychia imperforata,Acronychia,Rutaceae,9,90
Moenchia erecta,Moenchia,Caryophyllaceae,41,6147
Kreidion gmelinii,Kreidion,Apiaceae,34,59
Forsskaolea angustifolia,Forsskaolea,Urticaceae,8,1268
Salix chloroclados,Salix,Salicaceae,16,30
Ficus recurva,Ficus,Moraceae,16,183
Peperomia reflexa,Peperomia,Piperaceae,5,11
Collinsia grandiflora,Collinsia,Plantaginaceae,23,430
Polyscias balfouriana,Polyscias,Araliaceae,7,8
Capsicum chinense,Capsicum,Solanaceae,16,48
Etlingera calophrys,Etlingera,Zingiberaceae,3,46
Lomandra multiflora,Lomandra,Asparagaceae,18,110
Synsepalum revolutum,Synsepalum,Sapotaceae,4,71
Begonia macgregorii,Begonia,Begoniaceae,2,5
Oxybasis urbica,Oxybasis,Amaranthaceae,28,397
