accepted_species,genus,family,n_islands,n_records
Ceratostylis subulata,Ceratostylis,Orchidaceae,19,102
Arnica montana,Arnica,Asteraceae,80,1549
Eumachia membranifolia,Eumachia,Rubiaceae,17,74
Lathyrus sphaericus,Lathyrus,Fabaceae,65,912
Diplachne fusca,Diplachne,Poaceae,93,504
Eleocharis fennica,Eleocharis,Cyperaceae,49,250
Eucalyptus bigalerita,Eucalyptus,Myrtaceae,9,134
Euphorbia saratoi,Euphorbia,Euphorbiaceae,16,175
Rubus pubescens,Rubus,Rosaceae,37,566
Leichhardtia glandulifera,Leichhardtia,Apocynaceae,10,82
Condea verticillata,Condea,Lamiaceae,25,105
Medinilla erpetina,Medinilla,Melastomataceae,5,6
Melochia spicata,Melochia,Malvaceae,13,141
Pyrola nephrophylla,Pyrola,Ericaceae,8,461
Arenga obtusifolia,Arenga,Arecaceae,5,14
Justicia heterocarpa,Justicia,Acanthaceae,4,20
Mespilodaphne notata,Mespilodaphne,Lauraceae,5,24
Lysimachia hillebrandii,Lysimachia,Primulaceae,5,49
Cyrtandra cordifolia,Cyrtandra,Gesneriaceae,2,13
Antidesma heterophyllum,Antidesma,Phyllanthaceae,6,18
Anthurium crystallinum,Anthurium,Araceae,5,9
Anemone amurensis,Anemone,Ranunculaceae,11,460
Xylopia africana,Xylopia,Annonaceae,3,34
Draba macrocarpa,Draba,Brassicaceae,21,70
Elattostachys bidwillii,Elattostachys,Sapindaceae,6,12
Ruta pinnata,Ruta,Rutaceae,3,107
Sabulina macra,Sabulina,Caryophyllaceae,15,98
Ligusticum calderi,Ligusticum,Apiaceae,12,88
Scepocarpus trinervis,Scepocarpus,Urticaceae,4,43
Salix lambertiana,Salix,Salicaceae,7,13
Piper frustratum,Piper,Piperaceae,3,19
Allaeanthus luzonicus,Allaeanthus,Moraceae,9,55
Globularia salicina,Globularia,Plantaginaceae,8,1483
Polyscias nossibensis,Polyscias,Araliaceae,3,86
Physalis elliottii,Physalis,Solanaceae,7,49
Meistera muricarpa,Meistera,Zingiberaceae,2,18
Scilla latifolia,Scilla,Asparagaceae,7,235
Mimusops petiolaris,Mimusops,Sapotaceae,3,3
Begonia socotrana,Begonia,Begoniaceae,1,18
Gomphrena portulacoides,Gomphrena,Amaranthaceae,12,63
Decalobanthus distillatorius,Decalobanthus,Convolvulaceae,7,31
Benstonea pseudosyncarpa,Benstonea,Pandanaceae,2,5
Lobelia heyniana,Lobelia,Campanulaceae,3,13
Quercus fabrei,Quercus,Fagaceae,3,10
Persicaria lapathifolia x maculosa,Persicaria,Polygonaceae,6,133
Euonymus palawanensis,Euonymus,Celastraceae,3,5
Macclintockia dentata,Macclintockia,Proteaceae,2,3
Agalinis hispidula,Agalinis,Orobanchaceae,5,19
Alphitonia moluccana,Alphitonia,Rhamnaceae,3,5
Dysoxylum gaudichaudianum,Didymocheton,Meliaceae,3,3
Echium horridum,Echium,Boraginaceae,4,17
Elaeocarpus gummatus,Elaeocarpus,Elaeocarpaceae,1,44
Tetrapilus moluccensis,Tetrapilus,Oleaceae,2,7
Diospyros quadrangularis,Diospyros,Ebenaceae,2,8
Hylotelephium sieboldii,Hylotelephium,Crassulaceae,3,12
Enicostema elizabethiae,Enicostema,Gentianaceae,2,65
Abrahamia nitida,Abrahamia,Anacardiaceae,2,80
Causonis tenuifolia,Causonis,Vitaceae,3,4
Viola riviniana x rupestris,Viola,Violaceae,4,7
Shorea longiflora,Shorea,Dipterocarpaceae,2,19
Myristica guatteriaefolia,Myristica,Myristicaceae,2,2
Dolichandrone alternifolia,Dolichandrone,Bignoniaceae,2,3
Hippeastrum hybridum,Hippeastrum,Amaryllidaceae,4,5
Peponium boivinii,Peponium,Cucurbitaceae,2,8
Oenothera macrocarpa,Oenothera,Onagraceae,3,11
Byrsonima wadsworthii,Byrsonima,Malpighiaceae,1,22
Taxillus liquidambaricola,Taxillus,Loranthaceae,1,255
Crocus variegatus,Crocus,Iridaceae,3,55
Wikstroemia sandwichensis,Wikstroemia,Thymelaeaceae,2,2
Echinopsis calochlora,Echinopsis,Cactaceae,2,5
Garcinia ledermannii,Garcinia,Clusiaceae,1,43
Limonium boirae,Limonium,Plumbaginaceae,1,29
Neoregelia concentrica,Neoregelia,Bromeliaceae,2,2
Badiera fuertesii,Badiera,Polygalaceae,1,46
Aloe millotii,Aloe,Asphodelaceae,1,10
Symphoricarpos doorenbosii,Symphoricarpos,Caprifoliaceae,3,6
Canarium multinervis,Canarium,Burseraceae,1,25
Impatiens cyclocoma,Impatiens,Balsaminaceae,1,4
Pterophylla paitensis,Pterophylla,Cunoniaceae,1,48
Juncus effusus x inflexus,Juncus,Juncaceae,4,10
Isotrema fulvicomum,Isotrema,Aristolochiaceae,1,11
Asimitellaria kiusiana,Asimitellaria,Saxifragaceae,2,37
Amischotolype leiocarpa,Amischotolype,Commelinaceae,1,11
Verbascum euboicum,Verbascum,Scrophulariaceae,1,17
Hypericum scruglii,Hypericum,Hypericaceae,1,20
Terminalia longispicata,Terminalia,Combretaceae,1,9
Geranium endressii x versicolor,Geranium,Geraniaceae,1,10
Saurauia waworoentii,Saurauia,Actinidiaceae,1,2
Eschscholzia parishii,Eschscholzia,Papaveraceae,1,12
Calophyllum rufigemmatum,Calophyllum,Calophyllaceae,1,4
Ilexpollenites anguloclavatus,Ilexpollenites,Aquifoliaceae,1,3
Tinospora teijsmannii,Tinospora,Menispermaceae,1,5
Ternstroemia fragrans,Ternstroemia,Pentaphylacaceae,1,2
Dioscorea pseudocleistogama,Dioscorea,Dioscoreaceae,1,2
Tetracera stuhlmanniana,Tetracera,Dilleniaceae,1,3
Passiflora belotii,Passiflora,Passifloraceae,1,4
Geniostoma gaudichaudii,Geniostoma,Loganiaceae,1,5
Premnophyllum trigonum,Premnophyllum,Verbenaceae,1,2
Potamogeton lucens x perfoliatus,Potamogeton,Potamogetonaceae,1,4
Tulipa hybr,Tulipa,Liliaceae,1,2
Pittosporum ochrosiaefolium,Pittosporum,Pittosporaceae,1,3
Eriocaulon kushirense,Eriocaulon,Eriocaulaceae,1,1
Goeppertia warscewiczii,Goeppertia,Marantaceae,1,1
Tambourissa eugenioides,Tambourissa,Monimiaceae,1,1
Thylachium angustifolium,Thilachium,Capparaceae,1,1
Rotala taiwaniana,Rotala,Lythraceae,1,1
Tournefortia latifolia,Tournefortia,Heliotropiaceae,1,1
Michelia parviflora,Magnolia,Magnoliaceae,1,1
Symplocos laeviramolusa,Symplocos,Symplocaceae,1,1
Cypripedium yatabeanum,Cypripedium,Orchidaceae,19,97
