accepted_species,genus,family,n_islands,n_records
Neottia convallarioides,Neottia,Orchidaceae,23,182
Rudbeckia hirta,Rudbeckia,Asteraceae,106,1809
Asperula arvensis,Asperula,Rubiaceae,22,366
Caragana arborescens,Caragana,Fabaceae,80,350
Hordeum jubatum,Hordeum,Poaceae,120,3044
Carex dacica,Carex,Cyperaceae,69,229
Melaleuca armillaris,Melaleuca,Myrtaceae,12,103
Croton insularis,Croton,Euphorbiaceae,21,187
Rosa subcanina,Rosa,Rosaceae,58,368
Alyxia concatenata,Alyxia,Apocynaceae,13,57
Gmelina elliptica,Gmelina,Lamiaceae,39,199
Chaetogastra ornata,Chaetogastra,Melastomataceae,5,108
Corchorus trilocularis,Corchorus,Malvaceae,18,139
Gaultheria heterophylla,Gaultheria,Ericaceae,12,158
Licuala paludosa,Licuala,Arecaceae,6,37
Ruellia malacosperma,Ruellia,Acanthaceae,6,15
Nothaphoebe macrocarpa,Nothaphoebe,Lauraceae,6,80
Primula veris x vulgaris,Primula,Primulaceae,7,102
Cyrtandra jackii,Cyrtandra,Gesneriaceae,3,6
Andrachne microphylla,Andrachne,Phyllanthaceae,7,48
Philodendron fragrantissimum,Philodendron,Araceae,6,30
Actaea erythrocarpa,Actaea,Ranunculaceae,16,188
Alphonsea elliptica,Alphonsea,Annonaceae,4,23
Nasturtium sterile,Nasturtium,Brassicaceae,32,4834
Allophylus triphyllus,Allophylus,Sapindaceae,7,9
Boronia falcifolia,Boronia,Rutaceae,5,77
Dianthus fruticosus,Dianthus,Caryophyllaceae,26,133
Kundmannia sicula,Kundmannia,Apiaceae,16,444
Touchardia oahuensis,Touchardia,Urticaceae,6,87
Salix aurita x repens,Salix,Salicaceae,10,23
Paratrophis philippinensis,Paratrophis,Moraceae,13,133
Piper chaba,Piper,Piperaceae,4,7
Adenosma glutinosa,Adenosma,Plantaginaceae,13,162
Aralia montana,Aralia,Araliaceae,5,17
Solanum agrarium,Solanum,Solanaceae,10,152
Sundamomum hastilabium,Sundamomum,Zingiberaceae,3,11
Lomandra filiformis,Lomandra,Asparagaceae,11,39
Isonandra lanceolata,Isonandra,Sapotaceae,3,33
Begonia fuscisetosa,Begonia,Begoniaceae,1,64
Atriplex tatarica,Atriplex,Amaranthaceae,17,160
Dichondra brevifolia,Dichondra,Convolvulaceae,9,213
Benstonea korthalsii,Benstonea,Pandanaceae,2,28
Sclerotheca longistigmata,Sclerotheca,Campanulaceae,4,34
Quercus takatorensis,Quercus,Fagaceae,4,96
Bistorta affinis,Bistorta,Polygonaceae,10,224
Elaeodendron cunninghamii,Elaeodendron,Celastraceae,3,38
Turrillia vitiensis,Turrillia,Proteaceae,2,13
Euphrasia venusta,Euphrasia,Orobanchaceae,9,160
Sageretia leprosa,Sageretia,Rhamnaceae,4,25
Munronia pinnata,Munronia,Meliaceae,4,26
Echium wildpretii,Echium,Boraginaceae,5,1366
Elaeocarpus brunneotomentosus,Elaeocarpus,Elaeocarpaceae,2,3
Jasminum macrocarpum,Jasminum,Oleaceae,3,7
Diospyros coriacea,Diospyros,Ebenaceae,2,25
Sedum spurium,Sedum,Crassulaceae,5,7
Gentiana andrewsii,Gentiana,Gentianaceae,3,14
Euroschinus verrucosus,Euroschinus,Anacardiaceae,3,64
Ampelocissus polita,Ampelocissus,Vitaceae,3,98
Pigea caledonica,Pigea,Violaceae,5,141
Shorea polyandra,Shorea,Dipterocarpaceae,2,123
Rhodocolea boivinii,Rhodocolea,Bignoniaceae,2,64
Neobrochoneura madagascariensis,Neobrochoneura,Myristicaceae,2,52
Nerine bowdenii,Nerine,Amaryllidaceae,5,132
Hemsleya peekelii,Hemsleya,Cucurbitaceae,3,12
Epilobium palustre x parviflorum,Epilobium,Onagraceae,5,31
Amorimia maritima,Amorimia,Malpighiaceae,2,4
Amyema squarrosa,Amyema,Loranthaceae,2,25
Sisyrinchium mucronatum,Sisyrinchium,Iridaceae,5,50
Pimelea leiophylla,Pimelea,Thymelaeaceae,2,26
Stenocereus kerberi,Stenocereus,Cactaceae,3,14
Garcinia septogarcinia,Garcinia,Clusiaceae,2,5
Limonium compactum,Limonium,Plumbaginaceae,2,7
Tillandsia selleana,Tillandsia,Bromeliaceae,2,18
Badiera cubensis,Badiera,Polygalaceae,2,9
Aloe cipolinicola,Aloe,Asphodelaceae,1,47
Canarium scholasticum,Canarium,Burseraceae,1,284
Diervilla sessilifolia,Diervilla,Caprifoliaceae,4,4
Impatiens sakeriana,Impatiens,Balsaminaceae,1,7
Juncus tenageia,Juncus,Juncaceae,7,122
Pterophylla lucens,Pterophylla,Cunoniaceae,1,90
Isotrema tanzawanum,Isotrema,Aristolochiaceae,1,132
Micranthes ursina,Micranthes,Saxifragaceae,4,4
Commelina littoralis,Commelina,Commelinaceae,2,6
Hypericum densiflorum,Hypericum,Hypericaceae,2,2
Verbascum densiflorum x nigrum,Verbascum,Scrophulariaceae,2,12
Terminalia septentrionalis,Terminalia,Combretaceae,1,82
Corydalis scouleri,Corydalis,Papaveraceae,2,243
Saurauia hirsuta,Saurauia,Actinidiaceae,1,3
Geranium vlassovianum,Geranium,Geraniaceae,2,5
Kayea hexapetala,Kayea,Calophyllaceae,1,27
Ilex liangii,Ilex,Aquifoliaceae,1,9
Eurya kanehirai,Eurya,Pentaphylacaceae,1,6
Paratinospora dentata,Paratinospora,Menispermaceae,1,28
Hibbertia nana,Hibbertia,Dilleniaceae,1,62
Tacca havilandii,Tacca,Dioscoreaceae,1,9
Adenia elegans,Adenia,Passifloraceae,1,21
Lippia salicifolia,Lippia,Verbenaceae,1,11
Geniostoma erythrospermum,Geniostoma,Loganiaceae,1,34
Erythronium grandiflorum,Erythronium,Liliaceae,1,92
Pittosporum ledermannii,Pittosporum,Pittosporaceae,1,44
Paepalanthus ramosus,Paepalanthus,Eriocaulaceae,1,4
Decarydendron ranomafanense,Decarydendron,Monimiaceae,1,4
Potamogeton gramineus x lucens,Potamogeton,Potamogetonaceae,2,12
Cuphea platycentra,Cuphea,Lythraceae,1,3
Symplocos versteegii,Symplocos,Symplocaceae,1,7
Goeppertia arrabidae,Goeppertia,Marantaceae,1,2
Viscum tsiafajavonense,Viscum,Viscaceae,1,3
Heliotropium leavenworthii,Heliotropium,Heliotropiaceae,1,2
Neea collina,Neea,Nyctaginaceae,1,2
Thylachium africanum,Thilachium,Capparaceae,1,3
Varronia sauvallei,Varronia,Cordiaceae,1,2
Goodenia heppleana,Goodenia,Goodeniaceae,1,1
Liriodendropsis angustifolia,Liriodendropsis,Magnoliaceae,1,3
Smilax prolifera,Smilax,Smilacaceae,1,5
Nepenthes undulatifolia,Nepenthes,Nepenthaceae,1,2
Betula prisca,Betula,Betulaceae,1,2
Leptobalanus gardneri,Leptobalanus,Chrysobalanaceae,1,1
Utricularia orbiculata,Utricularia,Lentibulariaceae,1,4
Camellia semiserrata,Camellia,Theaceae,1,1
Cistus osbaeckifolius,Cistus,Cistaceae,1,1
Oxalis nudiflora,Oxalis,Oxalidaceae,1,1
Epimedium perralderianum,Epimedium,Berberidaceae,1,1
Bonnaya veronicaefolia,Bonnaya,Linderniaceae,1,1
Erythroxylum raimondii,Erythroxylum,Erythroxylaceae,1,1
Ouratea acunae,Ouratea,Ochnaceae,1,1
Epidendrum radicans,Epidendrum,Orchidaceae,23,110
Xanthium orientale,Xanthium,Asteraceae,106,991
Nauclea subdita,Nauclea,Rubiaceae,22,327
Lotus angustissimus,Lotus,Fabaceae,79,2851
