"candidate_id","accepted_species","trait_name","normalized_value","provider","source_url","source_lineage","source_citation","exact_supporting_quote","name_match_method","cultivar_status","accepted_correct","reviewer","reviewed_at_utc","audit_reason"
"foa-9474916ce34ba9ffa4e3f296","Viola cunninghamii","floral_form","spurred","flora_of_australia_official","https://profiles.ala.org.au/opus/foa/profile/c3c2bbd9-65f0-4458-b98d-01c60ceb15e5","citation:88f7b88fbac1e49b0924327142245a1f","Revised edition published 24 July 2020. Adapted from Adams (1982). Updated by P.G. Kodela (July 2020).","Petals 7-10 mm long, the anterior spurred.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"foa-84f1a8df3c2b9d65b84a8f5e","Sebaea albidiflora","floral_form","urn_urceolate","flora_of_australia_official","https://profiles.ala.org.au/opus/foa/profile/5ce8a8ea-386a-4faa-861f-7d33b270aec0","citation:e54e5e263e0c7870d7abfbea5b3f414d","Flora of Australia Volume 28","Corolla creamy white; tube narrowly urceolate, 3-4 mm long; lobes broadly ovate to orbicular, spreading, c. 2 mm long.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"foa-9b0c88026dca28ded3b68a80","Lysimachia minima","floral_form","tubular","flora_of_australia_official","https://profiles.ala.org.au/opus/foa/profile/d12992a3-56e4-498b-a55d-c1d4c81bc435","citation:075a3133ace093bc44b7f1cbec13b3a1","Published 6 August 2026.","Corolla tubular with small lobes, 1-2 mm long, white to pale pink.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"foa-55d8f80324a4ee041c46bfeb","Dischidia litoralis","floral_form","urn_urceolate","flora_of_australia_official","https://profiles.ala.org.au/opus/foa/profile/e1b103c2-859f-4473-a479-c4ef8ee3ebf1","citation:b8e0219fd6e0a317b6afe5376759929a","Revised edition, 11 March 2025. Based on P.I. Forster & D.J. Liddle, Dischidia, Flora of Australia 28: 237-240 (1996). Updated by P.G. Kodela (March 2025).","Corolla broadly urceolate, cream; lobes lanceolate, 1.5-1.7 mm long, c. 0.8 mm wide.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"foa-4f07349851b02619b7fd24b5","Sprengelia distichophylla","floral_form","bell_campanulate","flora_of_australia_official","https://profiles.ala.org.au/opus/foa/profile/9cf9b9c4-66db-4c69-a9e6-b0425ce2a2cd","citation:2c8a36ef5930271ef5d33d74d7bdfd31","Published 14 July 2025.","Corolla tube deep pink, shorter than sepals, campanulate, 1.5-2 mm long, 2-3 mm wide, glabrous.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"foa-a915bf3d133476a44d56de55","Jacaranda mimosifolia","floral_form","bell_campanulate|tubular","flora_of_australia_official","https://profiles.ala.org.au/opus/foa/profile/2147621d-5575-42b5-9cf5-70e619994156","citation:0dd4d8db060bf1ff2e1a5672e272901d","Published 8 August 2022.","Inflorescence a terminal panicle to 20 cm long; calyx narrow-campanulate; corolla tubular-campanulate, blue-purple with a whitish throat, pubescent on the outside, 2-5 cm long, to 2 cm wide.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"foa-b4c06d6192b8e7896e3a9615","Glossocarya hemiderma","floral_form","funnel_trumpet","flora_of_australia_official","https://profiles.ala.org.au/opus/foa/profile/d9b62f42-1040-4c55-89f8-cc90ca6de379","citation:ca1cfc7406650442b0df4bb5e04b5d70","Published 7 June 2022. Adapted from: Munir, A.A. (1990). A taxonomic revision of the genus Glossocarya Wallich ex Griffith (Verbenaceae) in Australia. Journal of the Adelaide Botanic Gardens 13: 17-34.","Corolla cream-white, infundibuliform, 5-lobed, glandular and hoary-puberulous outside, villous in throat; tube 5-7 mm long, 1.5-3 mm diameter near base of lobes; lobes elliptic or oblong, obtuse, 1.5-3.5 mm long, 1.5-3 mm wide.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"foa-209a9b1fc732a0d394d32387","Epacris virgata","floral_form","bell_campanulate","flora_of_australia_official","https://profiles.ala.org.au/opus/foa/profile/f6cfac9c-d8b8-4938-8573-5c5e034924e5","citation:46c8e214078685004eedfaaf50a79533","Published 2 May 2025.","Corolla caducous, corolla tube white, campanulate, 2-5 mm long, 1.5-1.7 mm wide, glabrous.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"foa-04fa4710b4e971560f9b12c4","Solanum cleistogamum","floral_form","open_radial","flora_of_australia_official","https://profiles.ala.org.au/opus/foa/profile/88b7de8b-cf39-4956-9c01-dca568343a27","citation:6a5d333da65c86f7efd540311b6c9baf","Flora of Australia Volume 29","Corolla rotate, 10-15 mm diam., pale lavender, often remaining closed.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"foa-02d7ec3e9366247ad2e91eb2","Planocarpa nitida","floral_form","bell_campanulate","flora_of_australia_official","https://profiles.ala.org.au/opus/foa/profile/4e92b079-254c-4240-9545-56250d31d104","flora-of-australia-profile:4e92b079-254c-4240-9545-56250d31d104","Flora of Australia official species profile","Corolla tube white, campanulate, straight, 2.8-3.3 mm long, glabrous outside, sparsely hairy inside.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
