candidate_id,trait_name,accepted_species,normalized_value,source_url,source_excerpt,accepted_correct,cultivar_status,reviewer,reviewed_at_utc,audit_reason,audit_hash
bsdb-symmetry:28db3b2c3612ad7011631703,floral_symmetry,Kalanchoe daigremontiana,actinomorphic,https://raw.githubusercontent.com/dirtyplants/BSdb/9e87946d1e3121d39e657b702cf9f92ccc10936e/Zell_df_12_29_23.csv,"tnrs_Sciname=Kalanchoe daigremontiana; tnrs_status=Accepted; tnrs_family=Crassulaceae; FlrSymCheck=radial; trait.source=Wikipedia or unknown source, checked against TRY",true,wild_or_unspecified_species_database_record,OpenAI Codex structured source-row audit,2026-08-11T04:15:00+09:00,accepted: exact species-rank WCVP TNRS name equals strict GBIF-backed accepted name; family gate passed; FlrSymCheck and individually collected species-level trait.source are present; genus/family fallback and wind are excluded,1e36d1cfb541d51a00a8f144d560803b71519f5928d1dc80ce507a999e4990d7
bsdb-symmetry:9a03a972a2aff0dbe6d25612,floral_symmetry,Crateva adansonii,actinomorphic,https://raw.githubusercontent.com/dirtyplants/BSdb/9e87946d1e3121d39e657b702cf9f92ccc10936e/Zell_df_12_29_23.csv,tnrs_Sciname=Crateva adansonii; tnrs_status=Accepted; tnrs_family=Capparaceae; FlrSymCheck=radial; trait.source=wcvp|BIEN,true,wild_or_unspecified_species_database_record,OpenAI Codex structured source-row audit,2026-08-11T04:15:00+09:00,accepted: exact species-rank WCVP TNRS name equals strict GBIF-backed accepted name; family gate passed; FlrSymCheck and individually collected species-level trait.source are present; genus/family fallback and wind are excluded,430b65064833cd66a95ea140e26bcacd37c702474eabb2b6d9416c62b57bb8fb
bsdb-symmetry:df2fabf6522583122b91cfc8,floral_symmetry,Solanum viride,actinomorphic,https://raw.githubusercontent.com/dirtyplants/BSdb/9e87946d1e3121d39e657b702cf9f92ccc10936e/Zell_df_12_29_23.csv,tnrs_Sciname=Solanum viride; tnrs_status=Accepted; tnrs_family=Solanaceae; FlrSymCheck=radial; trait.source=SOL,true,wild_or_unspecified_species_database_record,OpenAI Codex structured source-row audit,2026-08-11T04:15:00+09:00,accepted: exact species-rank WCVP TNRS name equals strict GBIF-backed accepted name; family gate passed; FlrSymCheck and individually collected species-level trait.source are present; genus/family fallback and wind are excluded,9d8d71a0ee6250e266fe06fccbbe6109f5fce5c58811a3d86a89099973c945b2
bsdb-symmetry:ae03c6143c86e4ff547c7e1c,floral_symmetry,Symphyotrichum subulatum,actinomorphic,https://raw.githubusercontent.com/dirtyplants/BSdb/9e87946d1e3121d39e657b702cf9f92ccc10936e/Zell_df_12_29_23.csv,tnrs_Sciname=Symphyotrichum subulatum; tnrs_status=Synonym; tnrs_family=Asteraceae; FlrSymCheck=radial; trait.source=https://plants.usda.gov/core/profile?symbol=SYSU5,true,wild_or_unspecified_species_database_record,OpenAI Codex structured source-row audit,2026-08-11T04:15:00+09:00,accepted: exact species-rank WCVP TNRS name equals strict GBIF-backed accepted name; family gate passed; FlrSymCheck and individually collected species-level trait.source are present; genus/family fallback and wind are excluded,989637ac7c402c305a27bd731bd9d55991f88f896f86c3bdd2f32849b961074f
bsdb-symmetry:28e470659e9c4961775c01aa,floral_symmetry,Solanum sibundoyense,actinomorphic,https://raw.githubusercontent.com/dirtyplants/BSdb/9e87946d1e3121d39e657b702cf9f92ccc10936e/Zell_df_12_29_23.csv,tnrs_Sciname=Solanum sibundoyense; tnrs_status=Accepted; tnrs_family=Solanaceae; FlrSymCheck=radial; trait.source=TRY|wcvp|BIEN,true,wild_or_unspecified_species_database_record,OpenAI Codex structured source-row audit,2026-08-11T04:15:00+09:00,accepted: exact species-rank WCVP TNRS name equals strict GBIF-backed accepted name; family gate passed; FlrSymCheck and individually collected species-level trait.source are present; genus/family fallback and wind are excluded,9ab6a963fb76451b0ce19fb26c4c85890bbc946d31b49e98c7bfc6b4e427599e
bsdb-symmetry:401294d36be78b84ec8cf112,floral_symmetry,Pseudoturritis turrita,actinomorphic,https://raw.githubusercontent.com/dirtyplants/BSdb/9e87946d1e3121d39e657b702cf9f92ccc10936e/Zell_df_12_29_23.csv,tnrs_Sciname=Pseudoturritis turrita; tnrs_status=Accepted; tnrs_family=Brassicaceae; FlrSymCheck=radial; trait.source=TRY|wcvp|BIEN,true,wild_or_unspecified_species_database_record,OpenAI Codex structured source-row audit,2026-08-11T04:15:00+09:00,accepted: exact species-rank WCVP TNRS name equals strict GBIF-backed accepted name; family gate passed; FlrSymCheck and individually collected species-level trait.source are present; genus/family fallback and wind are excluded,2f50e097156ee76d47cfe1cfd0dff4267f23147e715c19dd30c1af7f3f1e1610
bsdb-symmetry:9c8a4b69a96bb7c49a97a39f,floral_symmetry,Micranthes stellaris,actinomorphic,https://raw.githubusercontent.com/dirtyplants/BSdb/9e87946d1e3121d39e657b702cf9f92ccc10936e/Zell_df_12_29_23.csv,tnrs_Sciname=Micranthes stellaris; tnrs_status=Synonym; tnrs_family=Saxifragaceae; FlrSymCheck=radial; trait.source=TRY|wcvp|BIEN,true,wild_or_unspecified_species_database_record,OpenAI Codex structured source-row audit,2026-08-11T04:15:00+09:00,accepted: exact species-rank WCVP TNRS name equals strict GBIF-backed accepted name; family gate passed; FlrSymCheck and individually collected species-level trait.source are present; genus/family fallback and wind are excluded,b0782afd6a5a8fdd2eb28b63e5b9f67126706f23719eb5780564290406bbaee3
bsdb-symmetry:371d8009afa0aa59f2dfdfb1,floral_symmetry,Biscutella valentina,actinomorphic,https://raw.githubusercontent.com/dirtyplants/BSdb/9e87946d1e3121d39e657b702cf9f92ccc10936e/Zell_df_12_29_23.csv,tnrs_Sciname=Biscutella valentina; tnrs_status=Accepted; tnrs_family=Brassicaceae; FlrSymCheck=radial; trait.source=GBIF| https://onlinelibrary.wiley.com/doi/abs/10.1002/fedr.19921030506 | http://196.45.48.59:8080/bitstream/handle/123456789/5560/23669994.pdf?sequence=1&isAllowed=y,true,wild_or_unspecified_species_database_record,OpenAI Codex structured source-row audit,2026-08-11T04:15:00+09:00,accepted: exact species-rank WCVP TNRS name equals strict GBIF-backed accepted name; family gate passed; FlrSymCheck and individually collected species-level trait.source are present; genus/family fallback and wind are excluded,cb1fe9e6591d520468de917f80c4e6b6d57478938a78a031e50fb9778336c5c7
bsdb-symmetry:274c1675895c287eb88594d3,floral_symmetry,Lactuca tenerrima,actinomorphic,https://raw.githubusercontent.com/dirtyplants/BSdb/9e87946d1e3121d39e657b702cf9f92ccc10936e/Zell_df_12_29_23.csv,tnrs_Sciname=Lactuca tenerrima; tnrs_status=Accepted; tnrs_family=Asteraceae; FlrSymCheck=radial; trait.source=TRY|GBIF|funk2009,true,wild_or_unspecified_species_database_record,OpenAI Codex structured source-row audit,2026-08-11T04:15:00+09:00,accepted: exact species-rank WCVP TNRS name equals strict GBIF-backed accepted name; family gate passed; FlrSymCheck and individually collected species-level trait.source are present; genus/family fallback and wind are excluded,3d64441a6e8572d395444ef464b9189925bcdb0191dbfbdc1c373b2acc752607
bsdb-symmetry:c26fb87270cb3119dd33c2f1,floral_symmetry,Cakile arabica,actinomorphic,https://raw.githubusercontent.com/dirtyplants/BSdb/9e87946d1e3121d39e657b702cf9f92ccc10936e/Zell_df_12_29_23.csv,tnrs_Sciname=Cakile arabica; tnrs_status=Accepted; tnrs_family=Brassicaceae; FlrSymCheck=radial; trait.source=GBIF | https://pdfs.semanticscholar.org/2183/189ce05964c2e96deb0355092460e11dd2e2.pdf | https://www.ff.upjs.sk/public/media/5741/thaiszia-10-137-150-2001-malallah.pdf,true,wild_or_unspecified_species_database_record,OpenAI Codex structured source-row audit,2026-08-11T04:15:00+09:00,accepted: exact species-rank WCVP TNRS name equals strict GBIF-backed accepted name; family gate passed; FlrSymCheck and individually collected species-level trait.source are present; genus/family fallback and wind are excluded,a57baadfa836b9f6157eda70e807c6ae8340232904ff5c90e5b71c2a840c2774
