accepted_species,genus,family,n_islands,n_records
Eulophia cernua,Eulophia,Orchidaceae,59,391
Matricaria chamomilla,Matricaria,Asteraceae,277,72352
Nertera granadensis,Nertera,Rubiaceae,64,8572
Ulex europaeus,Ulex,Fabaceae,195,267436
Puccinellia maritima,Puccinellia,Poaceae,322,24515
Cyperus polystachyos,Cyperus,Cyperaceae,228,2974
Baeckea frutescens,Baeckea,Myrtaceae,31,356
Euphorbia lactea,Euphorbia,Euphorbiaceae,75,493
Rubus spectabilis,Rubus,Rosaceae,167,16145
Echites umbellatus,Echites,Apocynaceae,48,430
Salvia officinalis,Salvia,Lamiaceae,109,1011
Miconia angustifolia,Miconia,Melastomataceae,12,65
Malva nicaeensis,Malva,Malvaceae,65,624
Rhododendron lapponicum,Rhododendron,Ericaceae,61,567
Washingtonia filifera,Washingtonia,Arecaceae,20,200
Thunbergia mysorensis,Thunbergia,Acanthaceae,31,143
Cinnamomum parthenoxylon,Cinnamomum,Lauraceae,15,324
Dodecatheon jeffreyanum,Dodecatheon,Primulaceae,36,402
Cyrtandra maesifolia,Cyrtandra,Gesneriaceae,6,9
Bridelia glauca,Bridelia,Phyllanthaceae,23,203
Arisaema triphyllum,Arisaema,Araceae,30,378
Ranunculus uncinatus,Ranunculus,Ranunculaceae,73,628
Asimina triloba,Asimina,Annonaceae,10,101
Diplotaxis tenuifolia,Diplotaxis,Brassicaceae,127,11557
Lepisanthes senegalensis,Lepisanthes,Sapindaceae,28,244
Citrus tachibana,Citrus,Rutaceae,26,297
Cerastium diffusum,Cerastium,Caryophyllaceae,145,15670
Levisticum officinale,Levisticum,Apiaceae,86,1204
Poikilospermum suaveolens,Poikilospermum,Urticaceae,21,233
Populus deltoides,Populus,Salicaceae,39,986
Broussonetia kazinoki,Broussonetia,Moraceae,37,1421
Piper tuberculatum,Piper,Piperaceae,13,80
Plantago lagopus,Plantago,Plantaginaceae,87,3112
Pseudopanax crassifolius,Pseudopanax,Araliaceae,15,24631
