candidate_id,accepted_species,trait_name,normalized_value,source_url,page_title,exact_supporting_quote,content_fingerprint,accepted_correct,cultivar_status,reviewer,reviewed_at_utc,audit_reason,supporting_quote,source_lineage
gobotany-completion:759d2eb4993d9330fd0c8467,Hibiscus trionum,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/hibiscus/trionum/,Hibiscus trionum (Venice rose-mallow): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,f5c47e8530e21d75b2e5abf8b213271b1fc7c65cd53776fe243aff06234b3a34,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:174ec4de64492b1062f6a385,Epilobium leptophyllum,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/epilobium/leptophyllum/,Epilobium leptophyllum (bog willow-herb): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,968cff3d391902d08b71917ded6b8bccf3c02f8c0a31c079e6b7c74a9b591118,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:a1f70ff7a11f539763793e2b,Veronica persica,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/veronica/persica/,Veronica persica (bird's-eye speedwell): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,e8e991a3bd3e5ad68cde8cb4770196a605ca298698fcf8bc7dbbf1fff6bc5118,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:79b22b5fb722ea7bf395f432,Vicia hirsuta,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/vicia/hirsuta/,Vicia hirsuta (tiny vetch): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,c9dcbe327f1f7c5c8af953d5b41f38e0a9c7faf3deaec0d9592454862e93b410,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:fbeb7d4f248ee68f320782c0,Campanula persicifolia,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/campanula/persicifolia/,Campanula persicifolia (peach-leaved bellflower): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,55aa09fbe6a1fbe3a0324e0bcfff317d058a42d2aa22ca5b7bafe2bd3be80317,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:e2513be517f4adc7731d5430,Viola nephrophylla,cleistogamy,absent|facultative,https://gobotany.nativeplanttrust.org/species/viola/nephrophylla/,Viola nephrophylla (northern bog violet): Go Botany,Cleistogamous flowers: the plant has some cleistogamous flower; there are no cleistogamous flowers on the plan,4e9bd6112162a79623651b67f1dc0cf982ff9304c697771e2a2c8b3dc895915e,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:8428eaa8b4611a3941c32cd6,Veronica officinalis,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/veronica/officinalis/,Veronica officinalis (common speedwell): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,54277bf84a1c35861a58b19f1b4716e697e1df253d7f84fbf7c121cfdcb43ffe,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:f7c2fb45e0f25f0b4016c60a,Campanula rapunculoides,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/campanula/rapunculoides/,Campanula rapunculoides (creeping bellflower): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,b3f1210d56aa463ff82b32f415ecc5c4e6f334e7911921cf31f368ed61810158,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:bd70d7b929078be56af726ea,Viola striata,cleistogamy,absent|facultative,https://gobotany.nativeplanttrust.org/species/viola/striata/,Viola striata (striped cream violet): Go Botany,Cleistogamous flowers: the plant has some cleistogamous flower; there are no cleistogamous flowers on the plan,90dcc6f6017947e830bba8e126a1a8588b9904c2bd5f943cca8b1714d1e0425c,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
gobotany-completion:9e92fc54a0d791463f09b419,Campanula patula,cleistogamy,absent,https://gobotany.nativeplanttrust.org/species/campanula/patula/,Campanula patula (spreading bellflower): Go Botany,Cleistogamous flowers: there are no cleistogamous flowers on the plan,e2ef3fd53956da6d84b8eaa9624b78374a3f526e862965fcd3a7b691519b6d3c,True,wild_or_unspecified_species_record,Codex evidence audit,2026-08-11T02:29:33.8112372Z,"Exact sitemap species page; h1 and family match the 106,295-species master; the quoted named characteristic maps directly to the same trait; no snippet, cultivar-only statement, cross-trait proxy or inference.",,
