accepted_species,genus,family,n_islands,n_records
Calanthe woodfordii,Calanthe,Orchidaceae,18,261
Melanthera nivea,Melanthera,Asteraceae,74,606
Eumachia trichostoma,Eumachia,Rubiaceae,16,89
Chamaecrista mimosoides,Chamaecrista,Fabaceae,61,436
Thuarea involuta,Thuarea,Poaceae,89,383
Carex macrocephala,Carex,Cyperaceae,45,768
Eucalyptus tenuiramis,Eucalyptus,Myrtaceae,8,2156
Euphorbia drummondii,Euphorbia,Euphorbiaceae,15,50
Sanguisorba canadensis,Sanguisorba,Rosaceae,34,1643
Hoya revoluta,Hoya,Apocynaceae,9,45
Clerodendrum indicum,Clerodendrum,Lamiaceae,23,52
Astrocalyx calycina,Astrocalyx,Melastomataceae,4,28
Sida hederifolia,Sida,Malvaceae,13,57
Vaccinium myrsinites,Vaccinium,Ericaceae,8,41
Phoenix paludosa,Phoenix,Arecaceae,5,8
Justicia loheri,Justicia,Acanthaceae,4,8
Litsea baticulin,Litsea,Lauraceae,5,10
Lysimachia candida,Lysimachia,Primulaceae,5,17
Rhynchoglossum notonianum,Rhynchoglossum,Gesneriaceae,2,11
Baccaurea papuana,Baccaurea,Phyllanthaceae,5,174
Holochlamys beccarii,Holochlamys,Araceae,4,61
Coptidium spitsbergense,Coptidium,Ranunculaceae,10,179
Artabotrys maingayi,Artabotrys,Annonaceae,3,23
Arabis sagittata,Arabis,Brassicaceae,15,112
Atalaya rigida,Atalaya,Sapindaceae,5,18
Melicope hookeri,Melicope,Rutaceae,3,40
Dianthus quadridentatus,Dianthus,Caryophyllaceae,15,41
Oenanthe globulosa,Oenanthe,Apiaceae,11,103
Scepocarpus trinervis,Scepocarpus,Urticaceae,4,43
Salix rorida,Salix,Salicaceae,5,204
Peperomia abscondita,Peperomia,Piperaceae,3,9
Allaeanthus luzonicus,Allaeanthus,Moraceae,9,55
Bacopa sessiliflora,Bacopa,Plantaginaceae,8,37
Polyscias nossibensis,Polyscias,Araliaceae,3,86
Physalis elliottii,Physalis,Solanaceae,7,49
Sundamomum laxesquamosum,Sundamomum,Zingiberaceae,2,17
Cordyline manners-suttoniae,Cordyline,Asparagaceae,7,11
Palaquium sericeum,Palaquium,Sapotaceae,2,120
Begonia ambanizanensis,Begonia,Begoniaceae,1,15
Surreya diandra,Surreya,Amaranthaceae,11,36
Erycibe rheedei,Erycibe,Convolvulaceae,7,25
Pandanus menicostigma,Pandanus,Pandanaceae,2,2
Lobelia heyniana,Lobelia,Campanulaceae,3,13
Quercus leucotrichophora,Quercus,Fagaceae,3,4
Persicaria lapathifolia x maculosa,Persicaria,Polygonaceae,6,133
Microtropis valida,Microtropis,Celastraceae,2,26
Xylomelum pyriforme,Xylomelum,Proteaceae,2,2
Euphrasia insignis,Euphrasia,Orobanchaceae,4,665
Alphitonia moluccana,Alphitonia,Rhamnaceae,3,5
Didymocheton samoensis,Didymocheton,Meliaceae,2,81
Myosotis pusilla,Myosotis,Boraginaceae,3,293
Elaeocarpus limitaneus,Elaeocarpus,Elaeocarpaceae,1,37
Chionanthus leopoldii,Chionanthus,Oleaceae,2,4
Diospyros calcicola,Diospyros,Ebenaceae,2,2
Echeveria secunda,Echeveria,Crassulaceae,3,4
Anthocleista procera,Anthocleista,Gentianaceae,2,3
Afrocayratia triternata,Afrocayratia,Vitaceae,2,155
Cyrtocarpa velutinifolia,Cyrtocarpa,Anacardiaceae,2,31
Viola mirabilis x riviniana,Viola,Violaceae,3,16
Anthoshorea montigena,Anthoshorea,Dipterocarpaceae,2,10
Myristica guatteriaefolia,Myristica,Myristicaceae,2,2
Stereospermum rhoifolium,Stereospermum,Bignoniaceae,2,2
Clivia cyrtanthiflora,Clivia,Amaryllidaceae,3,8
Trichosanthes ellipsoidea,Trichosanthes,Cucurbitaceae,2,5
Oenothera casimiri,Oenothera,Onagraceae,3,5
Sphedamnocarpus argyrophyllus,Sphedamnocarpus,Malpighiaceae,1,22
Trimezia longifolia,Trimezia,Iridaceae,3,7
Hyphear kaoi,Hyphear,Loranthaceae,1,54
Lethedon oblonga,Lethedon,Thymelaeaceae,1,188
Harrisia aboriginum,Harrisia,Cactaceae,2,3
Clusia tetrastigma,Clusia,Clusiaceae,1,34
Limonium migjornense,Limonium,Plumbaginaceae,1,19
Wittmackia portoricensis,Wittmackia,Bromeliaceae,1,50
Polygala subdioica,Polygala,Polygalaceae,1,30
Aloe humbertii,Aloe,Asphodelaceae,1,7
Pseudoscabiosa limonifolia,Pseudoscabiosa,Caprifoliaceae,2,24
Canarium multinervis,Canarium,Burseraceae,1,25
Impatiens latifolia,Impatiens,Balsaminaceae,1,3
Pterophylla minutiflora,Pterophylla,Cunoniaceae,1,41
Juncus subcaudatus,Juncus,Juncaceae,3,10
Aristolochia bonettiana,Aristolochia,Aristolochiaceae,1,9
Heuchera brizoides,Heuchera,Saxifragaceae,2,8
Amischotolype leiocarpa,Amischotolype,Commelinaceae,1,11
Diclis ovata,Diclis,Scrophulariaceae,1,11
Psorospermum lamianum,Psorospermum,Hypericaceae,1,10
Terminalia longispicata,Terminalia,Combretaceae,1,9
Erodium variabile,Erodium,Geraniaceae,1,8
Saurauia wigmanii,Saurauia,Actinidiaceae,1,2
Fumaria agragia,Fumaria,Papaveraceae,1,4
Ilexpollenites anguloclavatus,Ilexpollenites,Aquifoliaceae,1,3
Caraipa densifolia,Caraipa,Calophyllaceae,1,3
Menispermites brysoniana,Menispermites,Menispermaceae,1,3
Ternstroemia fragrans,Ternstroemia,Pentaphylacaceae,1,2
Dioscorea pseudocleistogama,Dioscorea,Dioscoreaceae,1,2
Passiflora belotii,Passiflora,Passifloraceae,1,4
Hibbertia orientalis,Hibbertia,Dilleniaceae,1,2
Geniostoma balansanum,Geniostoma,Loganiaceae,1,3
Premnophyllum trigonum,Premnophyllum,Verbenaceae,1,2
Potamogeton variifolius,Potamogeton,Potamogetonaceae,1,3
Tulipa silvestris,Tulipa,Liliaceae,1,2
Pittosporum ochrosiaefolium,Pittosporum,Pittosporaceae,1,3
Eriocaulon kushirense,Eriocaulon,Eriocaulaceae,1,1
Tambourissa eugenioides,Tambourissa,Monimiaceae,1,1
Symplocos laeviramolusa,Symplocos,Symplocaceae,1,1
Cypripedium macranthos,Cypripedium,Orchidaceae,18,186
Telekia speciosa,Telekia,Asteraceae,73,1683
Palicourea deflexa,Palicourea,Rubiaceae,16,87
Trifolium micranthum,Trifolium,Fabaceae,60,16101
Panicum miliaceum,Panicum,Poaceae,88,6236
Eriophorum virginicum,Eriophorum,Cyperaceae,45,607
Eucalyptus pulchella,Eucalyptus,Myrtaceae,8,2100
Euphorbia lecheoides,Euphorbia,Euphorbiaceae,15,42
Filipendula camtschatica,Filipendula,Rosaceae,34,1269
Alyxia bracteolosa,Alyxia,Apocynaceae,9,42
Glechoma grandis,Glechoma,Lamiaceae,22,2959
