candidate_id,review_decision,promote_to_ledger,accepted_species_override,normalized_value_override,quality,evidence_scope,source_lineage_override,review_reason
EPMC-87c0b4a48c6d7071e0bb,exclude,false,,,,,,Parsed a genus plus author abbreviation as a species and fails the species-rank identity gate
EPMC-2ba6705224037d75f5a9,exclude_false_closed_conflict,false,,,,,,Partial self-incompatibility is not collapsed to binary SI and conflicts with existing SC evidence
EPMC-2a3a05e020ca0d28185e,accept_direct,true,Samanea saman,predominantly_outcrossing,medium,synonym_direct,doi:10.1002/ece3.6005,Exact synonym resolves by WFO candidate consensus and GBIF exact match to Samanea saman
EPMC-d11beb359462bde3395d,accept_existing_not_promoted,false,,,,,,Valid SI statement but the same underlying Europe PMC article is already in the direct ledger
EPMC-d853dfbc127cf3b7790e,exclude,false,,,,,,The sentence states a research question and does not report the compatibility result
EPMC-0fa87b928d3a947bbc55,exclude,false,,,,,,Species name occurs only in an EFSA host list and has no self-compatibility statement
EPMC-78d833c8a1bb7d767680,exclude,false,,,,,,Species name occurs only in an EFSA host list and has no self-compatibility statement
EPMC-c081edf150955087abb3,exclude,false,,,,,,Self-fertility is limited to the named Milgarra accession and cannot be transferred to the wild species
EPMC-3436da52e113f3e856a3,exclude,false,,,,,,The source explicitly says compatibility is unknown
EPMC-26aadb011a5d43742f67,exclude,false,,,,,,The source explicitly says compatibility is unknown
EPMC-3c78ca768881b15c59cb,accept_existing_not_promoted,false,,,,,,Valid SI statement but the underlying evidence is already represented in the direct ledger
EPMC-34891d419d8f67266d6e,accept_rule_support_only_not_integrated,false,,,,,,Species-direct SC statement passes WFO and GBIF identity checks but the species is outside the fixed denominator
EPMC-c65cc5b58d332bb51c8c,exclude,false,,,,,,Species name occurs only in an EFSA host list and has no self-compatibility statement
EPMC-faae1a490037c3bd44c5,exclude,false,,,,,,Species name occurs only in an EFSA host list and has no self-compatibility statement
EPMC-85026df93202944c7168,exclude,false,,,,,,Species name occurs only in an EFSA host list and has no self-compatibility statement
EPMC-b28a01073939121fa027,exclude,false,,,,,,Species name occurs only in an EFSA host list and has no self-compatibility statement
EPMC-88333f644e7c040f0d80,exclude,false,,,,,,Species name occurs only in an EFSA host list and has no self-compatibility statement
EPMC-60983b769497278240f2,exclude,false,,,,,,Species name occurs only in an EFSA host list and has no self-compatibility statement
EPMC-1d5c1aafb9ba0807b365,exclude,false,,,,,,Species name occurs only in an EFSA host list and has no self-compatibility statement
EPMC-b5d2f7bdddf1c85186a2,exclude,false,,,,,,Machine polarity is wrong and the misspelled source name fails strict two-backbone identity
EPMC-b804b22bb08fbf7aa75a,accept_direct,true,,,medium,species_direct,doi:10.3389/fpls.2026.1760796,Species-specific statement supports partial self-compatibility without claiming autonomous selfing
EPMC-8c81fd8f578725ab749b,accept_direct,true,,,high,species_direct,doi:10.1038/s41598-018-32143-5,Original study explicitly states that the species is capable of autonomous selfing
