accepted_species,trait_layer,trait_name,provisional_candidate_value,matched_term,candidate_class,source,source_type,source_url,raw_description,evidence_scope,wild_or_cultivated,review_status,evidence_quote,source_chunk_id,source_text_sha256,extraction_method,model_provider,model_id,prompt_version,prompt_sha256,packet_input_sha256,ontology_sha256,extraction_run_id,confidence
Alophia drummondii,M0_floral_phenotype,flower_primary_color,multicolored_variable,Its tepals are dark purple with a yellow and reddish-brown base.,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Alophia_drummondii,Its tepals are dark purple with a yellow and reddish-brown base.,species_direct,unknown,unreviewed_llm_extraction,Its tepals are dark purple with a yellow and reddish-brown base.,src_f3698b4d6efe66c4dd12,e979365bb6bd2907ad00f3e34a023bbc896c1828ebdcc30d0769d0b7b4493044,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_62f5ca975938e9bd2e4c,high
Alophia drummondii,M0_other_reported_trait,inflorescence_display,few_flowered,Each plant produces a few flowers,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Alophia_drummondii,Each plant produces a few flowers,species_direct,unknown,unreviewed_llm_extraction,Each plant produces a few flowers,src_f3698b4d6efe66c4dd12,e979365bb6bd2907ad00f3e34a023bbc896c1828ebdcc30d0769d0b7b4493044,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_62f5ca975938e9bd2e4c,high
Aloysia virgata,M0_floral_phenotype,flower_primary_color,white,many small white flowers,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Aloysia_virgata,many small white flowers,species_direct,unknown,unreviewed_llm_extraction,many small white flowers,src_b15d0c3e92d070772725,e79a0e383d213d4ae396acafb896f2acd06620791280820bf758c973d6521a9a,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_62f5ca975938e9bd2e4c,high
Aloysia virgata,M0_other_reported_trait,flower_size_class,small,many small white flowers,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Aloysia_virgata,many small white flowers,species_direct,unknown,unreviewed_llm_extraction,many small white flowers,src_b15d0c3e92d070772725,e79a0e383d213d4ae396acafb896f2acd06620791280820bf758c973d6521a9a,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_62f5ca975938e9bd2e4c,high
Aloysia virgata,M0_other_reported_trait,inflorescence_display,raceme_spike_panicle,Flower Inflorescence: Spike,reported,llm_evidence_extraction,horticulture_site,https://plants.ces.ncsu.edu/plants/aloysia-virgata/,Flower Inflorescence: Spike,species_direct,unknown,unreviewed_llm_extraction,Flower Inflorescence: Spike,src_0535d9a50037ed1617e5,049cf8e09b5f267e62f9a674bb99a5bf52bcf47bbbb02f548121263018f9f464,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_62f5ca975938e9bd2e4c,high
Aloysia virgata,M0_other_reported_trait,reward_type,fragrance,intensely fragrant white flowers,reported,llm_evidence_extraction,horticulture_site,https://plants.ces.ncsu.edu/plants/aloysia-virgata/,intensely fragrant white flowers,species_direct,unknown,unreviewed_llm_extraction,intensely fragrant white flowers,src_0535d9a50037ed1617e5,049cf8e09b5f267e62f9a674bb99a5bf52bcf47bbbb02f548121263018f9f464,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_62f5ca975938e9bd2e4c,high
Aloysia virgata,M0_other_reported_trait,reward_type,nectar,The nectar-rich flowers are very attractive to bees,reported,llm_evidence_extraction,horticulture_site,https://tropical.theferns.info/viewtropical.php?id=Aloysia+virgata,The nectar-rich flowers are very attractive to bees,species_direct,unknown,unreviewed_llm_extraction,The nectar-rich flowers are very attractive to bees,src_40190ad2a58aad8fdd80,e0bc9ab8619e5f273697cdba46ec4342bc5b96dd1a4611b2f01f85178b0d9735,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_62f5ca975938e9bd2e4c,high
Aloysia virgata,M1_reproductive_assurance_pollen_vector,pollen_vector_mode,biotic,Pollinators. Bees.,reported,llm_evidence_extraction,horticulture_site,https://tropical.theferns.info/viewtropical.php?id=Aloysia+virgata,Pollinators. Bees.,species_direct,unknown,unreviewed_llm_extraction,Pollinators. Bees.,src_40190ad2a58aad8fdd80,e0bc9ab8619e5f273697cdba46ec4342bc5b96dd1a4611b2f01f85178b0d9735,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_62f5ca975938e9bd2e4c,high
Ammannia auriculata,M0_floral_phenotype,flower_primary_color,multicolored_variable,orange-purple flowers,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Ammannia_auriculata,orange-purple flowers,species_direct,unknown,unreviewed_llm_extraction,orange-purple flowers,src_4bc916b52eff7126eacb,8f0a5e04501c0d1db5842b552b543d64559ab0ba240a8381ed81383e92750b5f,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_62f5ca975938e9bd2e4c,high
Ampelopsis arborea,M0_floral_phenotype,flower_primary_color,green_brown_inconspicuous,"Flat-topped clusters of tiny, green flowers",reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Nekemias_arborea,"Flat-topped clusters of tiny, green flowers",species_direct,unknown,unreviewed_llm_extraction,"Flat-topped clusters of tiny, green flowers",src_980746f56af4f9183ff9,765fcd29c97447151602214ebd49c01bfb8a780e67343bedf2ec17495d6b51bc,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_62f5ca975938e9bd2e4c,high
Ampelopsis arborea,M0_other_reported_trait,flower_size_class,very_small,"Flat-topped clusters of tiny, green flowers",reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Nekemias_arborea,"Flat-topped clusters of tiny, green flowers",species_direct,unknown,unreviewed_llm_extraction,"Flat-topped clusters of tiny, green flowers",src_980746f56af4f9183ff9,765fcd29c97447151602214ebd49c01bfb8a780e67343bedf2ec17495d6b51bc,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_62f5ca975938e9bd2e4c,high
Ampelopsis arborea,M0_other_reported_trait,inflorescence_display,umbel_corymb,"Flat-topped clusters of tiny, green flowers",reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Nekemias_arborea,"Flat-topped clusters of tiny, green flowers",species_direct,unknown,unreviewed_llm_extraction,"Flat-topped clusters of tiny, green flowers",src_980746f56af4f9183ff9,765fcd29c97447151602214ebd49c01bfb8a780e67343bedf2ec17495d6b51bc,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_62f5ca975938e9bd2e4c,medium
Amphibolis griffithii,M0_other_reported_trait,sex_system,dioecious,bears its male and female flowers on separate plants,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Amphibolis_griffithii,bears its male and female flowers on separate plants,species_direct,unknown,unreviewed_llm_extraction,bears its male and female flowers on separate plants,src_d87e478b1fb56f10ed72,fb45e538cf6398caf54701f98064b4c6d56fc1cf87aece17c173372a7b199261,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_62f5ca975938e9bd2e4c,high
Amorphophallus hildebrandtii,M0_floral_phenotype,flower_primary_color,multicolored_variable,"base outside whitish, inside reddish purple with scattered, orbicular blackish spots",reported,llm_evidence_extraction,gbif_species_description,https://www.gbif.org/species/2871658,"base outside whitish, inside reddish purple with scattered, orbicular blackish spots",species_direct,unknown,unreviewed_llm_extraction,"base outside whitish, inside reddish purple with scattered, orbicular blackish spots",src_f209831f900c5ad49f57,8879895c2351e75fad4d56896ef14238b1ee2edf56065328520eb4e14dbdfe3c,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_62f5ca975938e9bd2e4c,high
