accepted_species,family,trait_name,normalized_value,raw_value,evidence_quality,source_provider,source_url,page_title,source_citation,source_excerpt,source_record_id,source_lineage,lineage_method,source_tier,source_type,domain,language,wild_cultivated_cultivar_status,content_sha256,content_sha256_basis,retrieved_at_utc,query
Abutilon mollissimum,Malvaceae,flower_primary_color,yellow_orange,Yellow,medium,Endemia New Caledonia,https://endemia.nc/en/search?section=flore&rank=Espece&colors=jaune&page=6,Endemia.nc - Search,Endemia original structured Flora/Species colour-filter result; species fiche https://endemia.nc/en/flore/fiche2059; supporting query pages https://endemia.nc/en/search?section=flore&rank=Espece&colors=jaune&page=6,Colors | Yellow | Abutilon mollissimum | 1 | Author: (Cav.) Sweet | Rank: Espece,endemia:fiche2059:flower-colours,provider_treatment:endemia:2059,endemia_species_treatment_across_structured_colour_filters,B,specialist_island_biodiversity_database,endemia.nc,en,native_or_endemic_species_record_not_cultivar_limited,421fe0909564378cb876cac035b0fe868ee37ba0a31ad866274b33e6d74389c2,sha256_of_sorted_retrieved_endemia_search_page_sha256_values,2026-08-14T02:45:00Z,credential_free_endemia_species_rank_structured_flower_colour_filter
Acacia simplex,Fabaceae,flower_primary_color,yellow_orange,Yellow,medium,Endemia New Caledonia,https://endemia.nc/en/search?section=flore&rank=Espece&colors=jaune&page=12,Endemia.nc - Search,Endemia original structured Flora/Species colour-filter result; species fiche https://endemia.nc/en/flore/fiche2074; supporting query pages https://endemia.nc/en/search?section=flore&rank=Espece&colors=jaune&page=12,Colors | Yellow | Acacia simplex | 14 | Author: (Sparrm.) Pedley | Rank: Espece | Red list status: Least Concern (LC),endemia:fiche2074:flower-colours,provider_treatment:endemia:2074,endemia_species_treatment_across_structured_colour_filters,B,specialist_island_biodiversity_database,endemia.nc,en,native_or_endemic_species_record_not_cultivar_limited,e36a1a5ac70fd32dde7c4b9eea90b62078e8916f1c7516f5e6f4b46d729eb674,sha256_of_sorted_retrieved_endemia_search_page_sha256_values,2026-08-14T02:45:00Z,credential_free_endemia_species_rank_structured_flower_colour_filter
Acalypha grandis,Euphorbiaceae,flower_primary_color,green_brown_inconspicuous|red_pink|white,Green|Red|White,medium,Endemia New Caledonia,https://endemia.nc/en/search?section=flore&rank=Espece&colors=blanche&page=12,Endemia.nc - Search,Endemia original structured Flora/Species colour-filter result; species fiche https://endemia.nc/en/flore/fiche1949; supporting query pages https://endemia.nc/en/search?section=flore&rank=Espece&colors=blanche&page=12 | https://endemia.nc/en/search?section=flore&rank=Espece&colors=rouge&page=2 | https://endemia.nc/en/search?section=flore&rank=Espece&colors=verte&page=2,Colors | Green | Acalypha grandis | Author: Benth. | Rank: Espece || Colors | Red | Acalypha grandis | Author: Benth. | Rank: Espece || Colors | White | Acalypha grandis | Author: Benth. | Rank: Espece,endemia:fiche1949:flower-colours,provider_treatment:endemia:1949,endemia_species_treatment_across_structured_colour_filters,B,specialist_island_biodiversity_database,endemia.nc,en,native_or_endemic_species_record_not_cultivar_limited,2b04747cd938c6080e690b7e5d7bda45f1d2e527bbd66445c0d3d4a23beb64bc,sha256_of_sorted_retrieved_endemia_search_page_sha256_values,2026-08-14T02:45:00Z,credential_free_endemia_species_rank_structured_flower_colour_filter
Acalypha pancheriana,Euphorbiaceae,flower_primary_color,green_brown_inconspicuous|red_pink,Green|Red,medium,Endemia New Caledonia,https://endemia.nc/en/search?section=flore&rank=Espece&colors=rouge&page=3,Endemia.nc - Search,Endemia original structured Flora/Species colour-filter result; species fiche https://endemia.nc/en/flore/fiche1950; supporting query pages https://endemia.nc/en/search?section=flore&rank=Espece&colors=rouge&page=3 | https://endemia.nc/en/search?section=flore&rank=Espece&colors=verte&page=3,Colors | Green | Acalypha pancheriana | 6 | Author: Baill. | Rank: Espece || Colors | Red | Acalypha pancheriana | 6 | Author: Baill. | Rank: Espece,endemia:fiche1950:flower-colours,provider_treatment:endemia:1950,endemia_species_treatment_across_structured_colour_filters,B,specialist_island_biodiversity_database,endemia.nc,en,native_or_endemic_species_record_not_cultivar_limited,06e79d1a06774aa6b80386753db5090cde829b340b06b0c39f476e8f6c501043,sha256_of_sorted_retrieved_endemia_search_page_sha256_values,2026-08-14T02:45:00Z,credential_free_endemia_species_rank_structured_flower_colour_filter
Achlydosa glandulosa,Orchidaceae,flower_primary_color,green_brown_inconspicuous,Green,medium,Endemia New Caledonia,https://endemia.nc/en/search?section=flore&rank=Espece&colors=verte&page=2,Endemia.nc - Search,Endemia original structured Flora/Species colour-filter result; species fiche https://endemia.nc/en/flore/fiche1080; supporting query pages https://endemia.nc/en/search?section=flore&rank=Espece&colors=verte&page=2,"Colors | Green | Achlydosa glandulosa |    | 20 | Author: (Schltr.) M.A.Clem. & D.L.Jones | Rank: Espece | Protected species: in Northern Province | Habitats: Savane humide , Forêt humide d'altitude , Maquis d'altitude , Maquis de basse altitude , Forêt humide de basse altitude | Substrates: Volcano-sédimentaire , substrats. | Red list status: Least Concern (LC)",endemia:fiche1080:flower-colours,provider_treatment:endemia:1080,endemia_species_treatment_across_structured_colour_filters,B,specialist_island_biodiversity_database,endemia.nc,en,native_or_endemic_species_record_not_cultivar_limited,54f984a245c15ae4a0e69b30a54062b1ce38c807bf41c57db4329834394196b0,sha256_of_sorted_retrieved_endemia_search_page_sha256_values,2026-08-14T02:45:00Z,credential_free_endemia_species_rank_structured_flower_colour_filter
Acridocarpus austrocaledonicus,Malpighiaceae,flower_primary_color,yellow_orange,Yellow,medium,Endemia New Caledonia,https://endemia.nc/en/search?section=flore&rank=Espece&colors=jaune&page=1,Endemia.nc - Search,Endemia original structured Flora/Species colour-filter result; species fiche https://endemia.nc/en/flore/fiche409; supporting query pages https://endemia.nc/en/search?section=flore&rank=Espece&colors=jaune&page=1,Colors | Yellow | Acridocarpus austrocaledonicus |   | 28 | Author: Baill. | Rank: Espece | Red list status: Least Concern (LC),endemia:fiche409:flower-colours,provider_treatment:endemia:409,endemia_species_treatment_across_structured_colour_filters,B,specialist_island_biodiversity_database,endemia.nc,en,native_or_endemic_species_record_not_cultivar_limited,99552143d31c5a1df451a8ed448c27ac1f868cad62a4479c4b92733c198ed6ea,sha256_of_sorted_retrieved_endemia_search_page_sha256_values,2026-08-14T02:45:00Z,credential_free_endemia_species_rank_structured_flower_colour_filter
Acropogon jaffrei,Malvaceae,flower_primary_color,red_pink,Red,medium,Endemia New Caledonia,https://endemia.nc/en/search?section=flore&rank=Espece&colors=rouge&page=1,Endemia.nc - Search,Endemia original structured Flora/Species colour-filter result; species fiche https://endemia.nc/en/flore/fiche4961; supporting query pages https://endemia.nc/en/search?section=flore&rank=Espece&colors=rouge&page=1,"Colors | Red | Acropogon jaffrei |    | 17 | Author: Morat & Chalopin | Rank: Espece | Protected species: in Southern Province , in Northern Province | Habitats: Forêt humide de basse altitude , Forêt sclérophylle | Substrates: substrats. | Red list status: Endangered (EN)",endemia:fiche4961:flower-colours,provider_treatment:endemia:4961,endemia_species_treatment_across_structured_colour_filters,B,specialist_island_biodiversity_database,endemia.nc,en,native_or_endemic_species_record_not_cultivar_limited,d216c030ec6926c35779e9f27743a473b4b0035fce5ddb718631ed86865d5543,sha256_of_sorted_retrieved_endemia_search_page_sha256_values,2026-08-14T02:45:00Z,credential_free_endemia_species_rank_structured_flower_colour_filter
Acropogon paagoumenensis,Malvaceae,flower_primary_color,white,White,medium,Endemia New Caledonia,https://endemia.nc/en/search?section=flore&rank=Espece&colors=blanche&page=6,Endemia.nc - Search,Endemia original structured Flora/Species colour-filter result; species fiche https://endemia.nc/en/flore/fiche5211; supporting query pages https://endemia.nc/en/search?section=flore&rank=Espece&colors=blanche&page=6,"Colors | White | Acropogon paagoumenensis |    | 22 | Author: Morat & Chalopin | Rank: Espece | Protected species: in Southern Province , in Northern Province | Habitats: Maquis de basse altitude | Substrates: Ultramafique | Red list status: Endangered (EN)",endemia:fiche5211:flower-colours,provider_treatment:endemia:5211,endemia_species_treatment_across_structured_colour_filters,B,specialist_island_biodiversity_database,endemia.nc,en,native_or_endemic_species_record_not_cultivar_limited,304cbab1acff56cc954ec558ac608a4d6bc44dd7cc6f7e369d09177694eaa5b6,sha256_of_sorted_retrieved_endemia_search_page_sha256_values,2026-08-14T02:45:00Z,credential_free_endemia_species_rank_structured_flower_colour_filter
Agatea longipedicellata,Violaceae,flower_primary_color,red_pink,Pink,medium,Endemia New Caledonia,https://endemia.nc/en/search?section=flore&rank=Espece&colors=rose&page=2,Endemia.nc - Search,Endemia original structured Flora/Species colour-filter result; species fiche https://endemia.nc/en/flore/fiche5016; supporting query pages https://endemia.nc/en/search?section=flore&rank=Espece&colors=rose&page=2,Colors | Pink | Agatea longipedicellata | 18 | Author: Baker f. | Rank: Espece,endemia:fiche5016:flower-colours,provider_treatment:endemia:5016,endemia_species_treatment_across_structured_colour_filters,B,specialist_island_biodiversity_database,endemia.nc,en,native_or_endemic_species_record_not_cultivar_limited,2e6713c3f767da0275aa3d5a4a0ebab9b58f6b1c333c40257f83c6ea013d1903,sha256_of_sorted_retrieved_endemia_search_page_sha256_values,2026-08-14T02:45:00Z,credential_free_endemia_species_rank_structured_flower_colour_filter
Alphitonia neocaledonica,Rhamnaceae,flower_primary_color,white,White,medium,Endemia New Caledonia,https://endemia.nc/en/search?section=flore&rank=Espece&colors=blanche&page=23,Endemia.nc - Search,Endemia original structured Flora/Species colour-filter result; species fiche https://endemia.nc/en/flore/fiche513; supporting query pages https://endemia.nc/en/search?section=flore&rank=Espece&colors=blanche&page=23,Colors | White | Alphitonia neocaledonica |   | 20 | Author: (Schltr.) Guillaumin | Rank: Espece | Red list status: Least Concern (LC),endemia:fiche513:flower-colours,provider_treatment:endemia:513,endemia_species_treatment_across_structured_colour_filters,B,specialist_island_biodiversity_database,endemia.nc,en,native_or_endemic_species_record_not_cultivar_limited,b87dc64b15400a833d36f79159bd190afadf04f1d42808895ee1049bf4429cc5,sha256_of_sorted_retrieved_endemia_search_page_sha256_values,2026-08-14T02:45:00Z,credential_free_endemia_species_rank_structured_flower_colour_filter
Alstonia coriacea,Apocynaceae,flower_primary_color,white,White,medium,Endemia New Caledonia,https://endemia.nc/en/search?section=flore&rank=Espece&colors=blanche&page=4,Endemia.nc - Search,Endemia original structured Flora/Species colour-filter result; species fiche https://endemia.nc/en/flore/fiche3286; supporting query pages https://endemia.nc/en/search?section=flore&rank=Espece&colors=blanche&page=4,Colors | White | Alstonia coriacea |   | 12 | Author: Pancher ex S.Moore | Rank: Espece | Red list status: Least Concern (LC),endemia:fiche3286:flower-colours,provider_treatment:endemia:3286,endemia_species_treatment_across_structured_colour_filters,B,specialist_island_biodiversity_database,endemia.nc,en,native_or_endemic_species_record_not_cultivar_limited,6b5f9f595a065b80ba9538b59cbfbede5769fb7104cc3a1ba1611a0e78adf150,sha256_of_sorted_retrieved_endemia_search_page_sha256_values,2026-08-14T02:45:00Z,credential_free_endemia_species_rank_structured_flower_colour_filter
Alstonia costata,Apocynaceae,flower_primary_color,white,White,medium,Endemia New Caledonia,https://endemia.nc/en/search?section=flore&rank=Espece&colors=blanche&page=1,Endemia.nc - Search,Endemia original structured Flora/Species colour-filter result; species fiche https://endemia.nc/en/flore/fiche5803; supporting query pages https://endemia.nc/en/search?section=flore&rank=Espece&colors=blanche&page=1,Colors | White | Alstonia costata | 13 | Author: (G.Forst.) R.Br. | Rank: Espece | Red list status: Least Concern (LC),endemia:fiche5803:flower-colours,provider_treatment:endemia:5803,endemia_species_treatment_across_structured_colour_filters,B,specialist_island_biodiversity_database,endemia.nc,en,native_or_endemic_species_record_not_cultivar_limited,447dd078b159e952ca7adfd4f8ca7e7bc0f1a9b738d01b3ec8b962b0c5af6507,sha256_of_sorted_retrieved_endemia_search_page_sha256_values,2026-08-14T02:45:00Z,credential_free_endemia_species_rank_structured_flower_colour_filter
Alstonia deplanchei,Apocynaceae,flower_primary_color,yellow_orange,Yellow,medium,Endemia New Caledonia,https://endemia.nc/en/search?section=flore&rank=Espece&colors=jaune&page=1,Endemia.nc - Search,Endemia original structured Flora/Species colour-filter result; species fiche https://endemia.nc/en/flore/fiche2399; supporting query pages https://endemia.nc/en/search?section=flore&rank=Espece&colors=jaune&page=1,Colors | Yellow | Alstonia deplanchei |   | 12 | Author: Van Heurck & Müll. Arg. | Rank: Espece | Red list status: Least Concern (LC),endemia:fiche2399:flower-colours,provider_treatment:endemia:2399,endemia_species_treatment_across_structured_colour_filters,B,specialist_island_biodiversity_database,endemia.nc,en,native_or_endemic_species_record_not_cultivar_limited,99552143d31c5a1df451a8ed448c27ac1f868cad62a4479c4b92733c198ed6ea,sha256_of_sorted_retrieved_endemia_search_page_sha256_values,2026-08-14T02:45:00Z,credential_free_endemia_species_rank_structured_flower_colour_filter
