accepted_species,axis,trait_name,normalized_value,quality,source_group,provider,source_url,candidate_id,source_citation,exact_supporting_quote,evidence_scope,name_match_method,source_lineage,lineage_method,source_run_id,source_artifact,source_file,acceptance_contract,accepted_correct,cultivar_status,reviewer,reviewed_at_utc,audit_reason
Aeschynomene indica,reproductive_assurance,autonomous_selfing_capacity,autonomous,medium,latest_public_web,alien_plants_greece,https://www.alienplants.gr/taxa/aeschynomene-indica,scale-3793e7baa75548c6f5bc4ca0,"Alien Plants in Greece web database, Pollination Type: Autogamy",Aeschynomene indica L.; Pollination Type: Autogamy (self-pollination),species_direct,accepted_name_exact,alien-plants-greece:taxon:aeschynomene-indica:autogamy,original_database_taxon_pollination_record,scale-source-acquisition-20260808,alien-plants-greece-autogamy-sha256-23ed2c727ba1e1457146412161db272ea7989d0f2f923964b61b9e53b9656011,autogamy.html,exact_species_database_pollination_record_v1,true,wild_or_unspecified_species_record,Codex evidence audit 2026-08-08,2026-08-08T15:48:00Z,Accepted: exact species taxon is explicitly assigned Autogamy in the source database; no cultivar or hybrid qualifier.
Aeschynomene rudis,reproductive_assurance,autonomous_selfing_capacity,autonomous,medium,latest_public_web,alien_plants_greece,https://www.alienplants.gr/taxa/aeschynomene-rudis,scale-095b7114c050e6b818c3708a,"Alien Plants in Greece web database, Pollination Type: Autogamy",Aeschynomene rudis Benth.; Pollination Type: Autogamy (self-pollination),species_direct,accepted_name_exact,alien-plants-greece:taxon:aeschynomene-rudis:autogamy,original_database_taxon_pollination_record,scale-source-acquisition-20260808,alien-plants-greece-autogamy-sha256-23ed2c727ba1e1457146412161db272ea7989d0f2f923964b61b9e53b9656011,autogamy.html,exact_species_database_pollination_record_v1,true,wild_or_unspecified_species_record,Codex evidence audit 2026-08-08,2026-08-08T15:48:00Z,Accepted: exact species taxon is explicitly assigned Autogamy in the source database; no cultivar or hybrid qualifier.
Ageratina adenophora,reproductive_assurance,autonomous_selfing_capacity,autonomous,medium,latest_public_web,alien_plants_greece,https://www.alienplants.gr/taxa/ageratina-adenophora,scale-1cebd9b065ca5e4d1d0614b8,"Alien Plants in Greece web database, Pollination Type: Autogamy",Ageratina adenophora (Spreng.) R.M. King & H. Rob.; Pollination Type: Autogamy (self-pollination),species_direct,accepted_name_exact,alien-plants-greece:taxon:ageratina-adenophora:autogamy,original_database_taxon_pollination_record,scale-source-acquisition-20260808,alien-plants-greece-autogamy-sha256-23ed2c727ba1e1457146412161db272ea7989d0f2f923964b61b9e53b9656011,autogamy.html,exact_species_database_pollination_record_v1,true,wild_or_unspecified_species_record,Codex evidence audit 2026-08-08,2026-08-08T15:48:00Z,Accepted: exact species taxon is explicitly assigned Autogamy in the source database; no cultivar or hybrid qualifier.
Ammannia auriculata,reproductive_assurance,autonomous_selfing_capacity,autonomous,medium,latest_public_web,alien_plants_greece,https://www.alienplants.gr/taxa/ammannia-auriculata,scale-c37bea7fd273eca8d9d57bfb,"Alien Plants in Greece web database, Pollination Type: Autogamy",Ammannia auriculata Willd.; Pollination Type: Autogamy (self-pollination),species_direct,accepted_name_exact,alien-plants-greece:taxon:ammannia-auriculata:autogamy,original_database_taxon_pollination_record,scale-source-acquisition-20260808,alien-plants-greece-autogamy-sha256-23ed2c727ba1e1457146412161db272ea7989d0f2f923964b61b9e53b9656011,autogamy.html,exact_species_database_pollination_record_v1,true,wild_or_unspecified_species_record,Codex evidence audit 2026-08-08,2026-08-08T15:48:00Z,Accepted: exact species taxon is explicitly assigned Autogamy in the source database; no cultivar or hybrid qualifier.
Ammannia baccifera,reproductive_assurance,autonomous_selfing_capacity,autonomous,medium,latest_public_web,alien_plants_greece,https://www.alienplants.gr/taxa/ammannia-baccifera,scale-288cb63118c2599c10167b33,"Alien Plants in Greece web database, Pollination Type: Autogamy",Ammannia baccifera L.; Pollination Type: Autogamy (self-pollination),species_direct,accepted_name_exact,alien-plants-greece:taxon:ammannia-baccifera:autogamy,original_database_taxon_pollination_record,scale-source-acquisition-20260808,alien-plants-greece-autogamy-sha256-23ed2c727ba1e1457146412161db272ea7989d0f2f923964b61b9e53b9656011,autogamy.html,exact_species_database_pollination_record_v1,true,wild_or_unspecified_species_record,Codex evidence audit 2026-08-08,2026-08-08T15:48:00Z,Accepted: exact species taxon is explicitly assigned Autogamy in the source database; no cultivar or hybrid qualifier.
Ammannia coccinea,reproductive_assurance,autonomous_selfing_capacity,autonomous,medium,latest_public_web,alien_plants_greece,https://www.alienplants.gr/taxa/ammannia-coccinea,scale-bcf0e59eb73729ce1faaabd0,"Alien Plants in Greece web database, Pollination Type: Autogamy",Ammannia coccinea Rottb.; Pollination Type: Autogamy (self-pollination),species_direct,accepted_name_exact,alien-plants-greece:taxon:ammannia-coccinea:autogamy,original_database_taxon_pollination_record,scale-source-acquisition-20260808,alien-plants-greece-autogamy-sha256-23ed2c727ba1e1457146412161db272ea7989d0f2f923964b61b9e53b9656011,autogamy.html,exact_species_database_pollination_record_v1,true,wild_or_unspecified_species_record,Codex evidence audit 2026-08-08,2026-08-08T15:48:00Z,Accepted: exact species taxon is explicitly assigned Autogamy in the source database; no cultivar or hybrid qualifier.
Ammannia senegalensis,reproductive_assurance,autonomous_selfing_capacity,autonomous,medium,latest_public_web,alien_plants_greece,https://www.alienplants.gr/taxa/ammannia-senegalensis,scale-1abc637140a094aa3d32c7af,"Alien Plants in Greece web database, Pollination Type: Autogamy",Ammannia senegalensis Lam.; Pollination Type: Autogamy (self-pollination),species_direct,accepted_name_exact,alien-plants-greece:taxon:ammannia-senegalensis:autogamy,original_database_taxon_pollination_record,scale-source-acquisition-20260808,alien-plants-greece-autogamy-sha256-23ed2c727ba1e1457146412161db272ea7989d0f2f923964b61b9e53b9656011,autogamy.html,exact_species_database_pollination_record_v1,true,wild_or_unspecified_species_record,Codex evidence audit 2026-08-08,2026-08-08T15:48:00Z,Accepted: exact species taxon is explicitly assigned Autogamy in the source database; no cultivar or hybrid qualifier.
Antirrhinum majus,reproductive_assurance,autonomous_selfing_capacity,autonomous,medium,latest_public_web,alien_plants_greece,https://www.alienplants.gr/taxa/antirrhinum-majus,scale-7e173dc1eb8ad9ddb04de6a7,"Alien Plants in Greece web database, Pollination Type: Autogamy",Antirrhinum majus L.; Pollination Type: Autogamy (self-pollination),species_direct,accepted_name_exact,alien-plants-greece:taxon:antirrhinum-majus:autogamy,original_database_taxon_pollination_record,scale-source-acquisition-20260808,alien-plants-greece-autogamy-sha256-23ed2c727ba1e1457146412161db272ea7989d0f2f923964b61b9e53b9656011,autogamy.html,exact_species_database_pollination_record_v1,true,wild_or_unspecified_species_record,Codex evidence audit 2026-08-08,2026-08-08T15:48:00Z,Accepted: exact species taxon is explicitly assigned Autogamy in the source database; no cultivar or hybrid qualifier.
Asparagus setaceus,reproductive_assurance,autonomous_selfing_capacity,autonomous,medium,latest_public_web,alien_plants_greece,https://www.alienplants.gr/taxa/asparagus-setaceus,scale-14646e722b8421a080828e22,"Alien Plants in Greece web database, Pollination Type: Autogamy",Asparagus setaceus (Kunth) Jessop; Pollination Type: Autogamy (self-pollination),species_direct,accepted_name_exact,alien-plants-greece:taxon:asparagus-setaceus:autogamy,original_database_taxon_pollination_record,scale-source-acquisition-20260808,alien-plants-greece-autogamy-sha256-23ed2c727ba1e1457146412161db272ea7989d0f2f923964b61b9e53b9656011,autogamy.html,exact_species_database_pollination_record_v1,true,wild_or_unspecified_species_record,Codex evidence audit 2026-08-08,2026-08-08T15:48:00Z,Accepted: exact species taxon is explicitly assigned Autogamy in the source database; no cultivar or hybrid qualifier.
Atriplex hortensis,reproductive_assurance,autonomous_selfing_capacity,autonomous,medium,latest_public_web,alien_plants_greece,https://www.alienplants.gr/taxa/atriplex-hortensis,scale-c654e1afd797defa45d64882,"Alien Plants in Greece web database, Pollination Type: Autogamy",Atriplex hortensis L.; Pollination Type: Autogamy (self-pollination),species_direct,accepted_name_exact,alien-plants-greece:taxon:atriplex-hortensis:autogamy,original_database_taxon_pollination_record,scale-source-acquisition-20260808,alien-plants-greece-autogamy-sha256-23ed2c727ba1e1457146412161db272ea7989d0f2f923964b61b9e53b9656011,autogamy.html,exact_species_database_pollination_record_v1,true,wild_or_unspecified_species_record,Codex evidence audit 2026-08-08,2026-08-08T15:48:00Z,Accepted: exact species taxon is explicitly assigned Autogamy in the source database; no cultivar or hybrid qualifier.
