accepted_species,genus,family,n_islands,n_records
Encyclia tampensis,Encyclia,Orchidaceae,22,54
Pluchea carolinensis,Pluchea,Asteraceae,101,2152
Vangueria madagascariensis,Vangueria,Rubiaceae,21,474
Acacia melanoxylon,Acacia,Fabaceae,76,11918
Digitaria violascens,Digitaria,Poaceae,112,2369
Carex dacica,Carex,Cyperaceae,69,229
Myrcia cuprea,Myrcia,Myrtaceae,11,137
Beyeria lechenaultii,Beyeria,Euphorbiaceae,19,576
Rosa nutkana,Rosa,Rosaceae,54,1740
Parsonsia capsularis,Parsonsia,Apocynaceae,12,2033
Salvia serotina,Salvia,Lamiaceae,37,135
Chaetogastra ornata,Chaetogastra,Melastomataceae,5,108
Grewia laevigata,Grewia,Malvaceae,17,96
Gaultheria heterophylla,Gaultheria,Ericaceae,12,158
Orania regalis,Orania,Arecaceae,6,22
Oplonia tetrasticha,Oplonia,Acanthaceae,5,42
Nothaphoebe macrocarpa,Nothaphoebe,Lauraceae,6,80
Primula veris x vulgaris,Primula,Primulaceae,7,102
Cyrtandra jackii,Cyrtandra,Gesneriaceae,3,6
Glochidion novae-georgiae,Glochidion,Phyllanthaceae,7,11
Thaumatophyllum corcovadense,Thaumatophyllum,Araceae,6,13
Ranunculus fallax,Ranunculus,Ranunculaceae,15,65
Drepananthus pahangensis,Drepananthus,Annonaceae,4,14
Cardamine fallax,Cardamine,Brassicaceae,29,624
Harpullia austrocaledonica,Harpullia,Sapindaceae,6,170
Boronia alata,Boronia,Rutaceae,5,12
Cerastium elongatum,Cerastium,Caryophyllaceae,25,108
Trocdaris verticillatum,Trocdaris,Apiaceae,15,6901
Pouzolzia australis,Pouzolzia,Urticaceae,5,111
Salix aurita x repens,Salix,Salicaceae,10,23
Artocarpus teysmannii,Artocarpus,Moraceae,11,82
Macropiper hooglandii,Macropiper,Piperaceae,3,80
Adenosma glutinosa,Adenosma,Plantaginaceae,13,162
Polyscias duplicata,Polyscias,Araliaceae,4,183
Solanum volubile,Solanum,Solanaceae,10,32
Hedychium gardneranum,Hedychium,Zingiberaceae,3,5
Asparagus africanus,Asparagus,Asparagaceae,10,67
Pouteria sessiliflora,Pouteria,Sapotaceae,3,22
Begonia betsimisaraka,Begonia,Begoniaceae,1,40
Suaeda vermiculata,Suaeda,Amaranthaceae,16,253
