accepted_species,axis,trait_name,normalized_value,quality,source_group,provider,source_url,candidate_id,source_citation,exact_supporting_quote,evidence_scope,name_match_method,source_lineage,lineage_method,source_run_id,source_artifact,source_file,acceptance_contract,accepted_correct,cultivar_status,reviewer,reviewed_at_utc,audit_reason
Capsicum frutescens,floral_structural_complexity,floral_form,bell_campanulate|open_radial,high,latest_public_web,sanbi_eflora_south_africa_v1_42,https://ipt.sanbi.org.za/resource?r=flora_descriptions,sanbi:wfo-0001020090:17F90676-CB03-4F0E-B460-35BD3CCB2640:floral_form:46db4e5faaa5,"Gonçalves, AE. 2005. 119. Solanaceae, Fl. Zambes. 8(4): 1-124. Royal Botanic Gardens, Kew, London. [CC BY]","Corolla white or yellowish to greenish, rarely purplish, often with yellow markings in the throat, rotate-campanulate; limb 6-10 mm across; lobes 1.5-4 mm long, ovate-triangular, acute, ± ciliolate, spreading or reflexed.",species_direct,accepted_name_exact_wfo_species_record,citation:378b0c06b5a457431bfd9bec7356f50e,normalized_original_citation,sanbi-eflora-south-africa-v1.42-20260809,sanbi-eflora-south-africa-dwca-v1.42,description.txt,official_dwca_flora_exact_species_description_quote_v1,True,wild_or_official_flora_treatment,codex_manual_quote_value_identity_audit_20260810,2026-08-09T15:00:34Z,"Accepted: exact species identity, exact source quote, normalized value, and original citation verified against pinned DwC-A."
Ceropegia africana,floral_structural_complexity,floral_form,funnel_trumpet,high,latest_public_web,sanbi_eflora_south_africa_v1_42,https://ipt.sanbi.org.za/resource?r=flora_descriptions,sanbi:wfo-0000597978:6CE55B1E-4C3A-4997-8E08-C33AD3417E63:floral_form:956d0a6054a7,"Herman, PPJ; Retief, E. 1997. Plants of the northern provinces of South Africa: Keys and diagnostic characters. Strelitzia 6: 1-681. National Botanical Institute, Pretoria. [CC BY]","Corolla lobes forming an open cage-like structure, a third to half the length of corolla, forming slender beak; tube somewhat trumpet-shaped at mouth.",species_direct,accepted_name_exact_wfo_species_record,citation:7218986a5b214bc3131156aa91699a61,normalized_original_citation,sanbi-eflora-south-africa-v1.42-20260809,sanbi-eflora-south-africa-dwca-v1.42,description.txt,official_dwca_flora_exact_species_description_quote_v1,True,wild_or_official_flora_treatment,codex_manual_quote_value_identity_audit_20260810,2026-08-09T15:00:34Z,"Accepted: exact species identity, exact source quote, normalized value, and original citation verified against pinned DwC-A."
Crassula capitella,floral_structural_complexity,floral_form,tubular,high,latest_public_web,sanbi_eflora_south_africa_v1_42,https://ipt.sanbi.org.za/resource?r=flora_descriptions,sanbi:wfo-0000624875:9DBA1D8F-DBA1-4336-BE04-9C031C69FA45:floral_form:8b7105e620df,"Bruyns, PV. 2013. Crassulaceae. In: DA Snijman (ed.), Plants of the Greater Cape Floristic Region 2: The Extra Cape flora, Strelitzia 30: 350-366. South African National Biodiversity Institute, Pretoria. [CC BY]","Flowers nearly sessile, in several, stalked clusters, in a ± loose, spike-like inflorescence on a distinct, leafy bracteate, glabrous peduncle, tubular, petals 3-4 mm long, fused in lower 0.6 mm, white or cream, tinged red.",species_direct,accepted_name_exact_wfo_species_record,citation:ddfaa55c96d4dffc06f77b89fe13851a,normalized_original_citation,sanbi-eflora-south-africa-v1.42-20260809,sanbi-eflora-south-africa-dwca-v1.42,description.txt,official_dwca_flora_exact_species_description_quote_v1,True,wild_or_official_flora_treatment,codex_manual_quote_value_identity_audit_20260810,2026-08-09T15:00:34Z,"Accepted: exact species identity, exact source quote, normalized value, and original citation verified against pinned DwC-A."
Crassula pubescens,floral_structural_complexity,floral_form,tubular,high,latest_public_web,sanbi_eflora_south_africa_v1_42,https://ipt.sanbi.org.za/resource?r=flora_descriptions,sanbi:wfo-0000625371:B87A373B-2EF1-4B1A-8017-0B797DF152B1:floral_form:189f8eb5fb71,"Manning, JC; Goldblatt, P; Bruyns, PV. 2012. Crassulaceae. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 468-477. South African National Biodiversity Institute, Pretoria. [CC BY]","Flowers in rounded to elongate clusters on puberulous to smooth peduncles, tubular, cream-coloured, petals ± 2.5 mm long, petals with subglobose dorsal appendage.",species_direct,accepted_name_exact_wfo_species_record,citation:53d0a9c336275f8376d2bbca2065093f,normalized_original_citation,sanbi-eflora-south-africa-v1.42-20260809,sanbi-eflora-south-africa-dwca-v1.42,description.txt,official_dwca_flora_exact_species_description_quote_v1,True,wild_or_official_flora_treatment,codex_manual_quote_value_identity_audit_20260810,2026-08-09T15:00:34Z,"Accepted: exact species identity, exact source quote, normalized value, and original citation verified against pinned DwC-A."
Crassula undulata,floral_structural_complexity,floral_form,tubular,high,latest_public_web,sanbi_eflora_south_africa_v1_42,https://ipt.sanbi.org.za/resource?r=flora_descriptions,sanbi:wfo-0000625582:4CEAA3C1-A87C-468E-AD3C-8145C78B446F:floral_form:8a8ad88bfb35,"Toelken, HR. 1985. Crassulaceae, Fl. S. Africa 14: 1-229. [CC BY]","Corolla tubular, fused at base for 1-1.3 mm, white often tinged red or pink; lobes oblanceolate-oblong, 6-8 mm long, acute, with dorsal appendage, strongly recurved or reflexed.",species_direct,accepted_name_exact_wfo_species_record,citation:37d7584c3c2673d18e39314818c1360a,normalized_original_citation,sanbi-eflora-south-africa-v1.42-20260809,sanbi-eflora-south-africa-dwca-v1.42,description.txt,official_dwca_flora_exact_species_description_quote_v1,True,wild_or_official_flora_treatment,codex_manual_quote_value_identity_audit_20260810,2026-08-09T15:00:34Z,"Accepted: exact species identity, exact source quote, normalized value, and original citation verified against pinned DwC-A."
Crassula undulata,floral_structural_complexity,floral_form,tubular,high,latest_public_web,sanbi_eflora_south_africa_v1_42,https://ipt.sanbi.org.za/resource?r=flora_descriptions,sanbi:wfo-0000625582:B87A373B-2EF1-4B1A-8017-0B797DF152B1:floral_form:29b6b2bf510e,"Manning, JC; Goldblatt, P; Bruyns, PV. 2012. Crassulaceae. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 468-477. South African National Biodiversity Institute, Pretoria. [CC BY]","Flowers in subsessile, flat to rounded clusters, tubular, white tinged pinkish, petals ± 8 mm long.",species_direct,accepted_name_exact_wfo_species_record,citation:53d0a9c336275f8376d2bbca2065093f,normalized_original_citation,sanbi-eflora-south-africa-v1.42-20260809,sanbi-eflora-south-africa-dwca-v1.42,description.txt,official_dwca_flora_exact_species_description_quote_v1,True,wild_or_official_flora_treatment,codex_manual_quote_value_identity_audit_20260810,2026-08-09T15:00:34Z,"Accepted: exact species identity, exact source quote, normalized value, and original citation verified against pinned DwC-A."
Erica pinea,floral_structural_complexity,floral_form,tubular,high,latest_public_web,sanbi_eflora_south_africa_v1_42,https://ipt.sanbi.org.za/resource?r=flora_descriptions,sanbi:wfo-0000672928:EB6BBC06-24E0-4CC7-B279-AFE35FA6A732:floral_form:c60779e8ef63,"Bolus, H; Guthrie, F. 1909. Ericaceae: I. Erica. In: WT Thiselton-Dyer (ed.), Vacciniaceae to Gentianeae, Fl. Cap. (Harvey) 4: 2-315. Lovell Reeve & Co., London. [All rights reserved]","Long; bracts, 2 approximate, linear, 2 1/2 lin. long, thee third medial and smaller; sepals linear from an ovate base with subscarious margins, acute, foliaceous, glabrous, 2 1/2-3 1/2 lin. long; corolla clavate-tubular, slightly curved, glabrous, dry, yellow, or white, 10-12 lin. long; anthers subexserted or subincluded, lateral, oblong, basifixed, muticous, from 2/3-1 lin. long, pore about 1/3 the length of the cell; ovary turbinate, shortly stipitate, glabrous.",species_direct,accepted_name_exact_wfo_species_record,citation:a3c4a81405899966632f2077dc72ceb4,normalized_original_citation,sanbi-eflora-south-africa-v1.42-20260809,sanbi-eflora-south-africa-dwca-v1.42,description.txt,official_dwca_flora_exact_species_description_quote_v1,True,wild_or_official_flora_treatment,codex_manual_quote_value_identity_audit_20260810,2026-08-09T15:00:34Z,"Accepted: exact species identity, exact source quote, normalized value, and original citation verified against pinned DwC-A."
Erica subdivaricata,floral_structural_complexity,floral_form,bell_campanulate,high,latest_public_web,sanbi_eflora_south_africa_v1_42,https://ipt.sanbi.org.za/resource?r=flora_descriptions,sanbi:wfo-0000673345:D49B52E4-387C-495B-9575-B806E7BFC82D:floral_form:aff0488a0cf9,"Bester, SP. 2019. Ericaceae. In: CL Bredenkamp (ed.), A Flora of the Eastern Cape Province, Strelitzia 41(2): 864-896. South African National Biodiversity Institute, Pretoria. [CC BY]","Corolla campanulate-cyathiform or subturbinate, mouth widened, white or rosy, ± 2.7 mm long; lobes spreading or erect, ± 2/3 as long as tube, interstices between segments acute, closed.",species_direct,accepted_name_exact_wfo_species_record,citation:28376bfe8df488147417c00770a1d0f2,normalized_original_citation,sanbi-eflora-south-africa-v1.42-20260809,sanbi-eflora-south-africa-dwca-v1.42,description.txt,official_dwca_flora_exact_species_description_quote_v1,True,wild_or_official_flora_treatment,codex_manual_quote_value_identity_audit_20260810,2026-08-09T15:00:34Z,"Accepted: exact species identity, exact source quote, normalized value, and original citation verified against pinned DwC-A."
Ipomoea crassipes,floral_structural_complexity,floral_form,funnel_trumpet,high,latest_public_web,sanbi_eflora_south_africa_v1_42,https://ipt.sanbi.org.za/resource?r=flora_descriptions,sanbi:wfo-0001297713:1CD2FC91-B9F1-4D58-9A0B-21F495A45CF9:floral_form:df73a2efce2b,"Welman, WG. 2019. Convolvulaceae. In: CL Bredenkamp (ed.), A Flora of the Eastern Cape Province, Strelitzia 41(1): 790-803. South African National Biodiversity Institute, Pretoria. [CC BY]","Corolla funnel-shaped, mauve to purple, centre darker, midpetaline areas lighter, 30-45 mm long.",species_direct,accepted_name_exact_wfo_species_record,citation:2a7d9ce56844a345e988a0b0af6469c8,normalized_original_citation,sanbi-eflora-south-africa-v1.42-20260809,sanbi-eflora-south-africa-dwca-v1.42,description.txt,official_dwca_flora_exact_species_description_quote_v1,True,wild_or_official_flora_treatment,codex_manual_quote_value_identity_audit_20260810,2026-08-09T15:00:34Z,"Accepted: exact species identity, exact source quote, normalized value, and original citation verified against pinned DwC-A."
Lachenalia congesta,floral_structural_complexity,floral_form,urn_urceolate,high,latest_public_web,sanbi_eflora_south_africa_v1_42,https://ipt.sanbi.org.za/resource?r=flora_descriptions,sanbi:wfo-0000682630:C99A730C-6ECB-488D-BDBC-A8A55BA96B85:floral_form:3c5625335e5e,"Duncan, GD. 2013. Hyacinthaceae: Lachenalia. In: DA Snijman (ed.), Plants of the Greater Cape Floristic Region 2: The Extra Cape flora, Strelitzia 30: 80-87. South African National Biodiversity Institute, Pretoria. [CC BY]","Flowers urceolate, congested, sessile, strongly sweet-scented, tepals cream with green apical swellings, stamens included.",species_direct,accepted_name_exact_wfo_species_record,citation:d52471a3423d3b94c11bfaf959e1b5f3,normalized_original_citation,sanbi-eflora-south-africa-v1.42-20260809,sanbi-eflora-south-africa-dwca-v1.42,description.txt,official_dwca_flora_exact_species_description_quote_v1,True,wild_or_official_flora_treatment,codex_manual_quote_value_identity_audit_20260810,2026-08-09T15:00:34Z,"Accepted: exact species identity, exact source quote, normalized value, and original citation verified against pinned DwC-A."
