accepted_species,genus,family,n_islands,n_records
Platanthera lacera,Platanthera,Orchidaceae,29,229
Thrincia saxatilis,Thrincia,Asteraceae,141,52538
Mussaenda parviflora,Mussaenda,Rubiaceae,28,1572
Lespedeza bicolor,Lespedeza,Fabaceae,95,3199
Themeda triandra,Themeda,Poaceae,154,3777
Isolepis fluitans,Isolepis,Cyperaceae,98,17779
Eucalyptus amygdalina,Eucalyptus,Myrtaceae,14,10347
Croton tiglium,Croton,Euphorbiaceae,27,262
Aria edulis,Aria,Rosaceae,74,22282
Sinomarsdenia tomentosa,Sinomarsdenia,Apocynaceae,17,263
Stachys cretica,Stachys,Lamiaceae,49,503
Miconia globuliflora,Miconia,Melastomataceae,6,62
Triumfetta lappula,Triumfetta,Malvaceae,25,96
Bryanthus musciformis,Bryanthus,Ericaceae,17,148
Calamus siphonospathus,Calamus,Arecaceae,8,96
Ruellia elegans,Ruellia,Acanthaceae,8,42
Machilus rimosus,Machilus,Lauraceae,8,141
Myrsine leucantha,Myrsine,Primulaceae,9,271
Aeschynanthus speciosus,Aeschynanthus,Gesneriaceae,3,53
Glochidion urophylloides,Glochidion,Phyllanthaceae,9,15
Thaumatophyllum xanadu,Thaumatophyllum,Araceae,9,15
Delphinium elatum,Delphinium,Ranunculaceae,25,57
Goniothalamus aruensis,Goniothalamus,Annonaceae,5,43
Aurinia saxatilis,Aurinia,Brassicaceae,49,1718
Acer tschonoskii,Acer,Sapindaceae,8,2034
Boronia wilsonii,Boronia,Rutaceae,8,18
Stellaria edwardsii,Stellaria,Caryophyllaceae,37,138
Kreidion gmelinii,Kreidion,Apiaceae,34,59
Boehmeria clidemioides,Boehmeria,Urticaceae,8,34
Salix chloroclados,Salix,Salicaceae,16,30
Ficus fulva,Ficus,Moraceae,15,293
Peperomia bangroana,Peperomia,Piperaceae,4,66
Plantago aristata,Plantago,Plantaginaceae,20,139
Polyscias spectabilis,Polyscias,Araliaceae,6,207
Solanum scabrum,Solanum,Solanaceae,14,107
Etlingera calophrys,Etlingera,Zingiberaceae,3,46
Thysanotus chinensis,Thysanotus,Asparagaceae,17,58
Planchonella vrieseana,Planchonella,Sapotaceae,4,20
Begonia fruticella,Begonia,Begoniaceae,2,3
Celosia nitida,Celosia,Amaranthaceae,25,105
Jacquemontia abutiloides,Jacquemontia,Convolvulaceae,15,153
Freycinetia merrillii,Freycinetia,Pandanaceae,3,4
Lobelia cirsiifolia,Lobelia,Campanulaceae,6,27
Quercus lobata,Quercus,Fagaceae,5,71
Persicaria mitis,Persicaria,Polygonaceae,17,2289
Salacia grandiflora,Salacia,Celastraceae,5,7
Grevillea sericea,Grevillea,Proteaceae,3,5
Euphrasia nemorosa x stricta,Euphrasia,Orobanchaceae,16,49
Emmenosperma papuanum,Emmenosperma,Rhamnaceae,5,44
Trachystemon orientale,Trachystemon,Boraginaceae,9,1959
Didymocheton sessilis,Didymocheton,Meliaceae,6,17
Dubouzetia galorei,Dubouzetia,Elaeocarpaceae,2,39
Jasminum artense,Jasminum,Oleaceae,4,71
Diospyros nidiformis,Diospyros,Ebenaceae,3,11
Crassula spathulata,Crassula,Crassulaceae,7,20
Symbolanthus frigidus,Symbolanthus,Gentianaceae,4,58
Swintonia schwenckii,Swintonia,Anacardiaceae,5,76
Cissus rhodotricha,Cissus,Vitaceae,4,150
Viola seoulensis,Viola,Violaceae,7,21
Parashorea warburgii,Parashorea,Dipterocarpaceae,3,105
Colea seychellarum,Colea,Bignoniaceae,3,128
Horsfieldia macilenta,Horsfieldia,Myristicaceae,3,7
Trichosanthes orientalis,Trichosanthes,Cucurbitaceae,5,18
Allium victorialis,Allium,Amaryllidaceae,10,53
Lepeostegeres lanceifolius,Lepeostegeres,Loranthaceae,3,23
Epilobium ravenii,Epilobium,Onagraceae,7,37
Gladiolus colvillei,Gladiolus,Iridaceae,8,31
Tristellateia bojerana,Tristellateia,Malpighiaceae,2,25
Pimelea clavata,Pimelea,Thymelaeaceae,3,17
Opuntia pilifera,Opuntia,Cactaceae,5,7
Garcinia madagascariensis,Garcinia,Clusiaceae,2,44
Limonium ponzoi,Limonium,Plumbaginaceae,3,3
Pitcairnia spicata,Pitcairnia,Bromeliaceae,3,59
Polygala galapageia,Polygala,Polygalaceae,3,9
Aloe lomatophylloides,Aloe,Asphodelaceae,2,5
Protium guianense,Protium,Burseraceae,2,26
Valeriana tuberosa,Valeriana,Caprifoliaceae,6,42
Impatiens lachnosperma,Impatiens,Balsaminaceae,1,11
Juncus pylaei,Juncus,Juncaceae,13,56
Pterophylla bojeriana,Pterophylla,Cunoniaceae,1,342
Isotrema arborea,Isotrema,Aristolochiaceae,2,6
Hypericum geminiflorum,Hypericum,Hypericaceae,2,316
Amischotolype rostrata,Amischotolype,Commelinaceae,3,21
Micranthes manchuriensis,Micranthes,Saxifragaceae,5,26
Scrophularia hypericifolia,Scrophularia,Scrophulariaceae,3,16
Combretum albidum,Combretum,Combretaceae,2,6
Saurauia erythrothrica,Saurauia,Actinidiaceae,1,7
Papaver gorgoneum,Papaver,Papaveraceae,5,13
Erodium reichardii,Erodium,Geraniaceae,3,105
Mammea punctata,Mammea,Calophyllaceae,1,159
Ilex theizans,Ilex,Aquifoliaceae,2,2
Adinandra impressa,Adinandra,Pentaphylacaceae,1,13
Hibbertia racemosa,Hibbertia,Dilleniaceae,2,13
Abuta grandifolia,Abuta,Menispermaceae,2,3
Adenia peltata,Adenia,Passifloraceae,2,3
Dioscorea bemandry,Dioscorea,Dioscoreaceae,1,75
Diphyllocalyx cayensis,Diphyllocalyx,Verbenaceae,2,6
Neuburgia macrocarpa,Neuburgia,Loganiaceae,2,2
Aloe arborecens,Aloe,Liliaceae,4,6
Pittosporum patulum,Pittosporum,Pittosporaceae,1,201
Eriocaulon mikawanum,Eriocaulon,Eriocaulaceae,1,10
Palmeria incana,Palmeria,Monimiaceae,1,8
Lagerstroemia limii,Lagerstroemia,Lythraceae,2,4
Symplocos reginae,Symplocos,Symplocaceae,1,22
