accepted_species,genus,family,n_islands,n_records
Neottia cordata,Neottia,Orchidaceae,418,18380
Sonchus oleraceus,Sonchus,Asteraceae,780,225155
Galium palustre,Galium,Rubiaceae,583,214642
Trifolium pratense,Trifolium,Fabaceae,837,379724
Poa annua,Poa,Poaceae,874,342375
Carex nigra,Carex,Cyperaceae,646,164015
Myrtus communis,Myrtus,Myrtaceae,143,10024
Euphorbia helioscopia,Euphorbia,Euphorbiaceae,401,88956
Sorbus aucuparia,Sorbus,Rosaceae,683,276291
Nerium oleander,Nerium,Apocynaceae,369,10291
Scutellaria galericulata,Scutellaria,Lamiaceae,457,58114
Miconia crenata,Miconia,Melastomataceae,96,6849
Thespesia populnea,Thespesia,Malvaceae,302,5476
Vaccinium vitis-idaea,Vaccinium,Ericaceae,732,50061
Adonidia merrillii,Adonidia,Arecaceae,97,684
Ruellia simplex,Ruellia,Acanthaceae,227,2696
Persea americana,Persea,Lauraceae,169,2112
Lysimachia europaea,Lysimachia,Primulaceae,545,19786
Episcia cupreata,Episcia,Gesneriaceae,38,130
Phyllanthus urinaria,Phyllanthus,Phyllanthaceae,152,2228
Calla palustris,Calla,Araceae,202,3679
Ranunculus acris,Ranunculus,Ranunculaceae,711,374094
Cananga odorata,Cananga,Annonaceae,142,1537
Cardamine pratensis,Cardamine,Brassicaceae,568,272136
Acer platanoides,Acer,Sapindaceae,328,283140
Micromelum minutum,Micromelum,Rutaceae,135,1057
Sagina procumbens,Sagina,Caryophyllaceae,691,189889
Angelica sylvestris,Angelica,Apiaceae,564,265317
Urtica urens,Urtica,Urticaceae,362,53071
Populus tremula,Populus,Salicaceae,567,87050
Artocarpus altilis,Artocarpus,Moraceae,219,3719
Piper betle,Piper,Piperaceae,80,1062
Plantago lanceolata,Plantago,Plantaginaceae,808,560413
Hydrocotyle vulgaris,Hydrocotyle,Araliaceae,207,88930
Solanum dulcamara,Solanum,Solanaceae,383,239968
Alpinia purpurata,Alpinia,Zingiberaceae,121,2727
Maianthemum bifolium,Maianthemum,Asparagaceae,332,9065
Planchonella obovata,Planchonella,Sapotaceae,112,1284
Begonia hirtella,Begonia,Begoniaceae,31,825
Chenopodium album,Chenopodium,Amaranthaceae,537,80308
Calystegia sepium,Calystegia,Convolvulaceae,442,181294
Pandanus odorifer,Pandanus,Pandanaceae,81,1314
Campanula persicifolia,Campanula,Campanulaceae,239,12983
Fagus sylvatica,Fagus,Fagaceae,220,297896
Rumex crispus,Rumex,Polygonaceae,788,270292
