accepted_species,genus,family,n_islands,n_records
Liparis caespitosa,Liparis,Orchidaceae,18,96
Achyrophorus valdesii,Achyrophorus,Asteraceae,68,2327
Ixora macrophylla,Ixora,Rubiaceae,15,103
Trifolium lappaceum,Trifolium,Fabaceae,55,633
Arctopoa eminens,Arctopoa,Poaceae,79,288
Scleria polycarpa,Scleria,Cyperaceae,41,188
Eucalyptus siderophloia,Eucalyptus,Myrtaceae,8,27
Croton californicus,Croton,Euphorbiaceae,13,46
Poterium verrucosum,Poterium,Rosaceae,33,210
Vincetoxicum cissoides,Vincetoxicum,Apocynaceae,8,53
Clerodendrum infortunatum,Clerodendrum,Lamiaceae,19,107
Miconia splendens,Miconia,Melastomataceae,4,13
Malope trifida,Malope,Malvaceae,11,92
Gaultheria luzonica,Gaultheria,Ericaceae,7,66
Drymophloeus litigiosus,Drymophloeus,Arecaceae,4,38
Hygrophila difformis,Hygrophila,Acanthaceae,3,24
Aniba bracteata,Aniba,Lauraceae,4,31
Ardisia lurida,Ardisia,Primulaceae,4,45
Cyrtandra tagaleurium,Cyrtandra,Gesneriaceae,2,6
Glochidion stenophyllum,Glochidion,Phyllanthaceae,5,22
Alocasia maquilingensis,Alocasia,Araceae,4,11
Clematis glycinoides,Clematis,Ranunculaceae,8,56
Polyalthia sclerophylla,Polyalthia,Annonaceae,3,14
Draba aurea,Draba,Brassicaceae,12,87
Allophylus bicruris,Allophylus,Sapindaceae,4,46
Rhadinothamnus rudis,Rhadinothamnus,Rutaceae,3,11
Silene commutata,Silene,Caryophyllaceae,13,84
Bowlesia incana,Bowlesia,Apiaceae,9,161
Elatostematoides manillense,Elatostematoides,Urticaceae,4,6
Salix cinerea subsp. cinerea x myrsinifolia,Salix,Salicaceae,5,76
Piper lanyuense,Piper,Piperaceae,2,80
Ficus odorata,Ficus,Moraceae,7,26
Adenosma indiana,Adenosma,Plantaginaceae,7,23
Meryta sonchifolia,Meryta,Araliaceae,3,14
Solanum rude-pannum,Solanum,Solanaceae,6,19
Epiamomum borneense,Epiamomum,Zingiberaceae,2,10
Furcraea selloana,Furcraea,Asparagaceae,5,34
Capurodendron bakeri,Capurodendron,Sapotaceae,2,25
Begonia paoana,Begonia,Begoniaceae,1,12
Amaranthus squamulatus,Amaranthus,Amaranthaceae,10,17
Operculina hamiltonii,Operculina,Convolvulaceae,5,17
Benstonea adinobotrys,Benstonea,Pandanaceae,1,92
Campanula fransinea,Campanula,Campanulaceae,2,49
Castanopsis fabri,Castanopsis,Fagaceae,2,59
Koenigia ajanensis,Koenigia,Polygonaceae,5,19
Euonymus marivelensis,Euonymus,Celastraceae,2,7
Orites milliganii,Orites,Proteaceae,1,238
Centranthera tranquebarica,Centranthera,Orobanchaceae,4,14
Pseudoziziphus parryi,Pseudoziziphus,Rhamnaceae,2,20
Didymocheton macranthus,Didymocheton,Meliaceae,2,51
Echium famarae,Echium,Boraginaceae,3,68
Jasminum bifarium,Jasminum,Oleaceae,2,3
Elaeocarpus tremulus,Elaeocarpus,Elaeocarpaceae,1,28
Diospyros arenicola,Diospyros,Ebenaceae,1,251
Hylotelephium pluricaule,Hylotelephium,Crassulaceae,2,58
Viola canina x riviniana,Viola,Violaceae,3,7
Gentianella vernicosa,Gentianella,Gentianaceae,1,196
Cissus elongata,Cissus,Vitaceae,2,8
Melanochyla auriculata,Melanochyla,Anacardiaceae,2,10
Hopea nervosa,Hopea,Dipterocarpaceae,1,130
Mauloutchia coriacea,Mauloutchia,Myristicaceae,1,30
Stereospermum variabile,Stereospermum,Bignoniaceae,1,77
Allium coloratum,Allium,Amaryllidaceae,2,16
Zehneria perrieri,Zehneria,Cucurbitaceae,1,72
Fuchsia pringsheimii,Fuchsia,Onagraceae,2,49
Romulea assumptionis,Romulea,Iridaceae,2,32
Malpighia adamsii,Malpighia,Malpighiaceae,1,9
Bakerella perrieri,Bakerella,Loranthaceae,1,26
Pimelea congesta,Pimelea,Thymelaeaceae,1,58
Harrisia divaricata,Harrisia,Cactaceae,1,64
Clusia havetioides,Clusia,Clusiaceae,1,13
Limonium ammochostianum,Limonium,Plumbaginaceae,1,15
Wittmackia portoricensis,Wittmackia,Bromeliaceae,1,50
Polygala labatii,Polygala,Polygalaceae,1,11
Aloe bruynsii,Aloe,Asphodelaceae,1,4
Lonicera hildebrandtiana,Lonicera,Caprifoliaceae,2,6
Pterophylla mammea,Pterophylla,Cunoniaceae,1,31
Commiphora razakamalalae,Commiphora,Burseraceae,1,13
Impatiens bathiei,Impatiens,Balsaminaceae,1,2
Luzula echinata,Luzula,Juncaceae,2,6
Asimitellaria formosana,Asimitellaria,Saxifragaceae,1,567
Amischotolype barbarossa,Amischotolype,Commelinaceae,1,6
Aristolochia manokwariensis,Aristolochia,Aristolochiaceae,1,4
Nemesia melissifolia,Nemesia,Scrophulariaceae,1,4
Hypericum salsugineum,Hypericum,Hypericaceae,1,4
Combretum pyramidatum,Combretum,Combretaceae,1,2
Roemeria virchowii,Roemeria,Papaveraceae,1,4
Saurauia grandifolia,Saurauia,Actinidiaceae,1,1
Geranium aristatum,Geranium,Geraniaceae,1,1
Ilex brandegeeana,Ilex,Aquifoliaceae,1,1
Calophyllum ardens,Calophyllum,Calophyllaceae,1,1
Cocculus blumeanus,Cocculus,Menispermaceae,1,1
