accepted_species,trait_name,action,review_reason,public_reference
Allanblackia stuhlmannii,floral_symmetry,prefer_existing,"Species treatment describes the flowers as regular and 5-merous; current actinomorphic coding is more specific than the TRY/Dressler photo classification.","PROTA Allanblackia stuhlmannii treatment; African plant review describing flowers as regular, 5-merous"
Babiana angustifolia,floral_symmetry,prefer_try,"Species flora describes flowers as actinomorphic while the stamens are asymmetrically arranged; the current zygomorphic call likely transferred androecial asymmetry to whole-flower symmetry.","VicFlora Babiana angustifolia species treatment"
Chamaecrista rotundifolia,floral_symmetry,prefer_existing,"Species-level flora explicitly describes bilateral floral symmetry and independent work documents enantiostyly; TRY actinomorphic is not supported.","Brazilian flora/SciELO treatment for Chamaecrista rotundifolia; enantiostyly study"
Crinum macowanii,floral_symmetry,prefer_existing,"Species flora explicitly describes the flowers as zygomorphic.","World Flora Online / e-Flora South Africa treatment for Crinum macowanii"
Crocosmia masoniorum,floral_symmetry,prefer_existing,"Species floras explicitly describe the flower as zygomorphic and the current call is supported by independent treatments.","World Flora Online / e-Flora South Africa treatment for Crocosmia masoniorum"
Elephantopus mollis,floral_symmetry,prefer_existing,"The relevant individual florets are liguliform and zygomorphic; TRY likely coded the composite capitulum at inflorescence scale rather than floret scale.","Asteraceae Elephantopinae floral-morphology literature for Elephantopus"
Freesia laxa,floral_symmetry,prefer_existing,"Species flora explicitly describes zygomorphic flowers.","Plants of the World Online / Flora of Tropical East Africa treatment for Freesia laxa"
Geissorhiza aspera,floral_symmetry,prefer_try,"A species key describes the flowers as radially symmetric except for an eccentric style; eccentric style position should not be promoted to zygomorphic perianth symmetry.","Bothalia/Iridaceae key treatment for Geissorhiza aspera"
Gnidia glauca,floral_symmetry,prefer_try,"Taxonomic treatment of Gnidia describes flowers as actinomorphic and explicitly includes G. glauca in the generic treatment; the current GloPL zygomorphic state is likely miscoded.","Rogers 2009 revision of Gnidia; species synonym Lasiosiphon glaucus in Kew POWO"
Hymenaea courbaril,floral_symmetry,prefer_try,"A comparative Hymenaea pollination table codes H. courbaril as actinomorphic; the current tropical-web zygomorphic extraction is unsupported.","Comparative Hymenaea pollination study, Table III, 2021"
Hypochaeris radicata,floral_symmetry,prefer_existing,"Pladias codes the individual flower as zygomorphic; TRY likely classified the radially arranged capitulum rather than the ligulate floret.","Pladias species treatment for Hypochaeris radicata"
Lachenalia bulbifera,floral_symmetry,prefer_existing,"Lachenalia flowers are generally weakly to strongly zygomorphic and the species morphology is consistent with that state; TRY actinomorphic is the weaker coding.","Lachenalia taxonomic treatment; SANBI species treatment for Lachenalia bulbifera"
Lactuca serriola,floral_symmetry,prefer_existing,"Pladias and independent descriptions classify the ligulate individual flowers as zygomorphic; TRY likely reflects capitulum-scale appearance.","Pladias Lactuca serriola; ligulate-flower morphology sources"
Mostuea brunonis,floral_symmetry,prefer_existing,"The species treatment describes the flowers as slightly zygomorphic.","PROTA Mostuea brunonis treatment"
Murdannia simplex,floral_symmetry,prefer_existing,"Species flora explicitly states flowers are slightly zygomorphic and a recent phylogenetic study places the species in the zygomorphic clade.","World Flora Online/e-Flora treatment for Murdannia simplex; 2024 Murdannia phylogeny"
Polygala myrtifolia,floral_symmetry,prefer_existing,"Species-level floral studies explicitly describe asymmetry; TRY zygomorphic is a coarser category and should not replace the more specific asymmetric state.","Polygala myrtifolia pollen/floral-development studies"
Ruspolia seticalyx,floral_symmetry,prefer_existing,"The species treatment explicitly lists flower symmetry as asymmetrical.","NParks FloraFaunaWeb treatment for Ruspolia seticalyx"
Schwenckia americana,floral_symmetry,prefer_try,"Flora treatment states the corolla is usually actinomorphic while the calyx can be actinomorphic to slightly zygomorphic; current evidence used an organ-ambiguous low-grade source despite a High label.","Flora of Tropical East Africa / Kew treatment for Schwenckia americana"
Solanum nigrum,floral_symmetry,prefer_existing,"Species treatment explicitly classifies flowers as actinomorphic.","Pladias treatment for Solanum nigrum"
Stellaria media,floral_symmetry,prefer_existing,"Multiple species treatments describe radial/actinomorphic flowers.","Pladias Stellaria media; Go Botany species treatment"
Trichocladus ellipticus,floral_symmetry,prefer_existing,"Species treatment describes the flower as regular, supporting actinomorphy.","PROTA Trichocladus ellipticus treatment"
Usteria guineensis,floral_symmetry,prefer_existing,"Species treatment explicitly describes zygomorphic flowers.","PROTA Usteria guineensis treatment"
Vigna vexillata,floral_symmetry,prefer_existing,"Species treatments describe a bilaterally asymmetric standard/keel; current asymmetric is more specific than TRY zygomorphic.","Plants of the World Online / World Flora Online / Brazilian Flora treatment for Vigna vexillata"
Argentina anserina,self_incompatibility,mixed_or_variable,"Controlled pollination supports strong gametophytic SI in some populations, while other populations show leaky SI or self-compatibility; this is genuine geographic variation rather than a source error.","PMID 36571452 and population studies of Argentina anserina breeding-system variation"
