accepted_species,genus,family,n_islands,n_records
Thelymitra longifolia,Thelymitra,Orchidaceae,24,2647
Reichardia picroides,Reichardia,Asteraceae,116,4187
Ixora casei,Ixora,Rubiaceae,25,100
Galactia striata,Galactia,Fabaceae,88,1064
Distichlis spicata,Distichlis,Poaceae,138,760
Carex divisa,Carex,Cyperaceae,79,2975
Syzygium effusum,Syzygium,Myrtaceae,13,219
Endospermum moluccanum,Endospermum,Euphorbiaceae,24,293
Rubus polonicus,Rubus,Rosaceae,73,991
Thevetia ahouai,Thevetia,Apocynaceae,15,59
Holmskioldia sanguinea,Holmskioldia,Lamiaceae,44,294
Tibouchina aspera,Tibouchina,Melastomataceae,6,17
Brachychiton populneus,Brachychiton,Malvaceae,21,90
Gaultheria miqueliana,Gaultheria,Ericaceae,14,306
Korthalsia zippelii,Korthalsia,Arecaceae,7,56
Hemigraphis bicolor,Hemigraphis,Acanthaceae,7,11
Endiandra macrophylla,Endiandra,Lauraceae,7,58
Primula sieboldii,Primula,Primulaceae,8,134
Agalmyla parasitica,Agalmyla,Gesneriaceae,3,14
Glochidion pubicapsa,Glochidion,Phyllanthaceae,8,29
Arisaema negishii,Arisaema,Araceae,7,43
Clematis gouriana,Clematis,Ranunculaceae,19,314
Orophea corymbosa,Orophea,Annonaceae,4,98
Physaria arctica,Physaria,Brassicaceae,40,446
Acer shirasawanum,Acer,Sapindaceae,7,1976
Vepris unifoliolata,Vepris,Rutaceae,6,219
Arenaria humifusa,Arenaria,Caryophyllaceae,31,365
Anethum ridolfia,Anethum,Apiaceae,23,237
Elatostema lineolatum,Elatostema,Urticaceae,6,3024
Populus tomentiglandulosa,Populus,Salicaceae,12,21
Paratrophis philippinensis,Paratrophis,Moraceae,13,133
Peperomia kokeana,Peperomia,Piperaceae,4,26
Misopates calycinum,Misopates,Plantaginaceae,16,149
Polyscias dioica,Polyscias,Araliaceae,5,523
Brugmansia sanguinea,Brugmansia,Solanaceae,12,114
Meistera propinqua,Meistera,Zingiberaceae,3,16
Asparagus scandens,Asparagus,Asparagaceae,13,2463
Faucherea tampoloensis,Faucherea,Sapotaceae,3,106
Begonia chitoensis,Begonia,Begoniaceae,1,491
Suaeda fruticosa,Suaeda,Amaranthaceae,21,50
Cuscuta corymbosa,Cuscuta,Convolvulaceae,12,23
Pandanus spec.,Pandanus,Pandanaceae,3,3
Campanula expansa,Campanula,Campanulaceae,5,8
Quercus championii,Quercus,Fagaceae,4,387
Polygonum fusco-ochreatum,Polygonum,Polygonaceae,14,24
Cassine curtipetala,Cassine,Celastraceae,4,7
Hakea microcarpa,Hakea,Proteaceae,2,749
Orobanche canescens,Orobanche,Orobanchaceae,10,56
Ventilago leiocarpa,Ventilago,Rhamnaceae,4,303
Didymocheton papuanus,Didymocheton,Meliaceae,5,59
Pulmonaria angustifolia,Pulmonaria,Boraginaceae,7,123
Sloanea terniflora,Sloanea,Elaeocarpaceae,2,10
Linociera compacta,Chionanthus,Oleaceae,4,5
Diospyros pilosiuscula,Diospyros,Ebenaceae,2,73
Kalanchoe marmorata,Kalanchoe,Crassulaceae,6,11
Gentiana davidii,Gentiana,Gentianaceae,3,959
Toxicodendron nodosum,Toxicodendron,Anacardiaceae,4,32
Afrocayratia imerinensis,Afrocayratia,Vitaceae,4,78
Viola hirta x odorata,Viola,Violaceae,6,62
Hopea pedicellata,Hopea,Dipterocarpaceae,3,28
Adenocalymma acutissimum,Adenocalymma,Bignoniaceae,3,14
Horsfieldia pulverulenta,Horsfieldia,Myristicaceae,2,55
Lycoris traubii,Lycoris,Amaryllidaceae,8,25
Xerosicyos danguyi,Xerosicyos,Cucurbitaceae,3,156
Mascagnia paniculata,Mascagnia,Malpighiaceae,2,21
Epilobium ravenii,Epilobium,Onagraceae,7,37
Struthanthus marginatus,Struthanthus,Loranthaceae,3,5
Romulea tempskyana,Romulea,Iridaceae,6,149
Octolepis dioica,Octolepis,Thymelaeaceae,2,158
Opuntia pycnantha,Opuntia,Cactaceae,3,70
Garcinia terpnophylla,Garcinia,Clusiaceae,2,9
Limonium grosii,Limonium,Plumbaginaceae,2,27
Tillandsia polystachya,Tillandsia,Bromeliaceae,3,9
Polygala jamaicensis,Polygala,Polygalaceae,2,35
Haworthiopsis hybrida,Haworthiopsis,Asphodelaceae,2,3
Protium obtusifolium,Protium,Burseraceae,2,10
Lonicera alpigena,Lonicera,Caprifoliaceae,5,9
Impatiens eriosperma,Impatiens,Balsaminaceae,1,8
Juncus bolanderi,Juncus,Juncaceae,10,49
Pterophylla eriocarpa,Pterophylla,Cunoniaceae,1,115
Asarum hypogynum,Asarum,Aristolochiaceae,1,202
Amischotolype hirsuta,Amischotolype,Commelinaceae,2,48
Saxifraga merckii,Saxifraga,Saxifragaceae,5,7
Hypericum microsepalum,Hypericum,Hypericaceae,2,11
Verbascum adeliae,Verbascum,Scrophulariaceae,2,25
Terminalia supranitifolia,Terminalia,Combretaceae,2,3
Macleaya kewensis,Macleaya,Papaveraceae,4,10
