pmcid,doi,title,source_url,fulltext_xml_url,fetch_status,article_license,content_sha256,raw_path,retrieved_at_utc,task_count,error
PMC10020034,10.1002/ece3.9792,The origin of cultivated mangosteen (,https://europepmc.org/articles/PMC10020034,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10020034/fullTextXML,cached,cc by,05f34bb7b959c55727bb98c9c97a5793667b7833d3183ef26e00f022afda16bd,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10020034.xml.gz,2026-08-07T09:51:07.708880Z,1,
PMC10045669,10.3390/biology12030380,Apomictic Mountain Whitebeam (,https://europepmc.org/articles/PMC10045669,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10045669/fullTextXML,cached,cc by,e6cafeff68859494c782c682df3b50e3ec4b27721abc7eaee489f564f25ced26,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10045669.xml.gz,2026-08-07T09:51:07.710699Z,1,
PMC10069789,10.1371/journal.pone.0283540,An open-access T-BAS phylogeny for emerging,https://europepmc.org/articles/PMC10069789,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10069789/fullTextXML,cached,cc by,61ab69c79689258064f362eb05c6aa52f1572e6f9a20ea179310e2e7755d48f2,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10069789.xml.gz,2026-08-07T09:51:07.711260Z,1,
PMC10108209,10.1002/ajb2.16098,Intrafloral patterns of color and scent in,https://europepmc.org/articles/PMC10108209,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10108209/fullTextXML,cached,cc by,78ea0b89b44e8235e4b0dad275e19f824895ec05d166f87c4265f3433aa67a91,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10108209.xml.gz,2026-08-07T09:51:07.712886Z,1,
PMC10158352,10.1186/s12870-023-04244-5,Resequencing of,https://europepmc.org/articles/PMC10158352,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10158352/fullTextXML,cached,cc by,714fd73957fcee1123e433d57761b6c90bfc0208d63d51f064aa88f648bbaf08,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10158352.xml.gz,2026-08-07T09:51:07.713363Z,1,
PMC10180920,10.3390/plants12091761,<i>Epipactis bucegensis</i>-A Separate Autogamous Species within the <i>E. helleborine</i> Alliance.,https://europepmc.org/articles/PMC10180920,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10180920/fullTextXML,cached,cc by,76ba052b18cd5b549bc5912edbddefa27bbd33185d6d15bdf1b1fdacd30db52d,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10180920.xml.gz,2026-08-07T09:51:07.713739Z,1,
PMC10184453,10.1093/aobpla/plad020,"Spatiotemporal variation of chasmogamy and cleistogamy in a native perennial grass: fecundity, reproductive allocation and allometry",https://europepmc.org/articles/PMC10184453,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10184453/fullTextXML,cached,cc by,d4f0ebb2f5a2cc5326cfdc1360d3a39ea001ca1ae34943ff9a5ad5bc7a93f631,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10184453.xml.gz,2026-08-07T09:51:07.714754Z,1,
PMC10209507,10.3897/phytokeys.224.98654,﻿A new species of,https://europepmc.org/articles/PMC10209507,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10209507/fullTextXML,cached,cc by,57a0bab63d84c61721823c35c2511be4adf2def8027a07e803db7f60198e8226,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10209507.xml.gz,2026-08-07T09:51:07.730024Z,1,
PMC10219056,10.3390/ijms24108984,Marker-Assisted Selection in Breeding for Fruit Trait Improvement: A Review,https://europepmc.org/articles/PMC10219056,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10219056/fullTextXML,cached,cc by,d24279d0fb3d875f09a495cc5bc3aec4bc88260fee96fba76bc7a5cb20996d62,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10219056.xml.gz,2026-08-07T09:51:08.884044Z,1,
PMC10242995,10.1186/s12870-023-04318-4,Genome-wide identification and analysis of TCP family genes in,https://europepmc.org/articles/PMC10242995,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10242995/fullTextXML,cached,cc by,387f46d7cbaeac8b4c3ba3efd43e8f41ae5a28072af52a172ab55328e7983117,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10242995.xml.gz,2026-08-07T09:51:08.972981Z,1,
PMC10281629,10.3389/fpls.2023.1144113,"The dissection of tomato flavor: biochemistry, genetics, and omics",https://europepmc.org/articles/PMC10281629,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10281629/fullTextXML,cached,cc by,f8c1c05a7afff2034270a97595f54b6061196cf2c442123c615035761039f734,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10281629.xml.gz,2026-08-07T09:51:09.155297Z,1,
PMC10286656,10.1111/plb.13433,A generalized bird pollination system in,https://europepmc.org/articles/PMC10286656,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10286656/fullTextXML,cached,cc by-nc-nd,3252d16ec69c65af2b36c7d5781cc9e67f4717dac57dc2e08a607277ab446a50,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10286656.xml.gz,2026-08-07T09:51:09.297975Z,1,
PMC10296354,10.3390/biom13060962,Molecular Structure and Variation Characteristics of the Plastomes from Six,https://europepmc.org/articles/PMC10296354,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10296354/fullTextXML,cached,cc by,746b016b66601af1df56aee19eed598cde845d4f1887c61ea7e5137626c18c56,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10296354.xml.gz,2026-08-07T09:51:09.381415Z,1,
PMC10316312,10.1270/jsbbs.22082,Evolution of sex in crops: recurrent scrap and rebuild,https://europepmc.org/articles/PMC10316312,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10316312/fullTextXML,cached,cc by,bd091ff2b54d1567ca0dda44be45fce7582c9275aed988cd8c02231efbb318f7,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10316312.xml.gz,2026-08-07T09:51:09.454643Z,2,
PMC10318336,10.1016/j.patter.2023.100728,CALANGO: A phylogeny-aware comparative genomics tool for discovering quantitative genotype-phenotype associations across species,https://europepmc.org/articles/PMC10318336,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10318336/fullTextXML,cached,cc by-nc-nd,dce9cba65a701bc2ff9366e314b16d3d483c7a1cad8e5f40c173027b7a316340,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10318336.xml.gz,2026-08-07T09:51:09.665932Z,1,
PMC10323630,10.1093/hr/uhad097,Genome of tetraploid sour cherry (Prunus cerasus L.) ‘Montmorency’ identifies three distinct ancestral Prunus genomes,https://europepmc.org/articles/PMC10323630,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10323630/fullTextXML,cached,cc by,6ab4ca00c84ea635a7aee6c8f9ce3af9959c2e300e831e5d8148316d3e65e7f8,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10323630.xml.gz,2026-08-07T09:51:09.989326Z,1,
PMC10323724,10.2903/j.efsa.2023.8075,Commodity risk assessment of,https://europepmc.org/articles/PMC10323724,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10323724/fullTextXML,cached,cc by-nd,65d5421cb2c2db89a40019557082e27c27a1536fe863a733a57c4503a50e31df,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10323724.xml.gz,2026-08-07T09:51:10.094496Z,1,
PMC10323725,10.2903/j.efsa.2023.8073,Commodity risk assessment of,https://europepmc.org/articles/PMC10323725,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10323725/fullTextXML,cached,cc by-nd,6bfd1ea221cfe843dfc6c95e7f0d58684325d66280e6159fdea29fc14194b998,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\raw_xml\PMC10323725.xml.gz,2026-08-07T09:51:10.238937Z,1,
