genus,trait_name,query,status,search_cache_status,search_cache_path,hit_count,returned_count,cost_usd,error
Diospyros,self_incompatibility,"(""Diospyros"") AND (""self-incompatibility"" OR ""self incompatibility"" OR ""self-incompatible"" OR ""self-compatible"" OR ""self compatible"" OR ""self-fertile"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\2ab634033040b32e9ed9279e.json.gz,54,54,0.0,
Croton,cleistogamy,"(""Croton"") AND (""cleistogamy"" OR ""cleistogamous"" OR ""chasmogamous"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\70e583c0e388a61d4a14fb2a.json.gz,3,3,0.0,
Coelogyne,self_incompatibility,"(""Coelogyne"") AND (""self-incompatibility"" OR ""self incompatibility"" OR ""self-incompatible"" OR ""self-compatible"" OR ""self compatible"" OR ""self-fertile"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\18644bfad9c8b117f8658146.json.gz,6,6,0.0,
Vaccinium,mating_system,"(""Vaccinium"") AND (""mating system"" OR ""mixed mating"" OR ""selfing rate"" OR ""outcrossing rate"" OR ""predominantly selfing"" OR ""predominantly outcrossing"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\8bad2c37bdb39536fcae8e00.json.gz,62,62,0.0,
Pilea,cleistogamy,"(""Pilea"") AND (""cleistogamy"" OR ""cleistogamous"" OR ""chasmogamous"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\f46726481638f12276ee14d3.json.gz,0,0,0.0,
Poa,self_incompatibility,"(""Poa"") AND (""self-incompatibility"" OR ""self incompatibility"" OR ""self-incompatible"" OR ""self-compatible"" OR ""self compatible"" OR ""self-fertile"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\4e1388e4489c4f2d01685260.json.gz,107,107,0.0,
Myrcia,autonomous_selfing_capacity,"(""Myrcia"") AND (""autonomous selfing"" OR ""autonomous self-pollination"" OR ""spontaneous selfing"" OR ""automatic self-pollination"" OR ""delayed selfing"" OR ""bagged flowers"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\61e550b810148c30529145d5.json.gz,0,0,0.0,
Ilex,self_incompatibility,"(""Ilex"") AND (""self-incompatibility"" OR ""self incompatibility"" OR ""self-incompatible"" OR ""self-compatible"" OR ""self compatible"" OR ""self-fertile"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\9617ceb9eeb12ad41585b92c.json.gz,49,49,0.0,
Freycinetia,self_incompatibility,"(""Freycinetia"") AND (""self-incompatibility"" OR ""self incompatibility"" OR ""self-incompatible"" OR ""self-compatible"" OR ""self compatible"" OR ""self-fertile"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\70d952190d2dc0833d3b773d.json.gz,1,1,0.0,
Liparis,autonomous_selfing_capacity,"(""Liparis"") AND (""autonomous selfing"" OR ""autonomous self-pollination"" OR ""spontaneous selfing"" OR ""automatic self-pollination"" OR ""delayed selfing"" OR ""bagged flowers"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\ce9f37a5babe72ac47b19690.json.gz,3,3,0.0,
Helichrysum,self_incompatibility,"(""Helichrysum"") AND (""self-incompatibility"" OR ""self incompatibility"" OR ""self-incompatible"" OR ""self-compatible"" OR ""self compatible"" OR ""self-fertile"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\e430c5b4dcc11c65727706fd.json.gz,24,24,0.0,
Gaultheria,cleistogamy,"(""Gaultheria"") AND (""cleistogamy"" OR ""cleistogamous"" OR ""chasmogamous"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\98953f09f9ea07a87299e5a7.json.gz,2,2,0.0,
Lithocarpus,self_incompatibility,"(""Lithocarpus"") AND (""self-incompatibility"" OR ""self incompatibility"" OR ""self-incompatible"" OR ""self-compatible"" OR ""self compatible"" OR ""self-fertile"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\903d8dec3aa6e1b059874b55.json.gz,10,10,0.0,
Angraecum,self_incompatibility,"(""Angraecum"") AND (""self-incompatibility"" OR ""self incompatibility"" OR ""self-incompatible"" OR ""self-compatible"" OR ""self compatible"" OR ""self-fertile"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\b0b422cbdabe03ab4fa27038.json.gz,8,8,0.0,
Festuca,autonomous_selfing_capacity,"(""Festuca"") AND (""autonomous selfing"" OR ""autonomous self-pollination"" OR ""spontaneous selfing"" OR ""automatic self-pollination"" OR ""delayed selfing"" OR ""bagged flowers"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\706bc6ae12bffcfb904037a9.json.gz,5,5,0.0,
Aloe,autonomous_selfing_capacity,"(""Aloe"") AND (""autonomous selfing"" OR ""autonomous self-pollination"" OR ""spontaneous selfing"" OR ""automatic self-pollination"" OR ""delayed selfing"" OR ""bagged flowers"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\4acb72718c9da894b2d2f66d.json.gz,5,5,0.0,
Panicum,self_incompatibility,"(""Panicum"") AND (""self-incompatibility"" OR ""self incompatibility"" OR ""self-incompatible"" OR ""self-compatible"" OR ""self compatible"" OR ""self-fertile"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\a57bb067ec6d0f3bf35bc11a.json.gz,148,148,0.0,
Lobelia,cleistogamy,"(""Lobelia"") AND (""cleistogamy"" OR ""cleistogamous"" OR ""chasmogamous"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\0449186d4f765a813797f504.json.gz,2,2,0.0,
Lobelia,self_incompatibility,"(""Lobelia"") AND (""self-incompatibility"" OR ""self incompatibility"" OR ""self-incompatible"" OR ""self-compatible"" OR ""self compatible"" OR ""self-fertile"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\d1c54a5973c77e81c7b5e6c8.json.gz,34,34,0.0,
Calanthe,autonomous_selfing_capacity,"(""Calanthe"") AND (""autonomous selfing"" OR ""autonomous self-pollination"" OR ""spontaneous selfing"" OR ""automatic self-pollination"" OR ""delayed selfing"" OR ""bagged flowers"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\921459485ed102b01797de58.json.gz,5,5,0.0,
Calanthe,self_incompatibility,"(""Calanthe"") AND (""self-incompatibility"" OR ""self incompatibility"" OR ""self-incompatible"" OR ""self-compatible"" OR ""self compatible"" OR ""self-fertile"") AND OPEN_ACCESS:Y AND IN_EPMC:Y",success,fetched,data\v2\staging\traits\direct_llm_pilot\20260807_europe_pmc_reproduction_scale\search_results\17a91c31ff6e659244d33204.json.gz,11,11,0.0,
