accepted_species,trait_name,normalized_value,source_lineage,source_url,reason,reviewer,reviewed_at_utc
Begonia semiovata,autonomous_selfing_capacity,autonomous,url:https://europepmc.org/article/MED/28593678,https://europepmc.org/article/MED/28593678,"The excerpt says that a female flower requires pollen from a neighbouring male flower on the same plant; it does not report unassisted fruit or seed set and therefore cannot establish autonomous selfing capacity.",Codex trait-concept re-audit,2026-08-11T05:35:00Z
Coffea canephora,autonomous_selfing_capacity,autonomous,url:https://europepmc.org/article/MED/37653961,https://europepmc.org/article/MED/37653961,"The excerpt attributes autogamy to C. arabica and allogamy to C. racemosa. Coffea canephora appears elsewhere in the source record, but the quoted sentence does not report autonomous selfing for that species; this is cross-species context leakage.",Codex species-context re-audit,2026-08-11T07:18:00Z
Carex membranacea,self_incompatibility,SI,url:https://europepmc.org/article/AGR/IND91015447,https://europepmc.org/article/AGR/IND91015447,"The abstract lists self-incompatibility only as a possible mechanism discussed to explain maintained genetic diversity. It does not report a compatibility experiment or an observed SI state for Carex membranacea, so the row is hypothesis language rather than direct evidence.",Codex claim-status re-audit,2026-08-11T07:18:00Z
Hieracium bifidum,autonomous_selfing_capacity,autonomous,floraweb:name_usage_id:2860,https://www.floraweb.de/php/biologie.php?suchnr=2860&,"BiolFlor section 4.8 defines Selbstbestäubung here as a pollen-vector state and explicitly evaluates pollination independently from subsequent fertilization. It therefore cannot establish autonomous self-fertilization capacity.",Codex trait-concept re-audit,2026-08-11T10:22:00Z
Hieracium caespitosum,autonomous_selfing_capacity,autonomous,floraweb:name_usage_id:2866,https://www.floraweb.de/php/biologie.php?suchnr=2866&,"BiolFlor section 4.8 defines Selbstbestäubung here as a pollen-vector state and explicitly evaluates pollination independently from subsequent fertilization. It therefore cannot establish autonomous self-fertilization capacity.",Codex trait-concept re-audit,2026-08-11T10:22:00Z
Hieracium umbellatum,autonomous_selfing_capacity,autonomous,floraweb:name_usage_id:2945,https://www.floraweb.de/php/biologie.php?suchnr=2945&,"The reviewed FloraWeb page has exact species identity, but BiolFlor section 4.8 treats Selbstbestäubung as a pollen-vector state independently from fertilization. The candidate is rejected rather than substituted into autonomous_selfing_capacity.",Codex trait-concept re-audit,2026-08-11T10:22:00Z
Paspalum regnellii,self_incompatibility,SI,url:https://europepmc.org/article/MED/37372317,https://europepmc.org/article/MED/37372317,"The title/abstract extractor attached the preceding self-incompatibility clause for P. durifolium and P. ionanthum to P. regnellii. The same abstract explicitly contrasts P. regnellii as self-compatible, and the full text reports forced-self seed set. This is cross-species clause leakage.",Codex full-text species-context re-audit,2026-08-12T05:01:40Z
Paspalum urvillei,self_incompatibility,SI,url:https://europepmc.org/article/MED/37372317,https://europepmc.org/article/MED/37372317,"The title/abstract extractor attached the preceding self-incompatibility clause for P. durifolium and P. ionanthum to P. urvillei. The same abstract explicitly contrasts P. urvillei as self-compatible, and the full text reports forced-self seed set. This is cross-species clause leakage.",Codex full-text species-context re-audit,2026-08-12T05:01:40Z
Dipterocarpus oblongifolius,self_incompatibility,SI,url:https://europepmc.org/article/ETH/451086,https://europepmc.org/article/ETH/451086,"The quoted source explicitly states that only Dipterocarpus oblongifolius is self-compatible among the studied species. The extracted SI value reverses that species-specific clause; the source-backed Medium SC row is allowed to surface after this exclusion.",Codex full-text polarity re-audit,2026-08-12T09:28:00Z
Dipterocarpus tempehes,autonomous_selfing_capacity,autonomous,url:https://europepmc.org/article/MED/21669712,https://europepmc.org/article/MED/21669712,"The experiment reports lower control/self fruit set than cross-pollinated fruit set together with self-rejection. It does not demonstrate unassisted selfed reproduction, so the autonomous-selfing value is unsupported. The separate SI statement from this source is not excluded.",Codex trait-concept and experiment re-audit,2026-08-12T09:28:00Z
Canarium bengalense,floral_form,tubular,url:http://efloras.org/florataxon.aspx?flora_id=2&taxon_id=242310507,http://efloras.org/florataxon.aspx?flora_id=2&taxon_id=242310507,"The exact excerpt says 'disk tubular' and describes the floral disk rather than the corolla or whole-flower form. Mapping it to floral_form=tubular is a floral-part ontology mismatch and would create an artificial Canarium genus rule.",Codex floral-part ontology re-audit,2026-08-12T12:40:00Z
