regime,selection_order,accepted_species,new_island_id,source_url,source_title,source_excerpt,candidate_value_raw,proposed_filled_value,binary_plain_class,review_status,review_reason,source_tier
northern_midlatitude,1,Rostraria azorica,gshhg_2.3.7_h_20e5aa31efa2955613bb,,,,,,unresolved,unresolved,no species-direct floral colour located under current review,none
northern_midlatitude,2,Adinandra ryukyuensis,gshhg_2.3.7_h_cd42141a2c144edf982e,,,,,,unresolved,unresolved,no species-direct floral colour located under current review,none
northern_midlatitude,3,Odontarrhena lesbiaca,gshhg_2.3.7_h_7242317396d6bf8bc7ba,,,,,,unresolved,candidate_needs_primary,secondary colour indications were not sufficient for direct promotion,secondary_only
northern_midlatitude,4,Cirsium tanegashimense,gshhg_2.3.7_h_3c1be651d6759927d58f,,,,,,unresolved,candidate_needs_primary,official or secondary colour indication requires a botanical primary source,secondary_only
northern_midlatitude,5,Sasa jotanii,gshhg_2.3.7_h_78b9099b78b447bab1fd,https://www.jstage.jst.go.jp/article/jjapbot/75/4/75_75_4_9429/_article/-char/en,Flower Morphology of Sasa jotanii (Poaceae: Bambusoideae); New Taxonomic Status,incanus reddish-purple spikelet,reddish-purple spikelet,,unresolved,rejected_subject_mismatch,colour is attached to the spikelet rather than explicitly to the flower or perianth,peer_reviewed_primary
northern_midlatitude,6,Mammillaria evermanniana,gshhg_2.3.7_h_9e4d3dde26d99b8f4d4e,https://eol.org/pages/5179562/articles,Encyclopedia of Life - Mammillaria evermanniana,flowers yellowish-cream with greenish tint and pink-brown central veins,yellowish cream; greenish; pink-brown,multicolored_variable,unresolved,rejected_binary_ambiguous,direct description spans both plain and non-plain colour classes,secondary_botanical
northern_midlatitude,7,Centaurea thasia,gshhg_2.3.7_h_9f8ba488a21c2756558e,,,,,,unresolved,unresolved,taxonomy confirmed but no species-direct floral colour located,none
northern_midlatitude,8,Campanula sciathia,gshhg_2.3.7_h_255586b0805b32f286fe,,,,,,unresolved,unresolved,nearby Campanula descriptions could not safely be attributed to this species,none
northern_midlatitude,9,Centaurea xylobasis,gshhg_2.3.7_h_e6279e284687f5399a77,,,,golden yellow,,nonplain,candidate_needs_primary,a secondary flora says golden yellow while a peer-reviewed character matrix groups yellow cream and whitish together; canonical direct value remains unresolved,secondary_plus_matrix
northern_midlatitude,10,Limonium aphroditae,gshhg_2.3.7_h_ab67386456e0dd8666dc,,,,,,unresolved,unresolved,original taxonomic literature located but no direct flower-colour statement recovered,none
northern_midlatitude,11,Astragalus kawakamii,gshhg_2.3.7_h_be7b893aa9984b12b3ec,https://mikawanoyasou.org/data/genge.htm,Flora of Mikawa - Astragalus genus treatment,花は淡黄色。,pale yellow,yellow_orange,nonplain,accepted_direct,species-direct floral subject and a single ontology-safe colour category,approved_botanical_flora
northern_midlatitude,12,Oxytropis kunashiriensis,gshhg_2.3.7_h_8c4a837193019f79609b,,,,,,unresolved,unresolved,original taxonomic literature located but no direct colour statement recovered,none
northern_midlatitude,13,Fritillaria rhodia,gshhg_2.3.7_h_cb5443d2f61798986764,https://journals.rbge.org.uk/notes/article/download/2813/2633/12801,A New Fritillaria from Rhodes,purely yellowish-green flowers,yellowish-green,,unresolved,rejected_binary_ambiguous,primary description crosses yellow-orange non-plain and green-brown plain classes,primary_taxonomic_publication
northern_midlatitude,14,Cirsium ishizuchiense,gshhg_2.3.7_h_e40c996ed1aa59c4f200,,,,,,unresolved,candidate_needs_primary,weak colour indications were not sufficient for direct promotion,secondary_only
northern_midlatitude,15,Erysimum naxense,gshhg_2.3.7_h_9d1b60fcc556d0bffdd9,,,,golden yellow,,nonplain,candidate_needs_primary,flowering images and secondary descriptions indicate yellow but species-direct textual primary evidence is still required,secondary_only
northern_midlatitude,16,Hedysarum sachalinense,gshhg_2.3.7_h_98880201ffb561e96974,,,,,,unresolved,unresolved,no species-direct floral colour recovered without extrapolating from related taxa,none
northern_midlatitude,17,Cirsium umezawanum,gshhg_2.3.7_h_6a86f7bbfdbdbb14e284,https://www.kahaku.go.jp/albums/abm.php?d=4719&f=abm00002094.pdf&n=Kadota1998_SerB24_4_147-156.pdf,Kadota 1998 - Three New Species of Cirsium from Japan,Corolla pale reddish purple,pale reddish purple,unresolved,nonplain,direct_binary_only_needs_ontology_review,species-direct primary text makes non-plain certain but red-pink versus blue-purple is not uniquely resolved,primary_taxonomic_publication
northern_midlatitude,18,Limonium retusum,gshhg_2.3.7_h_60198456b2d3fe541822,,,,,,unresolved,unresolved,species occurrence confirmed but no direct floral colour statement recovered,none
northern_midlatitude,19,Viola cephalonica,gshhg_2.3.7_h_06969c206f4ad22b4063,https://kefaloniageopark.gr/sites/default/files/2020-06/Book-To%20oros%20Ainos-English.pdf,Mt Aenos flora book - Kefalonia-Ithaca Geopark,Flowers bluish-violet,bluish-violet,blue_purple,nonplain,accepted_direct,species-direct floral subject and a single ontology-safe colour category,official_flora_book
tropical,1,Dracaena fernaldii,gshhg_2.3.7_h_3cdd58a885ee881a1861,,,Perianth greenish yellow or yellowish green,greenish-yellow,,unresolved,rejected_binary_ambiguous,species-direct perianth colour crosses plain and non-plain classes,botanical_treatment
tropical,2,Ixora mooreensis,gshhg_2.3.7_h_a27c26cc92ce015733ed,,,,,,unresolved,unresolved,taxonomy and specimens located but no species-direct floral colour recovered,none
tropical,3,Myrcia stenocarpa,gshhg_2.3.7_h_bbe260e649a8f8fd7ae5,,,,,,unresolved,unresolved,taxonomy located but no species-direct floral colour recovered,none
tropical,4,Myrsine fasciculata,gshhg_2.3.7_h_d934e980134be6e4507c,,,,,,unresolved,unresolved,taxonomic treatments located but no species-direct floral colour statement recovered,none
