"accepted_species","axis","trait_name","normalized_value","quality","source_group","provider","source_url","candidate_id","source_citation","exact_supporting_quote","evidence_scope","name_match_method","source_lineage","lineage_method","source_run_id","source_artifact","source_file","acceptance_contract","accepted_correct","cultivar_status","reviewer","reviewed_at_utc","audit_reason"
"Acanthopale decempedalis","floral_structural_complexity","floral_form","funnel_trumpet","high","latest_public_web","kew_flora_west_tropical_africa","https://list.worldfloraonline.org/wfo-0000513605","wfo-africa-a4a48db111fc8faf9263badc","Flora of West Tropical Africa, Royal Botanic Gardens, Kew, official WFO DwC-A","Funnel-shaped white flowers.","species_direct","wfo_june_2026_exact_accepted_species_family_consistent","provider_treatment:kew_flora_west_tropical_africa:Acanthopale decempedalis","provider_accepted_species_treatment","wfo-kew-africa-three-floras-20260810","wfo-kew-africa-official-dwca-20260810","kew_fwta_wfo.zip::description.txt","official_wfo_dwca_exact_species_description_quote_v2","true","wild_or_naturalised_flora_treatment","OpenAI Codex source-text holdout review","2026-08-10T00:00:00Z","accepted: species identity, direct trait value, exact quote, and official-flora provenance verified"
"Bonamia spectabilis","floral_structural_complexity","floral_form","funnel_trumpet","high","latest_public_web","kew_flora_zambesiaca_current","https://list.worldfloraonline.org/wfo-0001298605","wfo-africa-a513604b923850a650e0a514","Flora Zambesiaca, Royal Botanic Gardens, Kew, official WFO DwC-A","Corolla bright blue, funnel-shaped, subentire, up to 23 mm. long, silky pilose on medpetaline areas.","species_direct","wfo_june_2026_exact_accepted_species_family_consistent","provider_treatment:kew_flora_zambesiaca_current:Bonamia spectabilis","provider_accepted_species_treatment","wfo-kew-africa-three-floras-20260810","wfo-kew-africa-official-dwca-20260810","kew_fz.zip::description.txt","official_wfo_dwca_exact_species_description_quote_v2","true","wild_or_naturalised_flora_treatment","OpenAI Codex source-text holdout review","2026-08-10T00:00:00Z","accepted: species identity, direct trait value, exact quote, and official-flora provenance verified"
"Clematis grandiflora","floral_structural_complexity","floral_form","bell_campanulate","high","latest_public_web","kew_flora_tropical_east_africa","https://list.worldfloraonline.org/wfo-0000609999","wfo-africa-e5e21fb35e99898bc335cea3","Flora of Tropical East Africa, Royal Botanic Gardens, Kew, official WFO DwC-A","Flowers campanulate.","species_direct","wfo_june_2026_exact_accepted_species_family_consistent","provider_treatment:kew_flora_tropical_east_africa:Clematis grandiflora","provider_accepted_species_treatment","wfo-kew-africa-three-floras-20260810","wfo-kew-africa-official-dwca-20260810","kew_ftea.zip::description.txt","official_wfo_dwca_exact_species_description_quote_v2","true","wild_or_naturalised_flora_treatment","OpenAI Codex source-text holdout review","2026-08-10T00:00:00Z","accepted: species identity, direct trait value, exact quote, and official-flora provenance verified"
"Convolvulus prostratus","floral_structural_complexity","floral_form","funnel_trumpet","high","latest_public_web","kew_flora_west_tropical_africa","https://list.worldfloraonline.org/wfo-0001296651","wfo-africa-8536a5a6bcd4dce1551429f4","Flora of West Tropical Africa, Royal Botanic Gardens, Kew, official WFO DwC-A","Whitish shortly funnel-shaped flowers 1/3 in. long.","species_direct","wfo_synonym_cluster_from_exact_fixed_name","provider_treatment:kew_flora_west_tropical_africa:Convolvulus prostratus","provider_accepted_species_treatment","wfo-kew-africa-three-floras-20260810","wfo-kew-africa-official-dwca-20260810","kew_fwta_wfo.zip::description.txt","official_wfo_dwca_exact_species_description_quote_v2","true","wild_or_naturalised_flora_treatment","OpenAI Codex source-text holdout review","2026-08-10T00:00:00Z","accepted: species identity, direct trait value, exact quote, and official-flora provenance verified"
"Crocosmia aurea","floral_structural_complexity","floral_form","salverform","high","latest_public_web","kew_flora_tropical_east_africa","https://list.worldfloraonline.org/wfo-0000788480","wfo-africa-6137d09a641f6d542eb24a70","Flora of Tropical East Africa, Royal Botanic Gardens, Kew, official WFO DwC-A","Flowers actinomorphic, hypocrateriform, usually facing the ground, bright orange (rarely with dark markings at the tepal bases); perianth-tube cylindric-curved, 1-1.6(-2.2) cm. long, barely expanded above; tepals subequal, narrowly elliptic, obtuse, spreading horizontally, 1.2-2.8 cm. long, 3-6 mm. wide.","species_direct","wfo_june_2026_exact_accepted_species_family_consistent","provider_treatment:kew_flora_tropical_east_africa:Crocosmia aurea","provider_accepted_species_treatment","wfo-kew-africa-three-floras-20260810","wfo-kew-africa-official-dwca-20260810","kew_ftea.zip::description.txt","official_wfo_dwca_exact_species_description_quote_v2","true","wild_or_naturalised_flora_treatment","OpenAI Codex source-text holdout review","2026-08-10T00:00:00Z","accepted: species identity, direct trait value, exact quote, and official-flora provenance verified"
"Cuscuta campestris","floral_structural_complexity","floral_form","bell_campanulate","high","latest_public_web","kew_flora_zambesiaca_current","https://list.worldfloraonline.org/wfo-0001297200","wfo-africa-a6fc4555b554737706d21fa7","Flora Zambesiaca, Royal Botanic Gardens, Kew, official WFO DwC-A","Corolla campanulate; lobes triangular, acute, equalling the corolla tube, spreading with often inflexed apices.","species_direct","wfo_june_2026_exact_accepted_species_family_consistent","provider_treatment:kew_flora_zambesiaca_current:Cuscuta campestris","provider_accepted_species_treatment","wfo-kew-africa-three-floras-20260810","wfo-kew-africa-official-dwca-20260810","kew_fz.zip::description.txt","official_wfo_dwca_exact_species_description_quote_v2","true","wild_or_naturalised_flora_treatment","OpenAI Codex source-text holdout review","2026-08-10T00:00:00Z","accepted: species identity, direct trait value, exact quote, and official-flora provenance verified"
"Diospyros consolatae","floral_structural_complexity","floral_form","bell_campanulate","high","latest_public_web","kew_flora_tropical_east_africa","https://list.worldfloraonline.org/wfo-0000648712","wfo-africa-62035c73364f4fda4a29423d","Flora of Tropical East Africa, Royal Botanic Gardens, Kew, official WFO DwC-A","Male flowers 1-3 together in leaf-axils and axils of fallen leaves; pedicels 1-3 mm. long; calyx 4 mm. long, minutely puberulous outside; corolla white, campanulate, ± 8 mm. long; corolla-tube 4 mm. long and wide; corolla-lobes 4, semiorbicular, 4 mm. long, 5 mm. wide; stamens ± 20-30, 3 mm. long, glabrous; filaments cream, 0.5 mm. long; anthers paleyellow, lanceolate, 2 mm. long.","species_direct","wfo_june_2026_exact_accepted_species_family_consistent","provider_treatment:kew_flora_tropical_east_africa:Diospyros consolatae","provider_accepted_species_treatment","wfo-kew-africa-three-floras-20260810","wfo-kew-africa-official-dwca-20260810","kew_ftea.zip::description.txt","official_wfo_dwca_exact_species_description_quote_v2","true","wild_or_naturalised_flora_treatment","OpenAI Codex source-text holdout review","2026-08-10T00:00:00Z","accepted: species identity, direct trait value, exact quote, and official-flora provenance verified"
"Diospyros greenwayi","floral_structural_complexity","floral_form","salverform","high","latest_public_web","kew_flora_tropical_east_africa","https://list.worldfloraonline.org/wfo-0000649024","wfo-africa-583ffc932ffbe9baf7debff9","Flora of Tropical East Africa, Royal Botanic Gardens, Kew, official WFO DwC-A","Male flowers (1-)2-4 in cymules in axils of leaves or fallen leaves; pedicels ± 1 mm. long; calyx cyathiform, 5 mm. long, shallowly 4-5-lobed, strigulose-pubescent on both surfaces; calyx-lobes triangular, ± 1 mm. long; corolla yellow with dark marks, hypocrateriform, 1.1 cm. long, glabrous except for the minutely ciliolate margins; corolla-tube 6 mm. long; corolla-lobes triangular-cordate, 5 mm. long, papillate; stamens ± 16, 6 mm. long, included; filaments 2.5 mm. long, sometimes united in pairs, inserted on the receptacle, glabrous; anthers 3.5 mm. long, apiculate, glabrous; rudimentary ovary ovoid, 2 mm. long, setulose.","species_direct","wfo_june_2026_exact_accepted_species_family_consistent","provider_treatment:kew_flora_tropical_east_africa:Diospyros greenwayi","provider_accepted_species_treatment","wfo-kew-africa-three-floras-20260810","wfo-kew-africa-official-dwca-20260810","kew_ftea.zip::description.txt","official_wfo_dwca_exact_species_description_quote_v2","true","wild_or_naturalised_flora_treatment","OpenAI Codex source-text holdout review","2026-08-10T00:00:00Z","accepted: species identity, direct trait value, exact quote, and official-flora provenance verified"
"Distephanus biafrae","floral_structural_complexity","floral_form","tubular","high","latest_public_web","kew_flora_zambesiaca_current","https://list.worldfloraonline.org/wfo-0000072251","wfo-africa-6a88ba1f618c9139afebe813","Flora Zambesiaca, Royal Botanic Gardens, Kew, official WFO DwC-A","Corollas pale-mauve to creamy-white, c. 6 mm. long, narrowly tubular but widening slightly to apex.","species_direct","wfo_synonym_cluster_from_exact_fixed_name","provider_treatment:kew_flora_zambesiaca_current:Distephanus biafrae","provider_accepted_species_treatment","wfo-kew-africa-three-floras-20260810","wfo-kew-africa-official-dwca-20260810","kew_fz.zip::description.txt","official_wfo_dwca_exact_species_description_quote_v2","true","wild_or_naturalised_flora_treatment","OpenAI Codex source-text holdout review","2026-08-10T00:00:00Z","accepted: species identity, direct trait value, exact quote, and official-flora provenance verified"
"Dorstenia foetida","floral_structural_complexity","floral_form","tubular","high","latest_public_web","kew_flora_tropical_east_africa","https://list.worldfloraonline.org/wfo-0000654421","wfo-africa-96b4d90988dc158b1bae7d24","Flora of Tropical East Africa, Royal Botanic Gardens, Kew, official WFO DwC-A","Pistillate flowers numerous; perianth shortly tubular; stigma 1.","species_direct","wfo_june_2026_exact_accepted_species_family_consistent","provider_treatment:kew_flora_tropical_east_africa:Dorstenia foetida","provider_accepted_species_treatment","wfo-kew-africa-three-floras-20260810","wfo-kew-africa-official-dwca-20260810","kew_ftea.zip::description.txt","official_wfo_dwca_exact_species_description_quote_v2","true","wild_or_naturalised_flora_treatment","OpenAI Codex source-text holdout review","2026-08-10T00:00:00Z","accepted: species identity, direct trait value, exact quote, and official-flora provenance verified"
