accepted_species,family,axis,trait_name,normalized_value,raw_value,evidence_quality,source_provider,source_url,page_title,source_citation,source_excerpt,source_record_id,source_lineage,lineage_method,source_tier,source_type,domain,language,wild_cultivated_cultivar_status,content_sha256,content_sha256_basis,retrieved_at_utc,query,review_status,source_run_id,source_artifact_id,source_artifact_name,candidate_key,review_decision,review_reason_code,review_reason,accepted_correct,species_identity_correct,cultivar_contamination,provenance_complete,reviewer,reviewed_at_utc
Alternanthera nodiflora,Amaranthaceae,floral_structural_complexity,flower_size_class,very_small,3-4 mm,medium,Flora of Botswana,https://www.botswanaflora.com/speciesdata/species.php?species_id=122530,Flora of Botswana: Species information: Alternanthera nodiflora,Flora of Botswana curated regional-flora species treatment,"Flower tepals ovate acuminate, 3-4 mm long, white or pinkish",botswana-flora:122530:flower_size_class,provider_treatment:botswana_flora:122530,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,botswanaflora.com,en,regional_flora_species_treatment_not_cultivar_limited,ec9084c697870d0ffe729dd87fb3a02662af39ce7b92503e1acabe6d7b56cc2f,retrieved_species_treatment_html_bytes,2026-08-14T03:50:02Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,2a1ff2daef8a94fb4c91a133,reject,component_measurement_not_whole_flower,"The measurement is for tepals, not whole-flower or corolla size.",False,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Paramollugo nudicaulis,Molluginaceae,floral_structural_complexity,flower_size_class,very_small,3-4 mm,medium,Flora of Botswana,https://www.botswanaflora.com/speciesdata/species.php?species_id=122880,Flora of Botswana: Species information: Paramollugo nudicaulis,Flora of Botswana curated regional-flora species treatment,"Flowers 3-4 mm in diameter, terminal on leafless, forked branches, greenish-white.",botswana-flora:122880:flower_size_class,provider_treatment:botswana_flora:122880,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,botswanaflora.com,en,regional_flora_species_treatment_not_cultivar_limited,7bf416f04b642930393cba056db7a1fe95378eb7ce96b748a166bacac906e50b,retrieved_species_treatment_html_bytes,2026-08-14T03:49:33Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,7491f6286c21fbfb7a530e5e,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Agarista salicifolia,Ericaceae,floral_structural_complexity,floral_form,urn_urceolate,"Corolla obconical to slightly urceolate, hairless, 8–10 mm long, pale green tinged pink or red or yellow to creamy-white, lobes 5, small, triangular",medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=174620,Flora of Malawi: Species information: Agarista salicifolia,Flora of Malawi curated regional-flora species treatment,"Corolla obconical to slightly urceolate, hairless, 8–10 mm long, pale green tinged pink or red or yellow to creamy-white, lobes 5, small, triangular",malawi-flora:174620:floral_form,provider_treatment:malawi_flora:174620,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,c2f8919d9aadc19647b8776ef9cd14a8e2e88d1fb4fecd471c2caf31c37adc89,retrieved_species_treatment_html_bytes,2026-08-14T03:49:26Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,da146d412c021c041f598b2f,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Agarista salicifolia,Ericaceae,flower_colour,flower_primary_color,multicolored_variable,"Corolla obconical to slightly urceolate, hairless, 8–10 mm long, pale green tinged pink or red or yellow to creamy-white, lobes 5, small, triangular",medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=174620,Flora of Malawi: Species information: Agarista salicifolia,Flora of Malawi curated regional-flora species treatment,"Corolla obconical to slightly urceolate, hairless, 8–10 mm long, pale green tinged pink or red or yellow to creamy-white, lobes 5, small, triangular",malawi-flora:174620:flower_primary_color,provider_treatment:malawi_flora:174620,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,c2f8919d9aadc19647b8776ef9cd14a8e2e88d1fb4fecd471c2caf31c37adc89,retrieved_species_treatment_html_bytes,2026-08-14T03:49:26Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,f4711b0336de79ff0d34f3fa,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Agarista salicifolia,Ericaceae,floral_structural_complexity,flower_size_class,small,8–10 mm,medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=174620,Flora of Malawi: Species information: Agarista salicifolia,Flora of Malawi curated regional-flora species treatment,"Corolla obconical to slightly urceolate, hairless, 8–10 mm long, pale green tinged pink or red or yellow to creamy-white, lobes 5, small, triangular",malawi-flora:174620:flower_size_class,provider_treatment:malawi_flora:174620,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,c2f8919d9aadc19647b8776ef9cd14a8e2e88d1fb4fecd471c2caf31c37adc89,retrieved_species_treatment_html_bytes,2026-08-14T03:49:26Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,9b1a3434c7e2b6894df1565d,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Biophytum helenae,Oxalidaceae,flower_colour,flower_primary_color,multicolored_variable,"flowers white, pink, lilac or yellow in 3-10-flowered pseudoumbels, peduncle up to 13 cm long, pubescent, pedicels up to 6 mm long, pubescent;",medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=178990,Flora of Malawi: Species information: Biophytum helenae,Flora of Malawi curated regional-flora species treatment,"flowers white, pink, lilac or yellow in 3-10-flowered pseudoumbels, peduncle up to 13 cm long, pubescent, pedicels up to 6 mm long, pubescent;",malawi-flora:178990:flower_primary_color,provider_treatment:malawi_flora:178990,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,b6e8c3aa0c4e7fe20e945ec3ab15b065df1f0576a532aaeab07bb1e2733d2342,retrieved_species_treatment_html_bytes,2026-08-14T03:49:56Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,0d0683466b598df84e9a1c39,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Bulbostylis filamentosa,Cyperaceae,floral_structural_complexity,inflorescence_display,composite_display,Inflorescence a dense crowded head of many spikelets,medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=111300,Flora of Malawi: Species information: Bulbostylis filamentosa,Flora of Malawi curated regional-flora species treatment,Inflorescence a dense crowded head of many spikelets,malawi-flora:111300:inflorescence_display,provider_treatment:malawi_flora:111300,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,df95e7835a69107206d50540f301677cfc347cd8585de4a80bfdab97d5c572a1,retrieved_species_treatment_html_bytes,2026-08-14T03:49:27Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,e8f11fe984e63d3fdf6a9e1a,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Bulbostylis schoenoides,Cyperaceae,floral_structural_complexity,inflorescence_display,composite_display,"Young leaf sheaths pale brown to wine red . Inflorescence a compact head, composed of 1-5 obtuse spikelets ;",medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=111360,Flora of Malawi: Species information: Bulbostylis schoenoides,Flora of Malawi curated regional-flora species treatment,"Young leaf sheaths pale brown to wine red . Inflorescence a compact head, composed of 1-5 obtuse spikelets ;",malawi-flora:111360:inflorescence_display,provider_treatment:malawi_flora:111360,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,c45304b6b4f00196f51613406fad0340a3cf3bd5fcba7cf8a62fab67f194226f,retrieved_species_treatment_html_bytes,2026-08-14T03:49:27Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,f18587caec0a89c1cdedb57f,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Carex chlorosaccus,Cyperaceae,floral_structural_complexity,inflorescence_display,raceme_spike_panicle,"Inflorescence a slender, much-branched panicle, 8-50 cm long, green;",medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=227700,Flora of Malawi: Species information: Carex chlorosaccus,Flora of Malawi curated regional-flora species treatment,"Inflorescence a slender, much-branched panicle, 8-50 cm long, green;",malawi-flora:227700:inflorescence_display,provider_treatment:malawi_flora:227700,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,cd126d83f5323b4fe3a24ada053426e13672dee146b62896a8aa1339a3acf42f,retrieved_species_treatment_html_bytes,2026-08-14T03:49:46Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,46890c612bb34171f52b9e00,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
Coleochloa setifera,Cyperaceae,floral_structural_complexity,inflorescence_display,raceme_spike_panicle,"Inflorescence a lax, slender, erect or curved panicle, composed of 1-3 fascicles of spikes;",medium,Flora of Malawi,https://www.malawiflora.com/speciesdata/species.php?species_id=111580,Flora of Malawi: Species information: Coleochloa setifera,Flora of Malawi curated regional-flora species treatment,"Inflorescence a lax, slender, erect or curved panicle, composed of 1-3 fascicles of spikes;",malawi-flora:111580:inflorescence_display,provider_treatment:malawi_flora:111580,curated_regional_flora_species_treatment,B,curated_regional_flora_species_treatment,malawiflora.com,en,regional_flora_species_treatment_not_cultivar_limited,947c473c21078995f2ebbfbcc7611de45ee10498e1cf485b2eaf9921fa62374a,retrieved_species_treatment_html_bytes,2026-08-14T03:49:26Z,credential_free_regional_flora_family_index_exact_species_page,pending_individual_review,31767694551,9207019490,regional-flora-network-acquisition-31767694551,85ef7c7b890bd9b046427861,accept,species_direct_trait_statement_supported,Exact species and family match; the quoted treatment directly states the mapped trait.,True,True,False,True,Codex exact-excerpt regional-flora audit,2026-08-14T04:05:00Z
