accepted_species,genus,family,n_islands,n_records
Platanthera bifolia,Platanthera,Orchidaceae,372,21504
Senecio vulgaris,Senecio,Asteraceae,737,262841
Galium verum,Galium,Rubiaceae,487,228219
Vicia cracca,Vicia,Fabaceae,768,248064
Dactylis glomerata,Dactylis,Poaceae,865,524538
Carex echinata,Carex,Cyperaceae,585,102882
Syzygium malaccense,Syzygium,Myrtaceae,130,1347
Euphorbia hirta,Euphorbia,Euphorbiaceae,380,11435
Comarum palustre,Comarum,Rosaceae,641,66891
Asclepias curassavica,Asclepias,Apocynaceae,245,3185
Lamium purpureum,Lamium,Lamiaceae,450,189290
Heterotis rotundifolia,Heterotis,Melastomataceae,74,1376
Malva sylvestris,Malva,Malvaceae,281,125550
Calluna vulgaris,Calluna,Ericaceae,669,252249
Phoenix dactylifera,Phoenix,Arecaceae,85,531
Avicennia germinans,Avicennia,Acanthaceae,187,3135
Machilus thunbergii,Machilus,Lauraceae,118,7370
Lysimachia arvensis,Lysimachia,Primulaceae,482,95578
Rhynchotechum discolor,Rhynchotechum,Gesneriaceae,31,1912
Phyllanthus tenellus,Phyllanthus,Phyllanthaceae,114,3613
Colocasia esculenta,Colocasia,Araceae,185,8751
Caltha palustris,Caltha,Ranunculaceae,667,170846
Annona muricata,Annona,Annonaceae,141,1202
Cakile maritima,Cakile,Brassicaceae,485,27502
Dodonaea viscosa,Dodonaea,Sapindaceae,269,12506
Citrus aurantium,Citrus,Rutaceae,116,673
Honckenya peploides,Honckenya,Caryophyllaceae,625,24900
Aegopodium podagraria,Aegopodium,Apiaceae,478,204362
Pilea microphylla,Pilea,Urticaceae,234,7524
Salix aurita,Salix,Salicaceae,434,74385
Broussonetia papyrifera,Broussonetia,Moraceae,197,18087
Piper aduncum,Piper,Piperaceae,67,1038
Plantago maritima,Plantago,Plantaginaceae,802,69744
Heptapleurum actinophyllum,Heptapleurum,Araliaceae,125,2529
Solanum americanum,Solanum,Solanaceae,303,8624
Hedychium coronarium,Hedychium,Zingiberaceae,105,3065
Polygonatum odoratum,Polygonatum,Asparagaceae,276,6665
Manilkara zapota,Manilkara,Sapotaceae,100,569
Begonia semperflorens-cultorum,Begonia,Begoniaceae,27,108
Atriplex patula,Atriplex,Amaranthaceae,345,99838
Convolvulus arvensis,Convolvulus,Convolvulaceae,380,168359
Pandanus spiralis,Pandanus,Pandanaceae,44,807
Campanula rapunculoides,Campanula,Campanulaceae,219,7265
Quercus ilex,Quercus,Fagaceae,139,39730
Rumex acetosa,Rumex,Polygonaceae,697,399174
Euonymus europaeus,Euonymus,Celastraceae,121,97829
Persoonia falcata,Persoonia,Proteaceae,33,645
Pedicularis palustris,Pedicularis,Orobanchaceae,374,36664
Rhamnus cathartica,Rhamnus,Rhamnaceae,144,45293
Elaeocarpus japonicus,Elaeocarpus,Elaeocarpaceae,33,2156
Myosotis scorpioides,Myosotis,Boraginaceae,346,121143
Xylocarpus granatum,Xylocarpus,Meliaceae,105,777
Olea europaea,Olea,Oleaceae,208,13706
Diospyros ferrea,Diospyros,Ebenaceae,65,720
Sedum album,Sedum,Crassulaceae,283,51748
Gentianella campestris,Gentianella,Gentianaceae,287,16253
Anacardium occidentale,Anacardium,Anacardiaceae,168,1207
Vitis vinifera,Vitis,Vitaceae,143,3520
Viola tricolor,Viola,Violaceae,463,30879
Vatica rassak,Vatica,Dipterocarpaceae,21,588
Campsis radicans,Campsis,Bignoniaceae,112,925
Horsfieldia irya,Horsfieldia,Myristicaceae,43,278
Cucumis melo,Cucumis,Cucurbitaceae,141,997
Allium vineale,Allium,Amaryllidaceae,229,49328
Byrsonima lucida,Byrsonima,Malpighiaceae,47,612
Epilobium ciliatum,Epilobium,Onagraceae,540,114761
Amyema villiflora,Amyema,Loranthaceae,26,66
Iris germanica,Iris,Iridaceae,100,2881
Daphne laureola,Daphne,Thymelaeaceae,68,30321
Opuntia cochenillifera,Opuntia,Cactaceae,119,613
Garcinia dulcis,Garcinia,Clusiaceae,34,261
Plumbago zeylanica,Plumbago,Plumbaginaceae,124,2414
Tillandsia utriculata,Tillandsia,Bromeliaceae,76,1019
Polygala paniculata,Polygala,Polygalaceae,125,2586
Hemerocallis fulva,Hemerocallis,Asphodelaceae,125,4143
Garuga floribunda,Garuga,Burseraceae,52,275
Lonicera periclymenum,Lonicera,Caprifoliaceae,325,259277
Impatiens parviflora,Impatiens,Balsaminaceae,95,13862
Juncus effusus,Juncus,Juncaceae,632,434112
Hypericum pulchrum,Hypericum,Hypericaceae,207,104992
Aristolochia littoralis,Aristolochia,Aristolochiaceae,41,205
Micranthes nivalis,Micranthes,Saxifragaceae,220,4636
Verbascum nigrum,Verbascum,Scrophulariaceae,165,16743
Commelina communis,Commelina,Commelinaceae,163,5394
Bauera rubioides,Bauera,Cunoniaceae,13,4076
Laguncularia racemosa,Laguncularia,Combretaceae,184,3061
Actinidia polygama,Actinidia,Actinidiaceae,24,1708
Chelidonium majus,Chelidonium,Papaveraceae,329,71594
Geranium molle,Geranium,Geraniaceae,406,156496
Ilex integra,Ilex,Aquifoliaceae,58,1323
Mammea americana,Mammea,Calophyllaceae,31,239
Ternstroemia gymnanthera,Ternstroemia,Pentaphylacaceae,47,1484
Hibbertia fasciculata,Hibbertia,Dilleniaceae,20,1136
Cissampelos pareira,Cissampelos,Menispermaceae,73,1059
Passiflora edulis,Passiflora,Passifloraceae,166,3394
Dioscorea communis,Dioscorea,Dioscoreaceae,101,133358
