candidate_id,trait_name,accepted_species,normalized_value,source_provider,source_url,source_citation,source_excerpt,content_fingerprint,accepted_correct,cultivar_status,reviewer,reviewed_at_utc,audit_reason,audit_hash
florml-60a65f8bdc52ec3321ef2a08,flower_size_class,Decalobanthus mammosus,large,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive","Corolla broadly funnel-shaped, 7-8 cm long, white, glabrous but with minute glands outside; mid-petaline bands distinctly nerved.",61eeb424fb311dfa992aafa16cead6da5ffe328f08a50a2459b27ef48847bb23,,,,,,00e7333ff0532f30469e64f4735252d6ab74eb8d67c5f0261a0dc1f042daefa1
florml-8090bc9c6bc95a406d563b35,flower_size_class,Rhododendron luraluense,large,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive","Corolla funnel-shaped, (3-)3.5-4(4.5) cm long in all (limb c. 5 cm ø when fresh), white, membranous, sparsely lepidote outside, very laxly and shortly pubescent at the tube inside, tube 1.5-2 cm, at base c. 4 mm ø, gradually widened to 7-9 mm at apex, lobes obovate-suborbicular, spreading, (1-)1.5 by 1-1.4 cm.",e8c0641a27684f56d2d47b05743afb60f27142e418ac29a5f526200eb7875350,,,,,,01005b38c2ab19a4b7df7a82f0e12b0f972f3f4e2d31d737d3edd4b0d5ca0312
florml-fae63c66e8dea19e00ef2c1a,flower_size_class,Mapania monostachya,small,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive",Flowers 4-6 mm long; outermost scales sparsely ciliolate on the keel in the upper part.,e562cab9b8e22896d8f80ecaa25526b4a142e788c1476dc6a4df5eefb0036aca,,,,,,01077cd4c8cd2b53cec1f5b77d55a0dcfbe965bb97a17a6abff8311c5e85947f
florml-16de03ae80ced1c77a7f72f5,flower_size_class,Epirixanthes kinabaluensis,very_small,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive","Flowers c. 2 mm long, milk-white with yellow-brown calyx.",c97f474606006d765dbdcf2f02882ceb5399ef804207742a0909cd110adc2803,,,,,,013cdfda2fd16f7bce1fe09794fa195fc7a5b8a3b6aa323f6dc0b893a48514d8
florml-4c9a45fb5e24760514405c68,flower_size_class,Coleus apoensis,small,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive","Corolla light blue, 6-7 mm long; tube slender, constricted at about the middle, slightly gibbous near the base; limb 2-lipped, upper lip recurved, lower lip concave, notched.",d7293d4912b405e54eec934f3f700d24720e8200553ae653e44b653123cc9a7f,,,,,,0161c08178b6abd24db888ad7d1791f748749ec6b50dbeffc928ff3cbb519d66
florml-b6a3cae40525b3f5e60f713e,flower_size_class,Xenostegia tridentata,medium,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive","Corolla funnel-shaped, 12-20 mm long, glabrous, wholly pale yellow or white, or with a purple to chocolate brown centre.",7c2480cca1a8aea06e2d9c87735a4827e10235edc80ef01f98f6e21857eb9633,,,,,,0269af53587058cb83b4c31c5e8fd6a15a9ced034eda1a989bd32004b2aff0ac
florml-bd9afa3d24db031b87a02a90,flower_size_class,Tetracera fagifolia,small,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive",Flower ca 8-12 mm diam.,a2b4dfb75fcde4bb014414777aa7bc7a774cfac06abcbe4e15fc70ca5f610c71,,,,,,046bcbaf66ef55e3355052faf9268d7a2dbedb12c56368dfdb7eab1866e2b437
florml-a10c93adcb000562ec266bca,flower_size_class,Tetracera korthalsii,small,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive",Flower ca 10 mm diam.,3e93c9af5161fc5bcaf3b77289fc9e3619ad2b91c6f3a94d506ef48adf6c12e6,,,,,,05566a198bf15060585a954819b4f2bf1cb6234c6550078f36be983e285d59b6
florml-5aa464a0396c948a751fc52e,flower_size_class,Decalobanthus boisianus,medium,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive","Corolla broadly funnel-shaped to campanulate, ca 22 mm long, yellow (in the Tonkin specimen), or white (in the Sumatran one); midpetaline bands sericeous outside.",0c6bbecbfdbfd4e060e446977f0f868f132f1bf48645c4f75f01f5a1f0ecc7b1,,,,,,06a1872aee12ccd1e75a5a4d55fd1bea2b1e471e3663e892d29efc7c4004bb94
florml-484a241093f8f4006fd1fb5c,flower_size_class,Pentaphragma horsfieldii,small,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive","Flowers biseriate, 5-8 mm long.",c952fb01ec5273a8fdbb476926306ec5c2964614b7faafd58c2c50152dd115d1,,,,,,07490561484c83dc74334cb715d7b5b91aaae158dfc688deb108e138a153dac6
