accepted_species,genus,family,n_islands,n_records
Coriaria arborea,Coriaria,Coriariaceae,21,3720
Viburnum opulus,Viburnum,Viburnaceae,365,124267
Impatiens balsamina,Impatiens,Balsaminaceae,115,1041
Ficaria verna,Ficaria,Ranunculaceae,452,293742
Sesuvium portulacastrum,Sesuvium,Aizoaceae,358,4832
Allium ursinum,Allium,Amaryllidaceae,208,130914
Matricaria discoidea,Matricaria,Asteraceae,635,226994
Campanula rapunculoides,Campanula,Campanulaceae,219,7265
Lathyrus pratensis,Lathyrus,Fabaceae,574,296830
Geranium sanguineum,Geranium,Geraniaceae,242,23672
Mazus miquelii,Mazus,Mazaceae,25,1644
Dactylorhiza viridis,Dactylorhiza,Orchidaceae,256,17717
Paeonia mascula,Paeonia,Paeoniaceae,20,896
Frangula alnus,Frangula,Rhamnaceae,283,31586
Bruguiera exaristata,Bruguiera,Rhizophoraceae,56,149
Sorbus aucuparia,Sorbus,Rosaceae,683,276291
Turnera ulmifolia,Turnera,Turneraceae,252,3041
Acanthus mollis,Acanthus,Acanthaceae,102,8002
Bretschneidera sinensis,Bretschneidera,Akaniaceae,1,180
Beta vulgaris,Beta,Amaranthaceae,242,26605
Heracleum sphondylium,Heracleum,Apiaceae,358,441535
Calotropis gigantea,Calotropis,Apocynaceae,122,1699
Ilex opaca,Ilex,Aquifoliaceae,49,1769
Aristolochia littoralis,Aristolochia,Aristolochiaceae,41,205
Ornithogalum umbellatum,Ornithogalum,Asparagaceae,183,13455
Astelia hastata,Astelia,Asteliaceae,13,3412
Cochlearia officinalis,Cochlearia,Brassicaceae,420,17256
Cabomba aquatica,Cabomba,Cabombaceae,5,8
Capparis sepiaria,Capparis,Capparaceae,70,323
Lonicera periclymenum,Lonicera,Caprifoliaceae,325,259277
Carica papaya,Carica,Caricaceae,318,6343
Euonymus europaeus,Euonymus,Celastraceae,121,97829
Cistus salviifolius,Cistus,Cistaceae,124,9547
Tarenaya spinosa,Tarenaya,Cleomaceae,32,119
Gloriosa superba,Gloriosa,Colchicaceae,102,946
Desfontainia spinosa,Desfontainia,Columelliaceae,10,11
Comandra umbellata,Comandra,Comandraceae,23,209
Calystegia soldanella,Calystegia,Convolvulaceae,233,8591
Cornus sanguinea,Cornus,Cornaceae,83,133108
Cynomorium coccineum,Cynomorium,Cynomoriaceae,15,262
Alluaudia ascendens,Alluaudia,Didiereaceae,1,53
Dillenia suffruticosa,Dillenia,Dilleniaceae,23,1343
Doryanthes excelsa,Doryanthes,Doryanthaceae,2,4
Diospyros virginiana,Diospyros,Ebenaceae,39,296
Elatine hexandra,Elatine,Elatinaceae,32,3134
Euphorbia heterophylla,Euphorbia,Euphorbiaceae,334,4902
Frankenia pauciflora,Frankenia,Frankeniaceae,29,216
Gelsemium sempervirens,Gelsemium,Gelsemiaceae,15,80
Goodenia ovata,Goodenia,Goodeniaceae,13,2189
Ribes nigrum,Ribes,Grossulariaceae,322,38255
Rhodoleia championii,Rhodoleia,Hamamelidaceae,6,64
Heliconia bihai,Heliconia,Heliconiaceae,55,815
Iris setosa,Iris,Iridaceae,97,860
Irvingia gabonensis,Irvingia,Irvingiaceae,3,28
Barringtonia edulis,Barringtonia,Lecythidaceae,38,222
Pinguicula alpina,Pinguicula,Lentibulariaceae,43,1033
Fritillaria camschatcensis,Fritillaria,Liliaceae,117,1248
Limnanthes douglasii,Limnanthes,Limnanthaceae,25,2065
Trapa natans,Trapa,Lythraceae,59,2010
Malva moschata,Malva,Malvaceae,231,59608
Proboscidea louisianica,Proboscidea,Martyniaceae,7,9
Montia fontana,Montia,Montiaceae,521,67217
Nuphar polysepala,Nuphar,Nymphaeaceae,66,1497
Fraxinus ornus,Fraxinus,Oleaceae,72,5264
Epilobium parviflorum,Epilobium,Onagraceae,194,113474
Odontites vernus,Odontites,Orobanchaceae,183,94241
Oxalis dillenii,Oxalis,Oxalidaceae,73,1284
Erythranthe guttata,Erythranthe,Phrymaceae,128,13873
Plantago lanceolata,Plantago,Plantaginaceae,808,560413
Carpodetus serratus,Carpodetus,Rousseaceae,9,23154
Sherardia arvensis,Sherardia,Rubiaceae,276,55366
Salix pentandra,Salix,Salicaceae,299,20294
Acer campestre,Acer,Sapindaceae,123,215651
Chrysophyllum oliviforme,Chrysophyllum,Sapotaceae,39,562
Micranthes stellaris,Micranthes,Saxifragaceae,130,12424
Simarouba amara,Simarouba,Simaroubaceae,18,153
Solanum tuberosum,Solanum,Solanaceae,209,12247
Staphylea pinnata,Staphylea,Staphyleaceae,13,497
Peganum harmala,Peganum,Tetradiclidaceae,3,9
Viola tricolor,Viola,Violaceae,463,30879
Viscum album,Viscum,Viscaceae,58,45415
Qualea parviflora,Qualea,Vochysiaceae,2,10
Xeronema callistemon,Xeronema,Xeronemataceae,3,22
Coriaria plumosa,Coriaria,Coriariaceae,4,569
Sambucus nigra,Sambucus,Viburnaceae,321,422269
Impatiens parviflora,Impatiens,Balsaminaceae,95,13862
Anemone nemorosa,Anemone,Ranunculaceae,427,158737
Mesembryanthemum crystallinum,Mesembryanthemum,Aizoaceae,68,2955
Galanthus nivalis,Galanthus,Amaryllidaceae,180,91994
Cirsium arvense,Cirsium,Asteraceae,629,503657
Adenophora triphylla,Adenophora,Campanulaceae,95,3254
Vicia sepium,Vicia,Fabaceae,476,217938
Geranium columbinum,Geranium,Geraniaceae,153,18504
Mazus radicans,Mazus,Mazaceae,3,518
Gymnadenia conopsea,Gymnadenia,Orchidaceae,197,35460
Paeonia cambessedesii,Paeonia,Paeoniaceae,3,116
Rhamnus cathartica,Rhamnus,Rhamnaceae,144,45293
Bruguiera cylindrica,Bruguiera,Rhizophoraceae,44,212
Prunus padus,Prunus,Rosaceae,442,59280
Piriqueta cistoides,Piriqueta,Turneraceae,19,159
Coriaria sarmentosa,Coriaria,Coriariaceae,3,1151
Adoxa moschatellina,Adoxa,Viburnaceae,126,64546
Impatiens balfourii,Impatiens,Balsaminaceae,20,102
Ranunculus auricomus,Ranunculus,Ranunculaceae,250,44220
Coriaria angustissima,Coriaria,Coriariaceae,3,474
Viburnum lantana,Viburnum,Viburnaceae,71,48037
Coriaria pteridoides,Coriaria,Coriariaceae,2,346
Coriaria kingiana,Coriaria,Coriariaceae,2,127
