accepted_species,trait_layer,trait_name,provisional_candidate_value,matched_term,candidate_class,source,source_type,source_url,raw_description,evidence_scope,wild_or_cultivated,review_status,evidence_quote,source_chunk_id,source_text_sha256,extraction_method,model_provider,model_id,prompt_version,prompt_sha256,packet_input_sha256,ontology_sha256,extraction_run_id,confidence
Acaena magellanica,M0_floral_phenotype,flower_primary_color,multicolored_variable,"Flower colours. Red/Pink, Purple, Violet/Purple.",reported,llm_evidence_extraction,flora_or_monograph,https://www.nzpcn.org.nz/flora/species/acaena-magellanica/,"Flower colours. Red/Pink, Purple, Violet/Purple.",species_direct,unknown,unreviewed_llm_extraction,"Flower colours. Red/Pink, Purple, Violet/Purple.",src_2971d0b073f2a7ac56da,abaf2bc73775f7795972c7e8087df5aea110ef9096e27188d74ab43bf7d2f0e7,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,ff775a8d135316d8d7c48083f2ec59f5cb7339fa385adbb8954045c0dd10a04a,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_8a294f4390e08b7b767a,high
Acaena magellanica,M0_floral_phenotype,floral_form,composite_head,Capitulum of about 80-100 florets,reported,llm_evidence_extraction,flora_or_monograph,https://www.nzpcn.org.nz/flora/species/acaena-magellanica/,Capitulum of about 80-100 florets,species_direct,unknown,unreviewed_llm_extraction,Capitulum of about 80-100 florets,src_2971d0b073f2a7ac56da,abaf2bc73775f7795972c7e8087df5aea110ef9096e27188d74ab43bf7d2f0e7,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,ff775a8d135316d8d7c48083f2ec59f5cb7339fa385adbb8954045c0dd10a04a,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_8a294f4390e08b7b767a,high
Acaena magellanica,M0_floral_phenotype,floral_form,composite_head,The flower heads are globular and grow on wiry stems well clear of the foliage.,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acaena_magellanica,The flower heads are globular and grow on wiry stems well clear of the foliage.,species_direct,unknown,unreviewed_llm_extraction,The flower heads are globular and grow on wiry stems well clear of the foliage.,src_71f8ddcfe9fc3cb142ba,1c2dea361a2d26cca17d52c48bee12cb429a2631e8dfec1ce40df720bc631c89,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,ff775a8d135316d8d7c48083f2ec59f5cb7339fa385adbb8954045c0dd10a04a,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_8a294f4390e08b7b767a,high
Acacia boormanii,M0_floral_phenotype,flower_primary_color,yellow_orange,golden-yellow flowers arranged in spherical heads on a raceme,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acacia_boormanii,golden-yellow flowers arranged in spherical heads on a raceme,species_direct,unknown,unreviewed_llm_extraction,golden-yellow flowers arranged in spherical heads on a raceme,src_380840e7403f9f144fdb,9a25ff9155d5cba97fb4648a0bf3e7da8f439792e37715fc2d89b3bec16bae60,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,ff775a8d135316d8d7c48083f2ec59f5cb7339fa385adbb8954045c0dd10a04a,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_8a294f4390e08b7b767a,high
Acacia boormanii,M0_floral_phenotype,floral_form,composite_head,golden-yellow flowers arranged in spherical heads on a raceme,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acacia_boormanii,golden-yellow flowers arranged in spherical heads on a raceme,species_direct,unknown,unreviewed_llm_extraction,golden-yellow flowers arranged in spherical heads on a raceme,src_380840e7403f9f144fdb,9a25ff9155d5cba97fb4648a0bf3e7da8f439792e37715fc2d89b3bec16bae60,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,ff775a8d135316d8d7c48083f2ec59f5cb7339fa385adbb8954045c0dd10a04a,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_8a294f4390e08b7b767a,high
Achillea aegyptiaca,M0_floral_phenotype,floral_form,composite_head,"flattened heads or corymbs, 5 to 7.5 cm (2 to 3 in) in width, of closely packed small flowers",reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Achillea_aegyptiaca,"flattened heads or corymbs, 5 to 7.5 cm (2 to 3 in) in width, of closely packed small flowers",species_direct,unknown,unreviewed_llm_extraction,"flattened heads or corymbs, 5 to 7.5 cm (2 to 3 in) in width, of closely packed small flowers",src_812aef925e608f8480ca,1204ced9e6d043152d5586fcddfd8a01a12e402951f32a08c1b6644195ddb5db,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,ff775a8d135316d8d7c48083f2ec59f5cb7339fa385adbb8954045c0dd10a04a,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_8a294f4390e08b7b767a,high
Achillea aegyptiaca,M0_floral_phenotype,flower_primary_color,yellow_orange,"They resemble those of common yarrow, but are bright light yellow.",reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Achillea_aegyptiaca,"They resemble those of common yarrow, but are bright light yellow.",species_direct,unknown,unreviewed_llm_extraction,"They resemble those of common yarrow, but are bright light yellow.",src_812aef925e608f8480ca,1204ced9e6d043152d5586fcddfd8a01a12e402951f32a08c1b6644195ddb5db,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,ff775a8d135316d8d7c48083f2ec59f5cb7339fa385adbb8954045c0dd10a04a,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_8a294f4390e08b7b767a,high
Acianthus exsertus,M0_floral_phenotype,flower_primary_color,multicolored_variable,dark brown flowers with pinkish and purplish markings,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acianthus_exsertus,dark brown flowers with pinkish and purplish markings,species_direct,unknown,unreviewed_llm_extraction,dark brown flowers with pinkish and purplish markings,src_ff6d79e94af7458759ef,1435585d37638ab299373394384499ce0e35801e60231c6d67d1f85a8eab093b,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,ff775a8d135316d8d7c48083f2ec59f5cb7339fa385adbb8954045c0dd10a04a,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_8a294f4390e08b7b767a,high
Acianthus exsertus,M0_floral_phenotype,floral_form,other_described,"heart-shaped to elliptic, dished near the base with the edges rolled under but lacking teeth.",reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acianthus_exsertus,"heart-shaped to elliptic, dished near the base with the edges rolled under but lacking teeth.",species_direct,unknown,unreviewed_llm_extraction,"heart-shaped to elliptic, dished near the base with the edges rolled under but lacking teeth.",src_ff6d79e94af7458759ef,1435585d37638ab299373394384499ce0e35801e60231c6d67d1f85a8eab093b,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,ff775a8d135316d8d7c48083f2ec59f5cb7339fa385adbb8954045c0dd10a04a,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_8a294f4390e08b7b767a,medium
Actinotus helianthi,M0_floral_phenotype,floral_form,composite_head,with daisy-shaped flowerheads around 5 or occasionally 8 cm,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Actinotus_helianthi,with daisy-shaped flowerheads around 5 or occasionally 8 cm,species_direct,unknown,unreviewed_llm_extraction,with daisy-shaped flowerheads around 5 or occasionally 8 cm,src_0ccb88cbbd3d8bb475a3,55d9ba6bbdf4c41ac5560f38985ff29f99e110ad690b72561a19b06d60728a64,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,ff775a8d135316d8d7c48083f2ec59f5cb7339fa385adbb8954045c0dd10a04a,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_8a294f4390e08b7b767a,high
Agrostis capillaris,M0_floral_phenotype,flower_primary_color,multicolored_variable,"Spikelets (1.7 -) 2 - 3 (- 3.5) mm long, greenish to purplish",reported,llm_evidence_extraction,gbif_species_description,https://www.gbif.org/species/2706490,"Spikelets (1.7 -) 2 - 3 (- 3.5) mm long, greenish to purplish",species_direct,unknown,unreviewed_llm_extraction,"Spikelets (1.7 -) 2 - 3 (- 3.5) mm long, greenish to purplish",src_d23846d9e61d71ac8d22,57dabc474efd0be63cf00d311c31c7f63150b6e80d0160116c136fff4ea8d3a3,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,ff775a8d135316d8d7c48083f2ec59f5cb7339fa385adbb8954045c0dd10a04a,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_8a294f4390e08b7b767a,high
Agrostis capillaris,M0_floral_phenotype,floral_form,other_described,"Panicles (3 -) 10 - 20 cm long, (1 -) 2 - 12 cm wide, open, lax, oblong to ovate",reported,llm_evidence_extraction,gbif_species_description,https://www.gbif.org/species/2706490,"Panicles (3 -) 10 - 20 cm long, (1 -) 2 - 12 cm wide, open, lax, oblong to ovate",species_direct,unknown,unreviewed_llm_extraction,"Panicles (3 -) 10 - 20 cm long, (1 -) 2 - 12 cm wide, open, lax, oblong to ovate",src_d23846d9e61d71ac8d22,57dabc474efd0be63cf00d311c31c7f63150b6e80d0160116c136fff4ea8d3a3,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,ff775a8d135316d8d7c48083f2ec59f5cb7339fa385adbb8954045c0dd10a04a,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_8a294f4390e08b7b767a,medium
Agrostis capillaris,M0_floral_phenotype,flower_primary_color,green_brown_inconspicuous,The plant has delicate feathery brown flower heads about 45 cm tall (Hilgendorf 1926).,reported,llm_evidence_extraction,flora_or_monograph,https://www.nzpcn.org.nz/flora/species/agrostis-capillaris/,The plant has delicate feathery brown flower heads about 45 cm tall (Hilgendorf 1926).,species_direct,unknown,unreviewed_llm_extraction,The plant has delicate feathery brown flower heads about 45 cm tall (Hilgendorf 1926).,src_21f57f3eb82821240480,0f9b52ade68e94abfd3f6c84a1bbf95a89859c7a0a01a9cd40881c303b464733,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,ff775a8d135316d8d7c48083f2ec59f5cb7339fa385adbb8954045c0dd10a04a,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_8a294f4390e08b7b767a,high
Agrostis capillaris,M0_floral_phenotype,floral_form,other_described,The plant has delicate feathery brown flower heads about 45 cm tall (Hilgendorf 1926).,reported,llm_evidence_extraction,flora_or_monograph,https://www.nzpcn.org.nz/flora/species/agrostis-capillaris/,The plant has delicate feathery brown flower heads about 45 cm tall (Hilgendorf 1926).,species_direct,unknown,unreviewed_llm_extraction,The plant has delicate feathery brown flower heads about 45 cm tall (Hilgendorf 1926).,src_21f57f3eb82821240480,0f9b52ade68e94abfd3f6c84a1bbf95a89859c7a0a01a9cd40881c303b464733,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,ff775a8d135316d8d7c48083f2ec59f5cb7339fa385adbb8954045c0dd10a04a,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_8a294f4390e08b7b767a,medium
Agrostis capillaris,M1_reproductive_assurance_pollen_vector,mating_system,predominantly_outcrossing,"Vegetatively spreading perennial, predominantly outcrossing; tetraplaid (Timmins & MacKenzie 1995).",reported,llm_evidence_extraction,flora_or_monograph,https://www.nzpcn.org.nz/flora/species/agrostis-capillaris/,"Vegetatively spreading perennial, predominantly outcrossing; tetraplaid (Timmins & MacKenzie 1995).",species_direct,unknown,unreviewed_llm_extraction,"Vegetatively spreading perennial, predominantly outcrossing; tetraplaid (Timmins & MacKenzie 1995).",src_21f57f3eb82821240480,0f9b52ade68e94abfd3f6c84a1bbf95a89859c7a0a01a9cd40881c303b464733,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,ff775a8d135316d8d7c48083f2ec59f5cb7339fa385adbb8954045c0dd10a04a,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_8a294f4390e08b7b767a,high
Agrostis capillaris,M0_floral_phenotype,flower_primary_color,blue_purple,The flowering panicles appear from May until June. They are finely branched and look like a purple haze from a distance.,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Agrostis_capillaris,The flowering panicles appear from May until June. They are finely branched and look like a purple haze from a distance.,species_direct,unknown,unreviewed_llm_extraction,The flowering panicles appear from May until June. They are finely branched and look like a purple haze from a distance.,src_68a2a337d1d9cd03878c,a86eb1ee601b409908df46946621e4b148da324a1e99140305f18bbec413de75,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,ff775a8d135316d8d7c48083f2ec59f5cb7339fa385adbb8954045c0dd10a04a,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_8a294f4390e08b7b767a,high
