accepted_species,genus,family,n_islands,n_records
Platanthera metabifolia,Platanthera,Orchidaceae,21,191
Carthamus lanatus,Carthamus,Asteraceae,86,1183
Coprosma rhamnoides,Coprosma,Rubiaceae,17,14882
Lotus hirsutus,Lotus,Fabaceae,67,1505
Sporobolus fertilis,Sporobolus,Poaceae,97,1169
Cyperus pedunculatus,Cyperus,Cyperaceae,56,191
Syzygium australe,Syzygium,Myrtaceae,10,86
Euphorbia saratoi,Euphorbia,Euphorbiaceae,16,175
Malus baccata,Malus,Rosaceae,41,401
Leichhardtia glandulifera,Leichhardtia,Apocynaceae,10,82
Salvia microphylla,Salvia,Lamiaceae,27,115
Medinilla erpetina,Medinilla,Melastomataceae,5,6
Sida jamaicensis,Sida,Malvaceae,14,64
Vaccinium bancanum,Vaccinium,Ericaceae,9,240
Calamus hirsutus,Calamus,Arecaceae,5,197
Pseuderanthemum latifolium,Pseuderanthemum,Acanthaceae,4,30
Mespilodaphne notata,Mespilodaphne,Lauraceae,5,24
Ardisia villosa,Ardisia,Primulaceae,5,215
Cyrtandra subgrandis,Cyrtandra,Gesneriaceae,2,17
Antidesma microcarpum,Antidesma,Phyllanthaceae,6,40
Epipremnum ceramense,Epipremnum,Araceae,5,17
Eriocapitella japonica,Eriocapitella,Ranunculaceae,12,569
Popowia hirta,Popowia,Annonaceae,3,58
Draba macrocarpa,Draba,Brassicaceae,21,70
Elattostachys bidwillii,Elattostachys,Sapindaceae,6,12
Flindersia australis,Flindersia,Rutaceae,4,7
Stellaria glochidisperma,Stellaria,Caryophyllaceae,20,1423
Cicuta bulbifera,Cicuta,Apiaceae,13,60
Musanga cecropioides,Musanga,Urticaceae,4,48
Salix lambertiana,Salix,Salicaceae,7,13
Piper frustratum,Piper,Piperaceae,3,19
Ficus exasperata,Ficus,Moraceae,9,86
Veronicastrum sibiricum,Veronicastrum,Plantaginaceae,9,187
Cheirodendron platyphyllum,Cheirodendron,Araliaceae,3,171
Solanum macrocarpon,Solanum,Solanaceae,8,13
Alpinia densespicata,Alpinia,Zingiberaceae,2,32
Muscari pulchellum,Muscari,Asparagaceae,8,35
Planchonella myrsinoides,Planchonella,Sapotaceae,3,6
Begonia brachypoda,Begonia,Begoniaceae,1,22
Neobassia astrocarpa,Neobassia,Amaranthaceae,13,68
Decalobanthus discoidespermus,Decalobanthus,Convolvulaceae,8,14
Pandanus macrostigma,Pandanus,Pandanaceae,2,6
Phyteuma nigrum,Phyteuma,Campanulaceae,3,25
Lithocarpus robinsonii,Lithocarpus,Fagaceae,3,18
Rumex crispus x obtusifolius,Rumex,Polygonaceae,8,54
Euonymus loheri,Euonymus,Celastraceae,3,7
Macclintockia dentata,Macclintockia,Proteaceae,2,3
Pedicularis ornithorhynchos,Pedicularis,Orobanchaceae,6,298
Smythea macrocarpa,Smythea,Rhamnaceae,3,7
Trichilia americana,Trichilia,Meliaceae,3,11
Echium giganteum,Echium,Boraginaceae,4,161
Elaeocarpus habbemensis,Elaeocarpus,Elaeocarpaceae,1,61
Jasminum populifolium,Jasminum,Oleaceae,2,14
Diospyros quadrangularis,Diospyros,Ebenaceae,2,8
Sedum creticum,Sedum,Crassulaceae,3,46
Centaurium discolor,Centaurium,Gentianaceae,2,133
Semecarpus prainii,Semecarpus,Anacardiaceae,3,3
Causonis tenuifolia,Causonis,Vitaceae,3,4
Viola riviniana x rupestris,Viola,Violaceae,4,7
Shorea foxworthyi,Shorea,Dipterocarpaceae,2,28
Virola fosteri,Virola,Myristicaceae,2,6
Adenocalymma magnificum,Adenocalymma,Bignoniaceae,2,5
Hippeastrum hybridum,Hippeastrum,Amaryllidaceae,4,5
Momordica gilgiana,Momordica,Cucurbitaceae,2,17
Epilobium treleasianum,Epilobium,Onagraceae,4,5
