record_id,accepted_species,trait_name,normalized_value,source_url,exact_supporting_quote,accepted_correct,cultivar_status,name_match_method,source_lineage,reviewer,reviewed_at_utc,review_reason
wave45:doi:10.1093/aob/mcp299:angraecum-cadetii:self-incompatibility,Angraecum cadetii,self_incompatibility,SC,https://pmc.ncbi.nlm.nih.gov/articles/PMC2826249/,"However, the species is fully self-compatible, as the fruit set in cases of self-pollination was >=92% (Table 1).",true,wild_field_population,accepted_name_exact,doi:10.1093/aob/mcp299,Codex source-grounded primary-article audit,2026-08-31T00:00:00Z,Accepted exact species and hand-pollination result; self-compatibility is not converted to autonomous selfing.
wave45:doi:10.1371/journal.pone.0302283:impatiens-capensis:cleistogamy,Impatiens capensis,cleistogamy,facultative,https://pmc.ncbi.nlm.nih.gov/articles/PMC11189253/,"Impatiens capensis plants produce chasmogamous and cleistogamous (self-fertilizing, non-opening) flowers.",true,wild_or_naturalized_field_population,accepted_name_exact,doi:10.1371/journal.pone.0302283,Codex source-grounded primary-article audit,2026-08-31T00:00:00Z,Accepted because the species explicitly produces both open and closed self-fertilizing flowers; retained as facultative cleistogamy.
wave45:doi:10.1371/journal.pone.0053695:coelogyne-rigida:self-incompatibility,Coelogyne rigida,self_incompatibility,SI,https://pmc.ncbi.nlm.nih.gov/articles/PMC3538729/,"We found that self-incompatible C. rigida developed specialized bird perches around the basal axis of inflorescence to attract sunbirds and to complement their behavioral tendency to change foraging locations frequently.",true,wild_field_populations,strict_wfo_gbif_two_backbone,rodger2021-original-study:5742a1982698a4c207c7be4d,Codex source-grounded primary-article audit,2026-08-31T00:00:00Z,Accepted exact species and explicit self-incompatibility; reused the prior Wave41 original-study lineage to prevent independent-evidence double counting.
wave45:cncflora:2022:machaerium-macaense:self-incompatibility,Machaerium macaense,self_incompatibility,SI,https://proflora.jbrj.gov.br/html/Machaerium%20macaense_2022.html,"Sistema: self-incompatible",true,wild_species_profile,accepted_name_exact,cncflora-profile:machaerium-macaense:2022,Codex source-grounded official-profile audit,2026-08-31T00:00:00Z,Accepted official JBRJ/CNCFlora species profile; Medium because the page does not expose the underlying breeding experiment.
wave45:doi:10.1111/1365-2664.12027:metrosideros-polymorpha:autonomous-selfing,Metrosideros polymorpha,autonomous_selfing_capacity,autonomous,https://escholarship.org/content/qt7cq0s4zd/qt7cq0s4zd_noSplash_2f94baaa47fffddcf35cf6d131e4480d.pdf,"self-pollination: bagged with fine-mesh nylon bags to prevent cross-pollination and maximize self-pollination ... An average M. polymorpha ISI of 0.214",true,wild_field_populations,accepted_name_exact,doi:10.1111/1365-2664.12027,Codex source-grounded primary-article audit,2026-08-31T00:00:00Z,Accepted autonomous capacity because bagged inflorescences produced nonzero self fruit; retained separately from self-incompatibility.
wave45:doi:10.1080/0028825X.2011.607833:schoenus-apogon:self-incompatibility,Schoenus apogon,self_incompatibility,SC,https://doi.org/10.1080/0028825X.2011.607833,"seed set on self-pollination",true,wild_origin_accessions,accepted_name_exact,doi:10.1080/0028825X.2011.607833,Codex source-grounded primary-article audit,2026-08-31T00:00:00Z,Accepted because Table 1 identifies the species and the intact-flower experiment reports pollen-tube growth and seed set after self-pollination.
wave45:doi:10.1080/0028825X.2011.607833:schoenus-maschalinus:self-incompatibility,Schoenus maschalinus,self_incompatibility,SC,https://doi.org/10.1080/0028825X.2011.607833,"seed set on self-pollination",true,wild_origin_accessions,accepted_name_exact,doi:10.1080/0028825X.2011.607833,Codex source-grounded primary-article audit,2026-08-31T00:00:00Z,Accepted because Table 1 identifies the species and the intact-flower experiment reports pollen-tube growth and seed set after self-pollination.
wave45:doi:10.1080/0028825X.2011.607833:schoenus-nitens:self-incompatibility,Schoenus nitens,self_incompatibility,SC,https://doi.org/10.1080/0028825X.2011.607833,"seed set on self-pollination",true,wild_origin_accessions,accepted_name_exact,doi:10.1080/0028825X.2011.607833,Codex source-grounded primary-article audit,2026-08-31T00:00:00Z,Accepted because Table 1 identifies the species and the intact-flower experiment reports pollen-tube growth and seed set after self-pollination.
wave45:doi:10.1080/0028825X.2011.607833:schoenus-pauciflorus:self-incompatibility,Schoenus pauciflorus,self_incompatibility,SC,https://doi.org/10.1080/0028825X.2011.607833,"seed set on self-pollination",true,wild_origin_accessions,accepted_name_exact,doi:10.1080/0028825X.2011.607833,Codex source-grounded primary-article audit,2026-08-31T00:00:00Z,Accepted because Table 1 identifies the species and the intact-flower experiment reports pollen-tube growth and seed set after self-pollination.
wave45:citation:davies-2000:eriocaulon-carsonii:self-incompatibility,Eriocaulon carsonii,self_incompatibility,SC,https://www.researchgate.net/publication/279059723_Conservation_Biology_of_the_Nationally_Endangered_Mound_Spring_Endemic_Eriocaulon_carsonii_Eriocaulaceae,"preliminary results that show the species to be self-compatible",true,wild_and_ex_situ_research_population,strict_wfo_gbif_two_backbone,citation:davies-2000-eriocaulon-carsonii,Codex source-grounded research-report audit,2026-08-31T00:00:00Z,Accepted as Medium because the report is preliminary; no autonomy value is promoted from the same passage.
wave45:doi:10.1590/0102-33062020abb0023:pavonia-varians:autonomous-selfing,Pavonia varians,autonomous_selfing_capacity,autonomous,https://www.scielo.br/j/abb/a/nWgMZDzXJ5QCdZv3dS9Swnr/?lang=en,"the flowers remained bagged throughout the anthesis ... promoting spontaneous self-pollination",true,wild_field_population,strict_wfo_gbif_two_backbone,doi:10.1590/0102-33062020abb0023,Codex source-grounded primary-article audit,2026-08-31T00:00:00Z,Accepted exact species and bagged spontaneous self-pollination experiment; kept separate from self-incompatibility.
