accepted_species,genus,family,n_islands,n_records
Lysimachia maritima,Lysimachia,Primulaceae,656,43823
Grevillea robusta,Grevillea,Proteaceae,62,2264
Ranunculus repens,Ranunculus,Ranunculaceae,732,554397
Frangula alnus,Frangula,Rhamnaceae,283,31586
Argentina anserina,Argentina,Rosaceae,849,289276
Galium aparine,Galium,Rubiaceae,700,459848
Murraya paniculata,Murraya,Rutaceae,176,5018
Salix caprea,Salix,Salicaceae,569,199659
Acer pseudoplatanus,Acer,Sapindaceae,378,442918
Mimusops elengi,Mimusops,Sapotaceae,119,719
