accepted_species,genus,family,n_islands,n_records
Eulophia cernua,Eulophia,Orchidaceae,59,391
Helianthus annuus,Helianthus,Asteraceae,233,9684
Psychotria serpens,Psychotria,Rubiaceae,52,3006
Lathyrus oleraceus,Lathyrus,Fabaceae,156,2044
Poa palustris,Poa,Poaceae,275,3842
Eriophorum scheuchzeri,Eriophorum,Cyperaceae,191,3897
Melaleuca ericifolia,Melaleuca,Myrtaceae,27,1884
Euphorbia segetalis,Euphorbia,Euphorbiaceae,54,809
Prunus cerasifera,Prunus,Rosaceae,139,50239
Funastrum clausum,Funastrum,Apocynaceae,36,189
Teucrium scorodonia,Teucrium,Lamiaceae,91,143748
Miconia tococa,Miconia,Melastomataceae,10,50
Bombax ceiba,Bombax,Malvaceae,54,391
Gaultheria mucronata,Gaultheria,Ericaceae,43,3445
Coccothrinax barbadensis,Coccothrinax,Arecaceae,16,102
Rhinacanthus nasutus,Rhinacanthus,Acanthaceae,21,407
Beilschmiedia madang,Beilschmiedia,Lauraceae,12,93
Primula egaliksensis,Primula,Primulaceae,25,133
Rhynchoglossum klugioides,Rhynchoglossum,Gesneriaceae,5,18
Breynia officinalis,Breynia,Phyllanthaceae,17,433
Arisaema japonicum,Arisaema,Araceae,20,1119
Aquilegia formosa,Aquilegia,Ranunculaceae,58,2344
Polyalthia suberosa,Polyalthia,Annonaceae,8,103
Matthiola incana,Matthiola,Brassicaceae,106,3050
Guioa pleuropteris,Guioa,Sapindaceae,22,287
Citrus microcarpa,Citrus,Rutaceae,18,91
Sabulina rubella,Sabulina,Caryophyllaceae,107,3165
Bupleurum tenuissimum,Bupleurum,Apiaceae,64,4584
Elatostema macrophyllum,Elatostema,Urticaceae,16,69
Salix discolor,Salix,Salicaceae,30,350
Ficus lutea,Ficus,Moraceae,29,963
Piper gaudichaudianum,Piper,Piperaceae,9,33
Veronica spicata,Veronica,Plantaginaceae,65,9449
Eleutherococcus sessiliflorus,Eleutherococcus,Araliaceae,13,56
Solanum insanum,Solanum,Solanaceae,33,190
Meistera echinocarpa,Meistera,Zingiberaceae,8,33
Agave attenuata,Agave,Asparagaceae,47,510
Madhuca motleyana,Madhuca,Sapotaceae,7,141
Begonia glabra,Begonia,Begoniaceae,3,35
Chenopodiastrum hybridum,Chenopodiastrum,Amaranthaceae,59,2662
Cressa cretica,Cressa,Convolvulaceae,42,330
Freycinetia javanica,Freycinetia,Pandanaceae,4,13
Campanula lactiflora,Campanula,Campanulaceae,15,1811
Quercus infectoria,Quercus,Fagaceae,10,149
Persicaria hydropiperoides,Persicaria,Polygonaceae,46,1200
Maytenus magellanica,Maytenus,Celastraceae,10,89
Banksia ericifolia,Banksia,Proteaceae,6,33
Kopsiopsis hookeri,Kopsiopsis,Orobanchaceae,37,1136
Sarcomphalus domingensis,Sarcomphalus,Rhamnaceae,9,107
Elaeocarpus robustus,Elaeocarpus,Elaeocarpaceae,5,14
Pulmonaria rubra,Pulmonaria,Boraginaceae,21,459
Aglaia spectabilis,Aglaia,Meliaceae,14,119
Chionanthus virginicus,Chionanthus,Oleaceae,12,81
Diospyros papuana,Diospyros,Ebenaceae,5,79
Sedum formosanum,Sedum,Crassulaceae,19,532
Halenia deflexa,Halenia,Gentianaceae,13,84
Buchanania amboinensis,Buchanania,Anacardiaceae,13,164
Ampelocissus arachnoidea,Ampelocissus,Vitaceae,13,85
Viola minuscula,Viola,Violaceae,19,134
Hopea myrtifolia,Hopea,Dipterocarpaceae,6,35
Crescentia alata,Crescentia,Bignoniaceae,8,21
Knema glaucescens,Knema,Myristicaceae,6,72
Trichosanthes laceribractea,Trichosanthes,Cucurbitaceae,11,226
Narcissus cyclazetta,Narcissus,Amaryllidaceae,26,1109
Heteropterys intermedia,Heteropterys,Malpighiaceae,5,11
Ludwigia adscendens,Ludwigia,Onagraceae,23,360
Macrosolen geminatus,Macrosolen,Loranthaceae,5,43
Iris hollandica,Iris,Iridaceae,19,84
Wikstroemia lanceolata,Wikstroemia,Thymelaeaceae,6,48
Pilosocereus lanuginosus,Pilosocereus,Cactaceae,11,317
Clusia uvitana,Clusia,Clusiaceae,4,22
Limonium minutiflorum,Limonium,Plumbaginaceae,5,18
Vriesea rodigasiana,Vriesea,Bromeliaceae,6,21
Polygala tenella,Polygala,Polygalaceae,6,31
Kumara plicatilis,Kumara,Asphodelaceae,6,11
Canarium patentinervium,Canarium,Burseraceae,4,66
Dipsacus sativus,Dipsacus,Caprifoliaceae,19,462
Impatiens humblotiana,Impatiens,Balsaminaceae,1,43
Juncus pallidus,Juncus,Juncaceae,35,1868
Hypericum glandulosum,Hypericum,Hypericaceae,7,381
Asarum variegatum,Asarum,Aristolochiaceae,3,15
Chrysosplenium sibiricum,Chrysosplenium,Saxifragaceae,18,98
Cyanotis ciliata,Cyanotis,Commelinaceae,9,156
Ackama brassii,Ackama,Cunoniaceae,2,100
Verbascum chaixii,Verbascum,Scrophulariaceae,9,225
Combretum paniculatum,Combretum,Combretaceae,6,16
Saurauia leprosa,Saurauia,Actinidiaceae,2,3
Roemeria nigrotincta,Roemeria,Papaveraceae,23,58
Erodium acaule,Erodium,Geraniaceae,13,74
Ilex ficoidea,Ilex,Aquifoliaceae,4,736
Kayea lepidota,Kayea,Calophyllaceae,3,9
Adinandra ryukyuensis,Adinandra,Pentaphylacaceae,2,66
Hibbertia wagapii,Hibbertia,Dilleniaceae,4,150
Cissampelos tropaeolifolia,Cissampelos,Menispermaceae,4,10
Adenia lobata,Adenia,Passifloraceae,5,21
Tacca cristata,Tacca,Dioscoreaceae,3,96
Citharexylum myrianthum,Citharexylum,Verbenaceae,6,21
Strychnos cathayensis,Strychnos,Loganiaceae,3,50
Tulipa urumiensis,Tulipa,Liliaceae,9,91
Pittosporum ligustrifolium,Pittosporum,Pittosporaceae,4,61
Tambourissa trichophylla,Tambourissa,Monimiaceae,1,193
Syngonanthus insularis,Syngonanthus,Eriocaulaceae,2,10
Cuphea micropetala,Cuphea,Lythraceae,6,9
Phoradendron undulatum,Phoradendron,Viscaceae,3,6
Heliotropium muelleri,Heliotropium,Heliotropiaceae,5,11
Symplocos poilanei,Symplocos,Symplocaceae,2,135
Boerhavia tetrandra,Boerhavia,Nyctaginaceae,5,8
Varronia brownei,Varronia,Cordiaceae,2,20
Beautempsia avicenniifolia,Beautempsia,Capparaceae,3,19
Goeppertia indecora,Goeppertia,Marantaceae,3,8
Nepenthes burbidgeae,Nepenthes,Nepenthaceae,1,57
Lechenaultia peregrina,Lechenaultia,Goodeniaceae,5,9
Stuckenia filiformis x pectinata,Stuckenia,Potamogetonaceae,10,19
Hirtella angustifolia,Hirtella,Chrysobalanaceae,2,11
Pinguicula caerulea,Pinguicula,Lentibulariaceae,4,31
Smilax elastica,Smilax,Smilacaceae,5,15
Oxalis mirbelii,Oxalis,Oxalidaceae,3,167
Camellia uraku,Camellia,Theaceae,2,5
Crocanthemum propinquum,Crocanthemum,Cistaceae,5,14
Berberis candidula,Berberis,Berberidaceae,3,8
Betula minor,Betula,Betulaceae,9,21
Lecythis confertiflora,Lecythis,Lecythidaceae,2,27
Magnolia nilagirica,Magnolia,Magnoliaceae,2,11
Erythroxylum labatii,Erythroxylum,Erythroxylaceae,2,26
Bonnaya veronicifolia,Bonnaya,Linderniaceae,3,3
Gomphia striata,Gomphia,Ochnaceae,2,42
Sambucus sibirica,Sambucus,Viburnaceae,5,17
Drypetes minahassae,Drypetes,Putranjivaceae,2,29
Tetragonia decumbens,Tetragonia,Aizoaceae,3,9
Hydrangea tomentella,Hydrangea,Hydrangeaceae,3,3
Myriophyllum rubricaule,Myriophyllum,Haloragaceae,3,17
Connarus rostratus,Connarus,Connaraceae,2,5
Trema angustifolium,Trema,Cannabaceae,5,69
Hugonia longipes,Hugonia,Linaceae,1,118
Erythrospermum sifarii,Erythrospermum,Achariaceae,1,15
Colchicum arenasii,Colchicum,Colchicaceae,1,114
Alangium scandens,Alangium,Cornaceae,2,13
Bourreria leslieae,Bourreria,Ehretiaceae,1,53
Fagonia villosa,Fagonia,Zygophyllaceae,3,4
Buxus revoluta,Buxus,Buxaceae,1,10
Helonias leucantha,Helonias,Melanthiaceae,2,6
Rumicastrum brevipedatum,Rumicastrum,Montiaceae,2,17
Halophila engelmannii,Halophila,Hydrocharitaceae,5,7
Schizolaena noronhae,Schizolaena,Sarcolaenaceae,1,64
Drosera madagascariensis,Drosera,Droseraceae,1,345
Cassipourea microphylla,Cassipourea,Rhizophoraceae,1,92
Leptosiphon androsaceus,Leptosiphon,Polemoniaceae,2,3
Sleumeria auriculata,Sleumeria,Icacinaceae,1,13
Polyosma longipedicellata,Polyosma,Escalloniaceae,1,3
Albidella glandulosa,Albidella,Alismataceae,2,5
Glossostigma submersum,Glossostigma,Phrymaceae,2,10
Gomphandra fusiformis,Gomphandra,Stemonuraceae,1,6
Xyris desquamata,Xyris,Xyridaceae,1,9
Milfordia homeopunctata,Milfordia,Restionaceae,2,2
Simaba orinocensis,Simaba,Simaroubaceae,1,5
Thismia coronata,Thismia,Burmanniaceae,1,6
Nothofagus magelhaenica,Nothofagus,Nothofagaceae,1,18
