"Name_USGSO","Plate","USGS_ISID","NEAR_FID","NEAR_DIST","ALL_Uniq","Linework_S","Meaning_AL","ID_GID","NAME_wcmcI","NAME_LOCAL","OBJECTID","ChangeType","ChangeNote","ChangeRef","Shape_Leng","IslandArea","IslandCoas","Area_Geode","Coast_Geod","Shape_Length","Shape_Area","area_km2"
"Isle de Re","Eurasia",319610,-1,-1,87859,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",89443.827987,91.2466494381,89.443827987,91.2712573329,88.7811058446,1.02539544417672,0.0106381606601995,91.2712570537468
"West Jensen","Caribbean",319676,-1,-1,87860,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",85920.1638383,183.860242055,85.9201638383,185.062745313,78.5180985373,3.63308630834684,0.122486939860397,185.0627404838
"Yawajaba","Australia",320142,-1,-1,87863,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",54240.3538677,32.7450774642,54.2403538677,32.5587626509,54.1492714419,0.498330594167564,0.0027481748129165,32.55876251093
"Avocet","Australia",320235,-1,-1,87865,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",38616.1243902,23.776663691,38.6161243902,23.7093673952,32.1215510969,0.313362619151168,0.00227660917691544,23.7093675974298
"Hindmarsh","Australia",320281,-1,-1,87867,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",45988.8140224,51.8961475335,45.9888140224,51.7824704061,45.6646467095,0.473441059747029,0.00514522709156657,51.7824703596148
"Mundoo","Australia",320282,-1,-1,87868,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",35050.4646526,23.3396890948,35.0504646526,23.2887035647,32.2945319958,0.332429077637091,0.00231478623670043,23.2887035722949
"Kooragang","Australia",320338,-1,-1,87871,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",28217.187888,26.3296351995,28.217187888,26.2567843452,28.1789642325,0.279571142200625,0.00252952210892406,26.2567843703699
"Mitchells","Australia",320343,-1,-1,87872,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",49954.4295204,29.7766441488,49.9544295204,29.6882224378,41.2521999869,0.404753923032457,0.00283043771240743,29.6882201496092
"Oxley","Australia",320344,-1,-1,87873,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",32689.0680753,28.9442374942,32.6890680753,28.8583620056,28.2492805434,0.277552834615147,0.00275169629290589,28.8583621494512
"Harwood","Australia",320347,-1,-1,87876,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",36204.4265919,31.262549495,36.2044265919,31.1537146914,29.9224411853,0.288386018627129,0.00289577759563449,31.153714794106
"Woodford","Australia",320348,-1,-1,87877,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",51714.5888642,71.6379044475,51.7145888642,71.3901006364,41.6283167535,0.401573488657459,0.00664292793463331,71.3901006851389
"Causarina","Australia",320371,-1,-1,87878,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",84563.5379201,112.252968824,84.5635379201,111.740259066,83.1672418254,0.786791582680688,0.00988169197718662,111.740258935119
"Del Ray","South America",321110,-1,-1,87881,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",47204.9362713,51.7703409678,47.2049362713,51.7082280493,44.1214015012,0.458855135067145,0.00544561566668587,51.7082279319388
"Satay","North Andes",321137,-1,-1,87882,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",19866.4178195,22.4197836029,19.8664178195,22.2701427182,19.2131604041,0.173333871454508,0.00181056936522178,22.2701428015492
"Canchimalero","North Andes",321163,-1,-1,87884,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",27903.9261887,22.8083031534,27.9039261887,22.6557722699,28.1865902556,0.253912876453091,0.00184099601835173,22.6557721831409
"Tola","North Andes",321164,-1,-1,87885,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",45939.5065688,56.3085141341,45.9395065688,55.9318864734,45.0210041314,0.405949003002639,0.00454490991705611,55.9318864512377
"Ortiz","North Andes",321170,-1,-1,87887,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",29762.2743616,25.5033642739,29.7622743616,25.3333350924,28.9189658951,0.260909272532573,0.00206017986758155,25.333335166781
"Sanquiamba","North Andes",321172,-1,-1,87889,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",94261.9398742,46.5584215134,94.2619398742,46.2480181349,93.2325168626,0.840650729533208,0.00376100495395508,46.2480181621885
"Mulato","North Andes",321174,-1,-1,87891,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",54096.9966459,31.1130060569,54.0969966459,30.9055993678,53.7792826705,0.48490451845889,0.00251338843040006,30.9055993535476
"Partidero","North Andes",321177,-1,-1,87893,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",67056.8905282,98.5067300631,67.0568905282,97.8499945881,66.3814888139,0.598636666151001,0.00795742372730203,97.8499946610469
"Soledad","North Andes",321178,-1,-1,87894,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",40858.5782854,34.9072093358,40.8585782854,34.6747153593,40.0295635405,0.36110292522613,0.00282052225507644,34.6747153516879
"Violin","Panama",321228,-1,-1,87896,"USGS: Sayre et al. 2018","USGS poly had no WCMC poly within 300m",0," "," ",0," "," "," ",73706.2978316,52.300889094,73.7062978316,51.9671335573,73.2347520944,0.664081978393353,0.00427106532622608,51.9671335968361
