accepted_species,trait_name,normalized_value,decision,reason,underlying_citation_ref,underlying_citation,reviewer,reviewed_at_utc
Actinidia polygama,self_incompatibility,SC,exclude,"conflicting dioecy and cultivar-only self-fertile form",183,"Facciola S. Cornucopia - A Source Book of Edible Plants. Kampong Publications.",Codex evidence review,2026-08-27T15:00:00Z
Alchemilla alpina,self_incompatibility,SC,exclude,"apomixis is nonsexual seed formation and does not establish sexual self-compatibility",1,"Chittendon F. RHS Dictionary of Plants plus Supplement.",Codex evidence review,2026-08-27T15:00:00Z
Alchemilla mollis,self_incompatibility,SC,exclude,"apomixis is nonsexual seed formation and does not establish sexual self-compatibility",352,"Kemper Center for Home Gardening Plant Finder.",Codex evidence review,2026-08-27T15:00:00Z
Alchemilla xanthochlora,self_incompatibility,SC,exclude,"apomixis is nonsexual seed formation and does not establish sexual self-compatibility",1,"Chittendon F. RHS Dictionary of Plants plus Supplement.",Codex evidence review,2026-08-27T15:00:00Z
Arnica ovata,self_incompatibility,SC,exclude,"apomixis is nonsexual seed formation and does not establish sexual self-compatibility",1,"Flora of North America treatment redistributed by Useful Plants.",Codex evidence review,2026-08-27T15:00:00Z
Epimedium brevicornu,self_incompatibility,SI,accept,"explicit species self-sterility and cross-fertilization requirement",280,"Stearn WT. The Genus Epimedium and other Herbaceous Berberidaceae. Royal Botanic Gardens Kew. 2002. ISBN 1-84246-039-0.",Codex evidence review,2026-08-27T15:00:00Z
Epimedium koreanum,self_incompatibility,SI,accept,"explicit species self-sterility and cross-fertilization requirement",280,"Stearn WT. The Genus Epimedium and other Herbaceous Berberidaceae. Royal Botanic Gardens Kew. 2002. ISBN 1-84246-039-0.",Codex evidence review,2026-08-27T15:00:00Z
Epimedium wushanense,self_incompatibility,SI,accept,"explicit species self-sterility and cross-fertilization requirement",280,"Stearn WT. The Genus Epimedium and other Herbaceous Berberidaceae. Royal Botanic Gardens Kew. 2002. ISBN 1-84246-039-0.",Codex evidence review,2026-08-27T15:00:00Z
Lithospermum incisum,cleistogamy,facultative,accept,"explicit production of conspicuous spring flowers and subsequent cleistogamous flowers",274,"Diggs GM Jr; Lipscomb BL; O'Kennon RJ. Illustrated Flora of North Central Texas. Botanical Research Institute of Texas. 1999. ISBN 1-889878-01-4.",Codex evidence review,2026-08-27T15:00:00Z
Puya chilensis,self_incompatibility,SI,accept,"explicit self-sterility and cross-pollination statement",260,"Phillips R; Rix M. Conservatory and Indoor Plants Volumes 1 and 2. Pan Books. 1998. ISBN 0-330-37376-5.",Codex evidence review,2026-08-27T15:00:00Z
Symplocos microcalyx,self_incompatibility,SI,accept,"explicit self-sterility and different-plant cross-pollination requirement",182,"Thomas GS. Ornamental Shrubs Climbers and Bamboos. Murray. 1992. ISBN 0-7195-5043-2.",Codex evidence review,2026-08-27T15:00:00Z
Symplocos paniculata,self_incompatibility,SI,accept,"explicit self-sterility and different-plant cross-pollination requirement",182,"Thomas GS. Ornamental Shrubs Climbers and Bamboos. Murray. 1992. ISBN 0-7195-5043-2.",Codex evidence review,2026-08-27T15:00:00Z
Symplocos sumuntia,self_incompatibility,SI,accept,"explicit self-sterility and different-plant cross-pollination requirement",182,"Thomas GS. Ornamental Shrubs Climbers and Bamboos. Murray. 1992. ISBN 0-7195-5043-2.",Codex evidence review,2026-08-27T15:00:00Z
Symplocos tinctoria,self_incompatibility,SI,accept,"explicit self-sterility and different-plant cross-pollination requirement",182,"Thomas GS. Ornamental Shrubs Climbers and Bamboos. Murray. 1992. ISBN 0-7195-5043-2.",Codex evidence review,2026-08-27T15:00:00Z
Wisteria floribunda,self_incompatibility,SC,accept,"species-level self-fertility statement; named cultivars are examples of particularly good seed set rather than the scope of the primary statement",249,"Valder P. Wisterias: a comprehensive guide. Florilegium Australia. 1995. ISBN 0-646-22049-7.",Codex evidence review,2026-08-27T15:00:00Z
