accepted_species,genus,family,n_islands,n_records
Epidendrum obrienianum,Epidendrum,Orchidaceae,16,123
Senecio inaequidens,Senecio,Asteraceae,59,8751
Psychotria pedunculosa,Psychotria,Rubiaceae,14,76
Hippocrepis biflora,Hippocrepis,Fabaceae,49,436
Bromus racemosus,Bromus,Poaceae,68,4861
Eriophorum triste,Eriophorum,Cyperaceae,36,539
Blepharocalyx salicifolius,Blepharocalyx,Myrtaceae,7,19
Euphorbia granulata,Euphorbia,Euphorbiaceae,11,29
Potentilla fragiformis,Potentilla,Rosaceae,26,70
Hoya latifolia,Hoya,Apocynaceae,7,55
Prunella grandiflora,Prunella,Lamiaceae,15,2361
Dalenia pulchra,Dalenia,Melastomataceae,3,51
Sidalcea malviflora,Sidalcea,Malvaceae,9,606
Rigiolepis lanceolata,Rigiolepis,Ericaceae,6,23
Plectocomiopsis geminiflora,Plectocomiopsis,Arecaceae,3,49
Leptosiphonium stricklandii,Leptosiphonium,Acanthaceae,3,8
Endiandra faceta,Endiandra,Lauraceae,4,6
Maesa lanceolata,Maesa,Primulaceae,3,483
Cyrtandra milnei,Cyrtandra,Gesneriaceae,2,3
Aporosa quadrilocularis,Aporosa,Phyllanthaceae,4,43
Scindapsus haenkei,Scindapsus,Araceae,4,8
Ranunculus tachiroi,Ranunculus,Ranunculaceae,7,92
Guatteria tomentosa,Guatteria,Annonaceae,3,3
Matthiola parviflora,Matthiola,Brassicaceae,9,72
Doratoxylon chouxii,Doratoxylon,Sapindaceae,3,189
Micromelum falcatum,Micromelum,Rutaceae,2,133
Dichodon maximum,Dichodon,Caryophyllaceae,10,35
Chaerophyllum daucoides,Chaerophyllum,Apiaceae,7,80
Elatostematoides rigidum,Elatostematoides,Urticaceae,3,7
Populus yunnanensis,Populus,Salicaceae,3,58
Piper collium,Piper,Piperaceae,2,13
Ampalis dimepate,Ampalis,Moraceae,5,779
Plantago erecta,Plantago,Plantaginaceae,5,296
Osmoxylon simplicifolia,Osmoxylon,Araliaceae,3,6
Nicotiana sanderi,Nicotiana,Solanaceae,5,23
Adelmeria isarogensis,Adelmeria,Zingiberaceae,2,4
